ScreenId,Platform,Module,Name,Roles,Purpose,PromptFile,ExecutionGroup,SuggestedCluster
W081,Web,Production,Work Order Detail / Drawer,"PlanningManager, ProductionSupervisor","Materials, operations, readiness, reservations, actions",screen-prompts/W081_work-order-detail-drawer.md,Production,
W082,Web,Production,Job Cards List,"ProductionSupervisor, MachineOperator",Execution list for operations and lot splits,screen-prompts/W082_job-cards-list.md,Production,
W083,Web,Production,Job Card Detail / Timeline Drawer,"ProductionSupervisor, MachineOperator","Start/pause/complete, quantities, downtime, timeline",screen-prompts/W083_job-card-detail-timeline-drawer.md,Production,
W084,Web,Production,Machine Schedule Board,"ProductionSupervisor, PlantHead",Lane view of what each machine is running next,screen-prompts/W084_machine-schedule-board.md,Production,
W085,Web,Production,PPS Machine Occupancy Calendar,"PlanningManager, PlantHead",Calendar occupancy across machines and days,screen-prompts/W085_pps-machine-occupancy-calendar.md,Production,
W086,Web,Inventory,Material Issue to WO,"StoreKeeper, ProductionSupervisor",Issue reserved/actual material to work order or job card,screen-prompts/W086_material-issue-to-wo.md,Inventory,
W087,Web,Inventory,Material Return from WO,"StoreKeeper, ProductionSupervisor",Return unused material to stock/bin,screen-prompts/W087_material-return-from-wo.md,Inventory,
W088,Web,Production,Production Receipt,"ProductionSupervisor, StoreKeeper",Receive WIP/FG output with lot/serial/catch-weight handling,screen-prompts/W088_production-receipt.md,Production,
W089,Web,Production,Scrap / By-product Entry,ProductionSupervisor,"Capture scrap, by-product, reason, valuation placeholders",screen-prompts/W089_scrap-by-product-entry.md,Production,
W090,Web,Production,Rework Order,"ProductionSupervisor, QCInspector",Create and track rework loop,screen-prompts/W090_rework-order.md,Production,
W091,Web,Production,Shift Production Entry,ProductionSupervisor,Summarize shift output and issues,screen-prompts/W091_shift-production-entry.md,Production,
W092,Web,Production,Downtime Register,"ProductionSupervisor, PlantHead",All downtime events with reasons and machine impact,screen-prompts/W092_downtime-register.md,Production,
W093,Web,Production,Machine Status / OEE-lite,"PlantHead, ProductionSupervisor",Run/idle/down trends and availability snapshot,screen-prompts/W093_machine-status-oee-lite.md,Production,
W094,Web,Inventory,Inventory Balance by Warehouse / Bin,"StoreKeeper, PlanningManager","Real-time stock, reserved, QC-hold, blocked",screen-prompts/W094_inventory-balance-by-warehouse-bin.md,Inventory,
W095,Web,Inventory,Stock Transfer / Putaway,StoreKeeper,Inter-warehouse/bin movement and putaway,screen-prompts/W095_stock-transfer-putaway.md,Inventory,
W096,Web,Inventory,Cycle Count,StoreKeeper,"Count sheets, variances, approvals",screen-prompts/W096_cycle-count.md,Inventory,
W097,Web,Inventory,Lot / Serial / Catch Weight Traceability,"QCInspector, StoreKeeper, ManagementViewer","Forward/backward traceability by lot, serial, order",screen-prompts/W097_lot-serial-catch-weight-traceability.md,Inventory,
W100,Web,Quality,QC Plan Setup,"QCInspector, CompanyAdmin",Inspection checkpoints and parameter libraries,screen-prompts/W100_qc-plan-setup.md,Quality,
W101,Web,Quality,Incoming Inspection,QCInspector,Supplier receipt inspection and hold/release,screen-prompts/W101_incoming-inspection.md,Quality,
W102,Web,Quality,In-Process Inspection,"QCInspector, ProductionSupervisor",Checkpoint results against operation/job card,screen-prompts/W102_in-process-inspection.md,Quality,
W103,Web,Quality,Final Inspection,QCInspector,Final quality release before dispatch or FG transfer,screen-prompts/W103_final-inspection.md,Quality,
W104,Web,Quality,NCR / Deviation,"QCInspector, PlantHead","Non-conformance, hold, decision, rework linkage",screen-prompts/W104_ncr-deviation.md,Quality,
W105,Web,Dispatch,Pack List,DispatchManager,"Packing structure, labels, pack completeness",screen-prompts/W105_pack-list.md,Dispatch,
W106,Web,Dispatch,Dispatch Planning,"DispatchManager, SalesCoordinator",Dispatch queue by due date and readiness,screen-prompts/W106_dispatch-planning.md,Dispatch,
W107,Web,Dispatch,Shipment / Delivery,DispatchManager,"Vehicle, LR/tracking, loading proof, documents",screen-prompts/W107_shipment-delivery.md,Dispatch,
W108,Web,Dashboards,Stage Wise Dashboard,"PlantHead, ManagementViewer",Cross-department board from SO confirmed to dispatch,screen-prompts/W108_stage-wise-dashboard.md,Dashboards,
W109,Web,Reports,Print Pack / Traveler / Labels,"ProductionSupervisor, StoreKeeper, DispatchManager","Printable job travelers, labels, checklists, summaries",screen-prompts/W109_print-pack-traveler-labels.md,Reports,
W110,Web,AI,AI Provider Setup,PlatformAdmin,OpenAI/Gemini and future provider configuration,screen-prompts/W110_ai-provider-setup.md,AI,
W111,Web,AI,AI Prompt Template Setup,"PlatformAdmin, CompanyAdmin","Prompt registry for summaries, translation, assistants",screen-prompts/W111_ai-prompt-template-setup.md,AI,
W112,Web,AI,AI Operations Assistant,"ManagementViewer, PlantHead, PlanningManager",Ask operational questions safely over approved data contracts,screen-prompts/W112_ai-operations-assistant.md,AI,
W113,Web,AI,AI Daily Summary Review,"PlantHead, ManagementViewer",Review generated shift/day summaries before sending,screen-prompts/W113_ai-daily-summary-review.md,AI,
W114,Web,Dashboards,Executive Cockpit / Owner Dashboard,ManagementViewer,"Single-screen truth across demand, production, quality, dispatch",screen-prompts/W114_executive-cockpit-owner-dashboard.md,Dashboards,
W115,Web,Platform,Audit Trail Viewer,"CompanyAdmin, PlatformAdmin",Document/entity-level change history and action log,screen-prompts/W115_audit-trail-viewer.md,Platform,
W072,Web,Procurement,Purchase Requisition List,"PurchaseManager, PlanningManager",List and approve purchase requisitions created from planning or manual demand,screen-prompts/W072_purchase-requisition-list.md,Procurement,
W073,Web,Procurement,Purchase Requisition Detail,PurchaseManager,"Detail, approval, and conversion controls for PR",screen-prompts/W073_purchase-requisition-detail.md,Procurement,
W074,Web,Procurement,Purchase Order List,PurchaseManager,"PO list with status, overdue follow-up, and source linkage",screen-prompts/W074_purchase-order-list.md,Procurement,
W075,Web,Procurement,Purchase Order Detail,PurchaseManager,"PO detail with receipts, due dates, and outside-processing context",screen-prompts/W075_purchase-order-detail.md,Procurement,
M001,Mobile,Platform,Login,All users,Secure sign-in and device binding,screen-prompts/M001_login.md,Platform,
M002,Mobile,Platform,Company / Branch Select,All users,Switch operating context,screen-prompts/M002_company-branch-select.md,Platform,
M003,Mobile,Dashboards,My Dashboard,All users,Role-specific action cards and summary tiles,screen-prompts/M003_my-dashboard.md,Dashboards,
M004,Mobile,Platform,Notifications / Inbox,All users,"Alerts, reminders, approvals, escalation messages",screen-prompts/M004_notifications-inbox.md,Platform,
M005,Mobile,Platform,My Approvals,Managers,Approve/reject quick actions,screen-prompts/M005_my-approvals.md,Platform,
M006,Mobile,Production,My Job Cards Queue,"MachineOperator, ProductionSupervisor",Assigned and nearby job cards ready for action,screen-prompts/M006_my-job-cards-queue.md,Production,
M007,Mobile,Production,Job Card Detail,"MachineOperator, ProductionSupervisor","Operation context, specs, attachments, required qty",screen-prompts/M007_job-card-detail.md,Production,
M008,Mobile,Production,Execution Action Sheet,MachineOperator,Start/pause/resume/complete with reason,screen-prompts/M008_execution-action-sheet.md,Production,
M009,Mobile,Production,Good / Reject / Scrap Entry,"MachineOperator, QCInspector",Quantity posting with photos and notes,screen-prompts/M009_good-reject-scrap-entry.md,Production,
M010,Mobile,Inventory,Material Issue Scan,"StoreKeeper, ProductionSupervisor",Scan bin/barcode and issue to WO/job card,screen-prompts/M010_material-issue-scan.md,Inventory,
M011,Mobile,Inventory,Material Return Scan,"StoreKeeper, ProductionSupervisor",Scan and return unused material,screen-prompts/M011_material-return-scan.md,Inventory,
M012,Mobile,Inventory,Bin Transfer / Putaway,StoreKeeper,Move stock between bins/warehouses,screen-prompts/M012_bin-transfer-putaway.md,Inventory,
M013,Mobile,Inventory,Cycle Count,StoreKeeper,Mobile counting and recount,screen-prompts/M013_cycle-count.md,Inventory,
M014,Mobile,Production,Downtime Log,"MachineOperator, ProductionSupervisor","Log machine stop, reason, photo, escalation",screen-prompts/M014_downtime-log.md,Production,
M015,Mobile,Production,Machine Status Update,ProductionSupervisor,Change machine to run/idle/down and assign operator,screen-prompts/M015_machine-status-update.md,Production,
M016,Mobile,Quality,QC Checkpoint Entry,"QCInspector, ProductionSupervisor",Pass/fail/measurement/photo capture,screen-prompts/M016_qc-checkpoint-entry.md,Quality,
M017,Mobile,Production,Production Receipt,"ProductionSupervisor, StoreKeeper",Receive output with lot/serial/catch-weight,screen-prompts/M017_production-receipt.md,Production,
M018,Mobile,Quality,Rework / NCR Capture,"QCInspector, ProductionSupervisor","Create deviation, hold, rework instruction",screen-prompts/M018_rework-ncr-capture.md,Quality,
M019,Mobile,Dispatch,Dispatch Loading / Proof,DispatchManager,"Scan packed items, capture loading proof, seal/vehicle notes",screen-prompts/M019_dispatch-loading-proof.md,Dispatch,
M020,Mobile,Dashboards,Order Snapshot,"ManagementViewer, SalesCoordinator",Mobile order health summary,screen-prompts/M020_order-snapshot.md,Dashboards,
M021,Mobile,Dashboards,Stage Wise Mobile Board,"PlantHead, ManagementViewer",Compact board of blocked/overdue stages,screen-prompts/M021_stage-wise-mobile-board.md,Dashboards,
M022,Mobile,Production,Shift Handover / Notes / Photos,ProductionSupervisor,Shift summary with media and pending issues,screen-prompts/M022_shift-handover-notes-photos.md,Production,
M023,Mobile,Platform,Attachments / Photo / Voice Upload,All users,Upload proof and notes from phone,screen-prompts/M023_attachments-photo-voice-upload.md,Platform,
M024,Mobile,Platform,Settings / Sync Status / Language,All users,"Offline queue, device info, language switch",screen-prompts/M024_settings-sync-status-language.md,Platform,
