ActionId,Domain,ScreenName,Route,FilePath,ActionLabel,ActionType,CurrentState,ExpectedState,BackendAvailable,CurrentUiPattern,RequiredFix,FinalStateAfterThisWave,CompletionGate,ReviewerCheck,Notes
ACT-0011,Unknown,PriceListMasterPage,,/src/web/src/pages/CommercialMasterPages.tsx,New payment term,new,working,WORKING,Yes,ErpActionBar,Verified during action truth scan.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0012,Unknown,PriceListMasterPage,,/src/web/src/pages/CommercialMasterPages.tsx,New price list,new,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0013,Unknown,PriceListMasterPage,,/src/web/src/pages/CommercialMasterPages.tsx,New rate setup,new,working,WORKING,Yes,ErpActionBar,Verified during action truth scan.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0014,Unknown,PriceListMasterPage,,/src/web/src/pages/CommercialMasterPages.tsx,New tax category,new,working,WORKING,Yes,ErpActionBar,Verified during action truth scan.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0015,Unknown,PriceListMasterPage,,/src/web/src/pages/CommercialMasterPages.tsx,New trade term,new,working,WORKING,Yes,ErpActionBar,Verified during action truth scan.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0016,Unknown,PriceListMasterPage,,/src/web/src/pages/CommercialMasterPages.tsx,Save Draft,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0017,Unknown,PriceListMasterPage,,/src/web/src/pages/CommercialMasterPages.tsx,Save Setup,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0018,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Export contracts,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0019,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Export matrix,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0020,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Export MPS,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0021,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Export orders,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0022,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Export promise check,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0023,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Export quotes,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0024,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Import forecast,import,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0025,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,New blanket draft,new,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0026,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,New forecast,new,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0027,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,New lead-time row,new,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0028,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,New MPS draft,new,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0029,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,New order draft,new,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0030,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,New quote draft,new,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0031,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Open download audit,open,disabled,DISABLED WITH REASON,No,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0032,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Review audit,review,disabled,DISABLED WITH REASON,No,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0033,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Run what-if,run,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0034,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Save blanket draft,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0035,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Save lead-time row,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0036,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Save MPS draft,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0037,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Save order draft,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0038,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Save quote draft,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0039,Unknown,SupplierLeadTimeMatrixPage,,/src/web/src/pages/CommercialPlanningPages.tsx,Upload document,upload,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0040,Unknown,DashboardHomePage,,/src/web/src/pages/DashboardPages.tsx,Export,export,working,WORKING,Yes,Button / navigation / tile,Verified during action truth scan.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0041,Unknown,DashboardHomePage,,/src/web/src/pages/DashboardPages.tsx,Export briefing,export,working,WORKING,Yes,Button / navigation / tile,Verified during action truth scan.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0042,Unknown,DashboardHomePage,,/src/web/src/pages/DashboardPages.tsx,Open Orders,open,unknown,DISABLED WITH REASON,No,Button / navigation / tile,Direct action reviewed; passive tiles no longer render as buttons and dashboard export buttons are explicitly disabled.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0043,Unknown,DashboardHomePage,,/src/web/src/pages/DashboardPages.tsx,Open related work orders,open,unknown,DISABLED WITH REASON,No,Button / navigation / tile,Direct action reviewed; passive tiles no longer render as buttons and dashboard export buttons are explicitly disabled.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0044,Unknown,DashboardHomePage,,/src/web/src/pages/DashboardPages.tsx,Refresh,refresh,working,WORKING,Yes,Button / navigation / tile,Verified during action truth scan.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0045,Dispatch,PackListPage,/dispatch/pack-lists,/src/web/src/pages/DispatchPages.tsx,Create pack list,create,disabled,DISABLED WITH REASON,No,ErpActionBar,Verified lane-prod-exec disabled reason and centered modal workspace behavior.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Pack-list creation remains disabled until dispatch workflow enablement.
ACT-0046,Dispatch,ShipmentDeliveryPage,/dispatch/shipments,/src/web/src/pages/DispatchPages.tsx,Export documents,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified lane-prod-exec disabled reason; modal footer reason now references the approved reporting workflow.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Shipment document export remains disabled until approved reporting is enabled.
ACT-0047,Dispatch,DispatchPlanningPage,/dispatch/planning,/src/web/src/pages/DispatchPages.tsx,Export queue,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified lane-prod-exec disabled reason and removed mobile-scaffold copy from dispatch readiness text.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Dispatch queue export remains disabled until approved reporting is enabled.
ACT-0048,Dispatch,DispatchPlanningPage,/dispatch/planning,/src/web/src/pages/DispatchPages.tsx,Plan dispatch wave,plan,disabled,DISABLED WITH REASON,No,ErpActionBar,Verified lane-prod-exec disabled reason and no dead planning action.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Dispatch-wave planning remains disabled until dispatch workflow enablement.
ACT-0049,Dispatch,ShipmentDeliveryPage,/dispatch/shipments,/src/web/src/pages/DispatchPages.tsx,Prepare shipment,prepare,disabled,DISABLED WITH REASON,No,ErpActionBar,Verified lane-prod-exec disabled reason and centered modal workspace behavior.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Shipment preparation remains disabled until dispatch workflow enablement.
ACT-0050,Dispatch,PackListPage,/dispatch/pack-lists,/src/web/src/pages/DispatchPages.tsx,Print labels,print,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified lane-prod-exec disabled reason and centered modal workspace behavior.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Label printing remains disabled until document workflow enablement.
ACT-0051,Dispatch,PackListPage,/dispatch/pack-lists,/src/web/src/pages/DispatchPages.tsx,Save pack list,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar + ErpModalWorkspace,Verified lane-prod-exec disabled reason inside the pack-list modal workspace.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Pack-list save remains disabled until dispatch workflow enablement.
ACT-0052,Dispatch,ShipmentDeliveryPage,/dispatch/shipments,/src/web/src/pages/DispatchPages.tsx,Save shipment,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar + ErpModalWorkspace,Verified lane-prod-exec disabled reason inside the shipment modal workspace.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Shipment save remains disabled until dispatch workflow enablement.
ACT-0053,Engineering,RoutingLibraryPage,/engineering/routings,/src/web/src/pages/EngineeringContinuationPages.tsx,Clone routing,clone,working,WORKING,Yes,ErpActionBar,Wired clone action to open a governed routing draft and persist through the live routing create endpoint.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Clone routing now opens a centered draft workspace for live routing records and saves as a new routing.
ACT-0054,Engineering,AlternateItemRulesPage,/engineering/alternate-items,/src/web/src/pages/EngineeringContinuationPages.tsx,Export alternates,export,working,WORKING,Yes,ErpActionBar,Wired alternate-item export to the queued export-job workflow.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Export alternates now queues a governed export job for the current alternate-item rulebook.
ACT-0055,Engineering,BomComparisonPage,/engineering/bom-comparison,/src/web/src/pages/EngineeringContinuationPages.tsx,Export comparison,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Retained the explicit disabled state because BOM comparison reporting is still pending the approved reporting workflow.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,BOM comparison export remains disabled until the approved reporting workflow is enabled.
ACT-0056,Engineering,OperationStandardPage,/engineering/operations,/src/web/src/pages/EngineeringContinuationPages.tsx,Export standards,export,working,WORKING,Yes,ErpActionBar,Wired operation-standard export to the queued export-job workflow.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Export standards now queues a governed export job for the current operation filter set.
ACT-0057,Engineering,OperationStandardPage,/engineering/operations,/src/web/src/pages/EngineeringContinuationPages.tsx,New operation,new,working,WORKING,Yes,ErpActionBar,Wired New operation to open the governed operation workspace and create through the live resource endpoint.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,New operation now opens a centered modal workspace and saves through the operation create API.
ACT-0058,Engineering,RoutingLibraryPage,/engineering/routings,/src/web/src/pages/EngineeringContinuationPages.tsx,New routing,new,working,WORKING,Yes,ErpActionBar,Wired New routing to open the governed routing workspace and create through the live routing endpoint.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,New routing now opens a centered modal workspace and saves through the routing create API.
ACT-0059,Engineering,AlternateItemRulesPage,/engineering/alternate-items,/src/web/src/pages/EngineeringContinuationPages.tsx,New rule,new,working,WORKING,Yes,ErpActionBar,Wired alternate-item authoring to open a governed create workspace for live sessions.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,New rule now opens a centered alternate-item workspace for create mode.
ACT-0060,Engineering,EngineeringAttachmentViewerPage,/engineering/documents,/src/web/src/pages/EngineeringContinuationPages.tsx,Link document,upload,working,WORKING,Yes,ErpActionBar + ErpModalWorkspace,Wired engineering document linking to the attachment upload endpoint and kept binary audit review explicit.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Link document now opens a governed workspace and saves document metadata plus file content through the attachment API.
ACT-0061,Engineering,EngineeringAttachmentViewerPage,/engineering/documents,/src/web/src/pages/EngineeringContinuationPages.tsx,Open audit trail,open,disabled,DISABLED WITH REASON,No,ErpActionBar + ErpModalWorkspace,Retained the explicit disabled state because document-control audit review is not enabled yet.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Engineering document audit trail remains disabled until document-control review is enabled.
ACT-0062,Engineering,AlternateItemRulesPage,/engineering/alternate-items,/src/web/src/pages/EngineeringContinuationPages.tsx,Save rule,save,working,WORKING,Yes,ErpActionBar + ErpModalWorkspace,Wired alternate-item create and update through the live alternate-item endpoints.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Save rule now persists alternate-item authoring changes through the live engineering API.
ACT-0063,Engineering,BomDetailEditorPage,/engineering/bom-editor,/src/web/src/pages/EngineeringContinuationPages.tsx,Save draft lines,save,working,WORKING,Yes,ErpActionBar,Wired draft line save to the live BOM update endpoint and locked non-persistable edit controls.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Save draft lines now persists BOM line and operation edits for live draft revisions.
ACT-0064,Engineering,RoutingLibraryPage,/engineering/routings,/src/web/src/pages/EngineeringContinuationPages.tsx,Save routing,save,working,WORKING,Yes,ErpActionBar,Wired routing save to live create/update endpoints and locked read-only seeded states.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,"Save routing now persists new, cloned, and editable live routings."
ACT-0065,Engineering,BomDetailEditorPage,/engineering/bom-editor,/src/web/src/pages/EngineeringContinuationPages.tsx,Clone revision,clone,working,WORKING,Yes,ErpActionBar,Confirmed live clone revision behavior and kept disabled reasons for seeded or unselected states.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Clone revision opens a draft-ready BOM revision through the live engineering clone endpoint.
ACT-0066,Engineering,OperationStandardPage,/engineering/operations,/src/web/src/pages/EngineeringContinuationPages.tsx,Save operation,save,working,WORKING,Yes,ErpActionBar,Wired operation save to live create/update endpoints and locked seeded standards to read-only.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Save operation now persists governed operation-standard changes through the resource API.
ACT-0067,Unknown,BomLibraryPage,,/src/web/src/pages/EngineeringPages.tsx,Import CSV,import,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0068,Unknown,BomLibraryPage,,/src/web/src/pages/EngineeringPages.tsx,New BOM draft,new,working,WORKING,Yes,ErpActionBar,Wired live BOM header draft creation and kept a business-safe disabled reason outside live engineering sessions.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,New BOM draft now opens a governed BOM header modal and creates a draft BOM through the live API.
ACT-0069,Unknown,BomLibraryPage,,/src/web/src/pages/EngineeringPages.tsx,Print,print,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0070,Unknown,InventoryBalancePage,,/src/web/src/pages/InventoryPages.tsx,Export balances,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0071,Unknown,InventoryBalancePage,,/src/web/src/pages/InventoryPages.tsx,Export genealogy,export,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0072,Unknown,InventoryBalancePage,,/src/web/src/pages/InventoryPages.tsx,Open traceability,open,disabled,DISABLED WITH REASON,No,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0073,Inventory,MaterialIssuePage,/inventory/material-issue,/src/web/src/pages/InventoryPages.tsx,Post issue,post,disabled,DISABLED WITH REASON,Partial,ErpActionBar + ErpModalWorkspace,Verified lane-prod-exec disabled reason and converted source document to disabled lookup.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Issue posting remains disabled until controlled inventory posting workflow enablement.
ACT-0074,Inventory,MaterialReturnPage,/inventory/material-return,/src/web/src/pages/InventoryPages.tsx,Post return,post,disabled,DISABLED WITH REASON,Partial,ErpActionBar + ErpModalWorkspace,Verified lane-prod-exec disabled reason and converted source document to disabled lookup.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Return posting remains disabled until controlled inventory posting workflow enablement.
ACT-0075,Inventory,StockTransferPutawayPage,/inventory/stock-transfer,/src/web/src/pages/InventoryPages.tsx,Post transfer,post,disabled,DISABLED WITH REASON,Partial,ErpActionBar + ErpModalWorkspace,Verified lane-prod-exec disabled reason and lookup-controlled movement fields.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Transfer posting remains disabled until controlled inventory posting workflow enablement.
ACT-0076,Inventory,MaterialIssuePage,/inventory/material-issue,/src/web/src/pages/InventoryPages.tsx,Prepare issue draft,prepare,disabled,DISABLED WITH REASON,No,ErpActionBar,Verified lane-prod-exec disabled reason and no dead issue draft action.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Issue drafting remains disabled until inventory posting workflow enablement.
ACT-0077,Inventory,MaterialReturnPage,/inventory/material-return,/src/web/src/pages/InventoryPages.tsx,Prepare return draft,prepare,disabled,DISABLED WITH REASON,No,ErpActionBar,Verified lane-prod-exec disabled reason and no dead return draft action.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Return drafting remains disabled until inventory posting workflow enablement.
ACT-0078,Inventory,StockTransferPutawayPage,/inventory/stock-transfer,/src/web/src/pages/InventoryPages.tsx,Prepare transfer draft,prepare,disabled,DISABLED WITH REASON,No,ErpActionBar,Verified lane-prod-exec disabled reason and no dead transfer draft action.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Transfer drafting remains disabled until inventory posting workflow enablement.
ACT-0079,Inventory,StockTransferPutawayPage,/inventory/stock-transfer,/src/web/src/pages/InventoryPages.tsx,Print movement slip,print,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified lane-prod-exec disabled reason and no dead print action.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Movement slip printing remains disabled until document workflow enablement.
ACT-0080,Inventory,MaterialIssuePage,/inventory/material-issue,/src/web/src/pages/InventoryPages.tsx,Print pick slip,print,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified lane-prod-exec disabled reason and no dead print action.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Pick-slip printing remains disabled until document workflow enablement.
ACT-0081,Inventory,MaterialReturnPage,/inventory/material-return,/src/web/src/pages/InventoryPages.tsx,Print return note,print,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified lane-prod-exec disabled reason and no dead print action.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Return-note printing remains disabled until document workflow enablement.
ACT-0082,Unknown,InventoryBalancePage,,/src/web/src/pages/InventoryPages.tsx,Save balance,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar,Verified during action truth scan.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0083,Inventory,MaterialIssuePage,/inventory/material-issue,/src/web/src/pages/InventoryPages.tsx,Save issue draft,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar + ErpModalWorkspace,Verified lane-prod-exec disabled reason and modal workspace source lookup.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Issue draft save remains disabled until inventory posting workflow enablement.
ACT-0084,Inventory,MaterialReturnPage,/inventory/material-return,/src/web/src/pages/InventoryPages.tsx,Save return draft,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar + ErpModalWorkspace,Verified lane-prod-exec disabled reason and modal workspace source lookup.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Return draft save remains disabled until inventory posting workflow enablement.
ACT-0085,Inventory,StockTransferPutawayPage,/inventory/stock-transfer,/src/web/src/pages/InventoryPages.tsx,Save transfer draft,save,disabled,DISABLED WITH REASON,Partial,ErpActionBar + ErpModalWorkspace,Verified lane-prod-exec disabled reason and modal workspace location lookups.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Transfer draft save remains disabled until inventory posting workflow enablement.
