PromptId,Phase,Title,NextPrompt,RelatedScreens
P064,Phase 3 - Backend,"Production receipt, scrap, and rework APIs",P065,
P065,Phase 3 - Backend,Quality APIs,P066,
P066,Phase 3 - Backend,"Dispatch, dashboard, and report APIs",P067,
P067,Phase 3 - Backend,"Integration, AI, import, and export APIs",P068,
P068,Phase 4 - Web Foundation,React web bootstrap with IIS-friendly build,P069,
P069,Phase 4 - Web Foundation,"Web shell, auth flow, and operating context",P070,
P070,Phase 4 - Web Foundation,"Design tokens, theme, and reusable surface components",P071,
P071,Phase 4 - Web Foundation,"Grid, filter, drawer, and form framework",P072,
P072,Phase 4 - Web Foundation,"KPI, kanban, timeline, lane board, and calendar components",P073,
P073,Phase 4 - Web Foundation,"i18n, RBAC navigation, and notification center",P074,
P074,Phase 4 - Web Foundation,"API client, query cache, and state management",P075,
P075,Phase 4 - Web Foundation,"Print, export, and report framework",P076,
P076,Phase 4 - Web Foundation,Accessibility and performance patterns,P077,
P077,Phase 4 - Web Foundation,Demo seed wiring and feature toggle consumption,P078,
P078,Phase 5 - Web Screens,"Login, forgot password, company switch, notifications, and approvals",P079,"W001, W002, W003, W006, W007"
P079,Phase 5 - Web Screens,Home dashboard and executive cockpit,P080,"W004, W114"
P080,Phase 5 - Web Screens,"User, role, and permission screens",P081,"W008, W009"
P081,Phase 5 - Web Screens,"Language, workflow, numbering, and tenant settings screens",P082,"W010, W011, W012"
P082,Phase 5 - Web Screens,"Company, branch, and department screens",P083,"W020, W021, W022"
P083,Phase 5 - Web Screens,"Warehouse, bin, and shift screens",P084,"W023, W024, W025"
P084,Phase 5 - Web Screens,UOM class and conversion screens,P085,"W029, W030"
P085,Phase 5 - Web Screens,Measurement profile and dimensional formula screens,P086,W031
P086,Phase 5 - Web Screens,"Item group, attribute, and reason-code master screens",P087,"W032, W033, W034"
P087,Phase 5 - Web Screens,Item list and item detail editor,P088,"W040, W041"
P088,Phase 5 - Web Screens,Item variants and barcode screens,P089,"W042, W043"
P089,Phase 5 - Web Screens,Customer and supplier list/detail screens,P090,"W044, W045, W046, W047"
P090,Phase 5 - Web Screens,Supplier lead-time matrix and attachment viewer,P091,"W048, W049"
P091,Phase 5 - Web Screens,Quote / estimate list and detail screens,P092,W050
P092,Phase 5 - Web Screens,Sales order list and detail screens,P093,"W051, W052"
P093,Phase 5 - Web Screens,Blanket order and demand forecast screens,P094,"W053, W054"
P094,Phase 5 - Web Screens,MPS planner and available-to-promise screen,P095,"W055, W056"
P095,Phase 5 - Web Screens,BOM library screen,P096,W060
P096,Phase 5 - Web Screens,BOM detail and editor screen,P097,W061
P097,Phase 5 - Web Screens,BOM comparison and ECO screens,P098,"W062, W063"
P098,Phase 5 - Web Screens,Routing and operation standard screens,P099,"W064, W065"
P099,Phase 5 - Web Screens,Alternate item rules and engineering attachment surfaces,P100,"W070, W049"
P100,Phase 5 - Web Screens,MRP run console and result screen,P101,"W067, W068"
P101,Phase 5 - Web Screens,BOQ / requirements screen,P102,W066
P102,Phase 5 - Web Screens,Capacity planning board,P103,W069
P103,Phase 5 - Web Screens,Purchase requisition list/detail screens,P104,"W072, W073"
P104,Phase 5 - Web Screens,Purchase order and subcontract plan screens,P105,"W074, W075, W071"
P105,Phase 5 - Web Screens,Inventory balance and traceability screens,P106,"W094, W097"
P106,Phase 5 - Web Screens,Material issue screen,P107,W086
P107,Phase 5 - Web Screens,"Material return, transfer, and putaway screens",P108,"W087, W095"
P108,Phase 5 - Web Screens,Cycle count screen,P109,W096
P109,Phase 5 - Web Screens,Work orders list screen,P110,W080
P110,Phase 5 - Web Screens,Work order detail / drawer,P111,W081
P111,Phase 5 - Web Screens,Job cards list screen,P112,W082
P112,Phase 5 - Web Screens,Job card detail / timeline drawer,P113,W083
P113,Phase 5 - Web Screens,Machine schedule board,P114,W084
P114,Phase 5 - Web Screens,PPS machine occupancy calendar,P115,W085
P115,Phase 5 - Web Screens,Shift production entry and downtime register,P116,"W091, W092"
P116,Phase 5 - Web Screens,Production receipt and scrap/by-product screens,P117,"W088, W089"
P117,Phase 5 - Web Screens,Rework order and machine status screen,P118,"W090, W093"
P118,Phase 5 - Web Screens,QC plan and incoming inspection screens,P119,"W100, W101"
P119,Phase 5 - Web Screens,In-process/final inspection and NCR screens,P120,"W102, W103, W104"
P120,Phase 5 - Web Screens,"Pack list, dispatch planning, and shipment screens",P121,"W105, W106, W107"
P121,Phase 5 - Web Screens,"Stage-wise dashboard, order delivery dashboard, and print pack",P122,"W108, W057, W109"
P122,Phase 6 - Mobile,React Native app bootstrap and offline shell,P123,"M001, M024"
P123,Phase 6 - Mobile,"Mobile auth, context switch, and sync status",P124,"M001, M002, M024"
P124,Phase 6 - Mobile,"Mobile home dashboard, notifications, and approvals",P125,"M003, M004, M005"
P125,Phase 6 - Mobile,My job cards queue and job card detail,P126,"M006, M007"
P126,Phase 6 - Mobile,Execution action sheet and quantity capture,P127,"M008, M009"
P127,Phase 6 - Mobile,Material issue and return scan flows,P128,"M010, M011"
P128,Phase 6 - Mobile,"Bin transfer, putaway, and cycle count flows",P129,"M012, M013"
P129,Phase 6 - Mobile,Downtime log and machine status flows,P130,"M014, M015"
P130,Phase 6 - Mobile,QC checkpoint and NCR capture flows,P131,"M016, M018"
P131,Phase 6 - Mobile,"Production receipt, scrap, and rework flows",P132,"M017, M018"
P132,Phase 6 - Mobile,Shift handover and media upload flow,P133,"M022, M023"
P133,Phase 6 - Mobile,Dispatch loading and proof flow,P134,M019
P134,Phase 6 - Mobile,Order snapshot and stage-wise mobile board,P135,"M020, M021"
P135,Phase 6 - Mobile,"Barcode/QR scan, camera, attachment, and device utilities",P136,M023
P136,Phase 6 - Mobile,Offline queue conflict resolution and mobile test harness,P137,M024
P137,Phase 6 - Mobile,"Mobile polish, performance, localization, and role-aware navigation",P138,"M003, M024"
P138,Phase 7 - Integrations / QA / Deploy,"Email, SMS, and WhatsApp provider abstractions",P139,
P139,Phase 7 - Integrations / QA / Deploy,"Webhooks, import, and export pipelines",P140,
P140,Phase 7 - Integrations / QA / Deploy,AI provider registry and safe execution layer,P141,
P141,Phase 7 - Integrations / QA / Deploy,AI daily summary and delay-risk digest,P142,
P142,Phase 7 - Integrations / QA / Deploy,AI operational assistant and translation,P143,
P143,Phase 7 - Integrations / QA / Deploy,Automated backend tests,P144,
P144,Phase 7 - Integrations / QA / Deploy,Automated web tests,P145,
P145,Phase 7 - Integrations / QA / Deploy,Automated mobile tests,P146,
P146,Phase 7 - Integrations / QA / Deploy,Security hardening and audit review,P147,
P147,Phase 7 - Integrations / QA / Deploy,IIS packaging and deployment scripts,P148,
P148,Phase 7 - Integrations / QA / Deploy,"UAT scripts, demo data refresh, and acceptance matrix",P149,
P149,Phase 7 - Integrations / QA / Deploy,Final design QA against reference UI and production-readiness review,,
