"Entity","FieldName","BusinessLabel","DataType","ControlType","LookupSource","Required","Precision/Scale","Unit","AllowFreeText","ActionTruthDependency","Notes"
"InventoryValuationEntry","quantity","Valuation quantity","decimal","ReadOnly Number","","Yes","18,4","UOM","No","Post AP/AR Invoice","Linked to source stock transaction or invoice line."
"InventoryValuationEntry","unitCost","Unit cost","decimal","ReadOnly Money","","Yes","18,6","Currency","No","Post AP/AR Invoice","Weighted-average foundation; dispatch can be valuation pending when cost is missing."
"PackListLine","PcidId","PCID / license plate","bigint","Lookup","Inventory valid PCID policy API","No","","","No","Save pack list","Pack lines now persist PCID when selected; server-side policy enforces required PCID."
"Shipment","TransporterName","Transporter / carrier","string","Text","","No","","","Yes","Save shipment","Persisted logistics carrier snapshot."
"Shipment","DriverName","Driver","string","Text","","No","","","Yes","Save shipment","Persisted logistics driver snapshot."
"Shipment","DriverContact","Driver contact","string","Text","","No","","","Yes","Save shipment","Persisted logistics contact snapshot."
"Shipment","DeliveryAddressSnapshot","Delivery address snapshot","string","Text","","No","","","Yes","Save shipment","Snapshot only; customer address master overrides remain later-pack scope."
"Shipment","PodReceivedBy","POD received by","string","Text","","No","","","Yes","Close shipment","Required before Delivered/Closed POD status."
"Shipment","PodReceivedOn","POD received on","datetimeoffset","DateTime","","No","","","No","Save proof status","POD timestamp persists through live proof endpoint."
"ShipmentLine","PcidId","PCID / license plate","bigint","Lookup","Inventory valid PCID policy API","No","","","No","Save shipment","Shipment issue passes PCID to shared inventory posting."
"ShipmentLine","DeliveredQuantity","Delivered quantity","decimal","Number","","No","18,6","Qty","No","Save proof status","Cannot exceed shipped quantity with short/damaged quantities."
"ShipmentLine","ShortQuantity","Short quantity","decimal","Number","","No","18,6","Qty","No","Save proof status","Persisted POD shortage quantity."
"ShipmentLine","DamagedQuantity","Damaged quantity","decimal","Number","","No","18,6","Qty","No","Save proof status","Persisted POD damaged quantity."
"ShipmentLine","SalesOrderId","Sales order source","bigint","Reference","Sales order","No","","","No","Save shipment","Shipment line stores source SO snapshot without recalculating commercial values."
"ShipmentLine","SourceDocumentNo","Source document number","string","Reference","Sales order / shipment source","No","","","No","Save shipment","Source reference is copied from SO/dispatch context."
"ShipmentLine","ItemRevisionId","Item revision snapshot","bigint","Reference","Item revision","No","","","No","Save shipment","Stored as immutable dispatch snapshot for stock movement evidence."
"PlanningPlan","planCode","Plan code","string","Text","","Yes","","","Yes","Save plan","Business-entered planning identifier."
"PlanningPlan","planType","Plan type","string","Lookup","Planning plan type list","Yes","","","No","Save plan","Controlled planning scope."
"PlanningPlan","horizonStart","Horizon start","date","Date","","Yes","","","No","Save plan","Native date control."
"PlanningPlan","horizonEnd","Horizon end","date","Date","","Yes","","","No","Save plan","Native date control; cannot precede start."
"PlanningPlan","firmFenceDays","Firm fence days","int","Number","","Yes","int","","No","Save plan","ErpNumberField with non-negative validation."
"PlanningPlan","forecastFenceDays","Forecast fence days","int","Number","","Yes","int","","No","Save plan","ErpNumberField with non-negative validation."
"PlannedOrder","orderType","Order type","string","Lookup","Planned order type list","Yes","","","No","Save planned order","Controls purchase/work/transfer behavior."
"PlannedOrder","itemId","Item","int","Lookup","Item Master","Yes","","","No","Save planned order","ID-backed Item Master selector."
"PlannedOrder","uomId","UOM","int","Lookup","UOM Master","Yes","","","No","Save planned order","ID-backed UOM selector."
"PlannedOrder","quantity","Planned quantity","decimal","Decimal","","Yes","18,6","","No","Save planned order","ErpDecimalField with positive validation."
"PlannedOrder","plannedStartDate","Planned start date","date","Date","","Yes","","","No","Save planned order","Native date control."
"PlannedOrder","plannedDueDate","Planned due date","date","Date","","Yes","","","No","Save planned order","Native date control; cannot precede start."
"ShortageAction","actionType","Shortage action type","string","Lookup","Shortage action type list","Yes","","","No","Save shortage action","Derived from MRP/BOQ action and persisted on save."
"ShortageAction","shortageQuantity","Shortage quantity","decimal","Decimal","","Yes","18,6","","No","Save shortage action","ErpDecimalField/read-only calculated quantity."
"ShortageAction","dueDate","Shortage due date","date","Date","","Yes","","","No","Save shortage action","Native date control."
"BOM Line","componentItemId","Component item","int","Lookup","Item Master","Yes","","","No","Save draft lines","Editable in BOM component line grid."
"BOM Line","issueUomId","Issue UOM","int","Lookup","UOM Master","Yes","","","No","Save draft lines","Editable in BOM component line grid."
"BOM Line","quantityPer","Quantity per","decimal","Decimal","Numeric control","Yes","18,3","quantity","No","Save draft lines","Saved for every component line."
"BOM Line","scrapPercent","Scrap percent","decimal","Decimal","Numeric control","No","9,2","percent","No","Save draft lines","Saved for every component line."
"BOM Operation","operationId","Operation standard","int","Lookup","Operation Standard Master","Yes","","","No","Save draft lines","Editable in BOM operation line grid."
"BOM Operation","setupMinutes","Setup minutes","decimal","Decimal","Numeric control","No","9,2","minutes","No","Save draft lines","Saved for every operation line."
"BOM Operation","runMinutesPerUnit","Run minutes per unit","decimal","Decimal","Numeric control","No","9,2","minutes/unit","No","Save draft lines","Saved for every operation line."
"Routing Operation","operationId","Operation standard","int","Lookup","Operation Standard Master","Yes","","","No","Save routing","Editable in routing operation line grid."
"Routing Operation","workCenterId","Work center","int","Lookup","Work Center Master","No","","","No","Save routing","Editable in routing operation line grid."
"Routing Operation","setupMinutes","Setup minutes","decimal","Decimal","Numeric control","No","9,2","minutes","No","Save routing","Saved for every routing operation line."
"Routing Operation","runMinutesPerUnit","Run minutes per unit","decimal","Decimal","Numeric control","No","9,2","minutes/unit","No","Save routing","Saved for every routing operation line."
"Engineering Change Line","impactType","Impact type","string","Lookup","ECO impact type list","Yes","","","No","Save ECO draft","Affected-object grid selector."
"Engineering Change Line","targetEntityId","Target record ID","int","Number","Numeric control","Yes","","","No","Save ECO draft","Numeric target reference in affected-object grid."
"Engineering Change Line","actionType","Action","string","Lookup","ECO action type list","Yes","","","No","Save ECO draft","Affected-object grid selector."
"UdfDefinition","entityType","Entity type","string","Lookup","Implemented record type list","Yes","","","No","Save definition","Defines which implemented business entity the field extends."
"UdfDefinition","dataType","Data type","string","Lookup","UDF data-type list","Yes","","","No","Save definition","Controls value validation and storage lane."
"UdfDefinition","controlType","Control type","string","Lookup","UDF control-type list","Yes","","","No","Save definition","Controls the frontend field renderer."
"UdfDefinition","lookupSource","Lookup source","string","Lookup","Approved platform lookup source list","No","","","No","Save definition","Required for Lookup and Select controls."
"UdfDefinition","maxLength","Maximum text length","int","Number","","No","","characters","No","Save definition","Numeric validation metadata for text-backed UDFs."
"UdfDefinition","minNumber","Minimum numeric value","decimal","Decimal","","No","18,6","","No","Save definition","Lower bound for numeric UDF values."
"UdfDefinition","maxNumber","Maximum numeric value","decimal","Decimal","","No","18,6","","No","Save definition","Upper bound for numeric UDF values."
"UdfDefinition","decimalScale","Decimal scale","int","Number","","No","","digits","No","Save definition","Decimal precision control for numeric UDFs."
"Item","stockUomId","Stock UOM","int","Lookup","UOM Master","Yes","","","No","Save item draft","No free-text UOM."
"Item","purchaseUomId","Purchase UOM","int","Lookup","UOM Master","No","","","No","Save item draft","Used by vendor references."
"Item","salesUomId","Sales UOM","int","Lookup","UOM Master","No","","","No","Save item draft","Used by sales/commercial."
"Item","defaultWarehouse","Default warehouse","string","Lookup","Warehouse Master","No","","","No","Save item draft","Disabled when warehouse source missing."
"Item","defaultBin","Default bin","string","Lookup","Bin Master","No","","","No","Save item draft","Disabled until bin source is available for selected warehouse."
"Item","leadTimeDays","Lead time days","int","ErpNumberField","","No","","days","No","Save item draft","Whole number."
"Item","innerPack","Inner pack quantity","decimal","ErpDecimalField","","No","18,3","stock/pack UOM","No","Save item draft","Pack quantity is numeric."
"Item","cartonQty","Carton quantity","decimal","ErpDecimalField","","No","18,3","stock/pack UOM","No","Save item draft","Carton quantity is numeric."
"Item","palletQty","Pallet quantity","decimal","ErpDecimalField","","No","18,3","stock/pack UOM","No","Save item draft","Pallet quantity is numeric."
"Item","packagingUom","Packaging UOM","string","Lookup","UOM Master","No","","","No","Save item draft","No free-text packaging UOM."
"Item","netWeight","Net weight","decimal","ErpDecimalField","","No","18,3","kg","No","Save item draft","Remaining model stores string; must migrate to decimal."
"Item","grossWeight","Gross weight","decimal","ErpDecimalField","","No","18,3","kg","No","Save item draft","Remaining model stores string; must migrate to decimal."
"Item","packageLength","Package length","decimal","ErpDecimalField","","No","18,2","mm","No","Save item draft","Replaces free-text package dimensions."
"Item","packageWidth","Package width","decimal","ErpDecimalField","","No","18,2","mm","No","Save item draft","Replaces free-text package dimensions."
"Item","packageHeight","Package height","decimal","ErpDecimalField","","No","18,2","mm","No","Save item draft","Replaces free-text package dimensions."
"Item","labelCount","Label count","int","ErpNumberField","","No","","labels","No","Save item draft","Whole number label count."
"Item","length","Physical length","decimal","ErpDecimalField","","No","18,2","mm","No","Save item draft","Physical dimension is numeric."
"Item","width","Physical width","decimal","ErpDecimalField","","No","18,2","mm","No","Save item draft","Physical dimension is numeric."
"Item","height","Physical height","decimal","ErpDecimalField","","No","18,2","mm","No","Save item draft","Physical dimension is numeric."
"Item","thickness","Physical thickness","decimal","ErpDecimalField","","No","18,2","mm","No","Save item draft","Physical dimension is numeric."
"Item","shelfLife","Shelf life","int","ErpNumberField","","No","","days","No","Save item draft","Whole-number day field."
"Item","scrapAllowance","Scrap allowance","decimal","ErpDecimalField","","No","5,2","percent","No","Save item draft","Manufacturing policy percent field."
"Item","mrpEnabled","MRP enabled","string","Lookup","Planning policy list","No","","","No","Save item draft","Controlled planning policy value."
"Item","safetyStock","Safety stock","decimal","ErpDecimalField","","No","18,3","qty","No","Save item draft","Planning quantity field."
"Item","reorderPoint","Reorder point","decimal","ErpDecimalField","","No","18,3","qty","No","Save item draft","Planning quantity field."
"Item","minQuantity","Minimum quantity","decimal","ErpDecimalField","","No","18,3","qty","No","Save item draft","Planning min/max field."
"Item","maxQuantity","Maximum quantity","decimal","ErpDecimalField","","No","18,3","qty","No","Save item draft","Planning min/max field."
"Item","lotSize","Lot size","decimal","ErpDecimalField","","No","18,3","qty","No","Save item draft","Planning lot-size field."
"Item","purchaseLeadTime","Purchase lead time","int","ErpNumberField","","No","","days","No","Save item draft","Purchase policy lead-time field."
"Item","moq","Minimum order quantity","decimal","ErpDecimalField","","No","18,3","qty","No","Save item draft","Purchase policy quantity field."
"Item","customerId","Customer reference","int","Lookup","Customer Master","No","","","No","Save customer reference","Customer reference row must not use free text."
"Item","supplierId","Supplier reference","int","Lookup","Supplier Master","No","","","No","Save vendor reference","Supplier reference row must not use free text."
"Customer","code","Customer code","string","Text","","Yes","","","Yes","Save customer","Identifier text."
"Customer","name","Customer name","string","Text","","Yes","","","Yes","Save customer","Narrative master name."
"Customer","customerType","Customer type","string","Lookup","Customer type list","Yes","","","No","Save customer","Controlled value."
"Customer","status","Lifecycle status","string","Lookup","Status rule master","Yes","","","No","Save customer","Controlled status."
"Customer","taxCategory","Tax category","string","Lookup","Tax Category Master","No","","","No","Save customer profile","Controlled commercial setup."
"Customer","currencyCode","Currency","string","Lookup","Currency Master","No","","","No","Save customer profile","Controlled commercial setup."
"Customer","paymentTermsCode","Payment terms","string","Lookup","Payment Terms Master","Yes","","","No","Save customer","Controlled commercial setup."
"Customer","creditDays","Credit days","int","ErpNumberField","","No","","days","No","Save customer","Whole number."
"Customer","siteType","Site type","string","Lookup","Customer site type list","No","","","No","Save customer site","Controlled site usage."
"Customer","contactRole","Contact role","string","Lookup","Contact role list","No","","","No","Save contact point","Controlled contact role."
"Supplier","code","Supplier code","string","Text","","Yes","","","Yes","Save supplier","Identifier text."
"Supplier","name","Supplier name","string","Text","","Yes","","","Yes","Save supplier","Narrative master name."
"Supplier","supplierType","Supplier type/category","string","Lookup","Supplier type list","Yes","","","No","Save supplier","Controlled supplier category."
"Supplier","status","Lifecycle status","string","Lookup","Status rule master","Yes","","","No","Save supplier","Controlled status."
"Supplier","taxCategory","Tax category","string","Lookup","Tax Category Master","No","","","No","Save supplier profile","Controlled commercial setup."
"Supplier","currencyCode","Currency","string","Lookup","Currency Master","No","","","No","Save supplier profile","Controlled commercial setup."
"Supplier","paymentTermsCode","Payment terms","string","Lookup","Payment Terms Master","Yes","","","No","Save supplier","Controlled commercial setup."
"Supplier","complianceStatus","Compliance status","string","Lookup","Compliance status list","No","","","No","Save supplier profile","Controlled compliance state."
"Price List","priceListCode","Price list code","string","Text","","Yes","","","Yes","Save price list","Identifier text."
"Price List","currencyId","Currency","int","Lookup","Currency Master","Yes","","","No","Save price list","Must preserve ID."
"Price List","priceListType","Price list type","string","Lookup","Price list type list","Yes","","","No","Save price list","Controlled type."
"Price List","lineNo","Line number","int","ErpNumberField","","Yes","","","No","Save price list","Whole number."
"Price List","itemId","Item","int","Lookup","Item Master","No","","","No","Save price list line","Controlled item source."
"Price List","uomId","UOM","int","Lookup","UOM Master","Yes","","","No","Save price list line","No free-text UOM."
"Price List","minQuantity","Minimum quantity","decimal","ErpDecimalField","","Yes","18,3","qty","No","Save price list line","Decimal quantity."
"Price List","unitPrice","Unit price","money","ErpMoneyField","Currency Master","Yes","18,2","currency","No","Save price list line","Money field must display the selected price-list currency."
"Discount Scheme","schemeCode","Scheme code","string","Text","","Yes","","","Yes","Save discount scheme","Identifier text."
"Discount Scheme","discountType","Discount type","string","Lookup","Discount type list","Yes","","","No","Save discount scheme","Controlled scheme type."
"Discount Scheme","currencyId","Currency","int","Lookup","Currency Master","No","","","No","Save discount scheme","Controlled currency."
"Discount Scheme","applicabilityType","Applicability","string","Lookup","Applicability list","Yes","","","No","Save discount rule","Controlled applicability."
"Discount Scheme","minQuantity","Minimum quantity","decimal","ErpDecimalField","","No","18,3","qty","No","Save discount rule","Decimal quantity."
"Discount Scheme","discountPercent","Discount percent","decimal","ErpDecimalField","","No","5,2","percent","No","Save discount rule","Decimal percent."
"Discount Scheme","discountAmount","Discount amount","money","ErpMoneyField","Currency Master","No","18,2","currency","No","Save discount rule","Money field must display the selected discount-scheme currency."
"Tax/Currency/Terms","currencyCode","Currency code","string","Text","","Yes","","","Yes","Save currency","Identifier text."
"Tax/Currency/Terms","decimalPrecision","Decimal precision","int","ErpNumberField","","Yes","","","No","Save currency","Whole number."
"Tax/Currency/Terms","manualRate","Manual exchange rate","decimal","ErpDecimalField","","No","18,6","rate","No","Save exchange rate","Decimal rate."
"Tax/Currency/Terms","taxCategoryCode","Tax category code","string","Text","","Yes","","","Yes","Save tax category","Identifier text."
"Tax/Currency/Terms","defaultRatePercent","Default rate percent","decimal","ErpDecimalField","","Yes","5,2","percent","No","Save tax category","Decimal percent."
"Tax/Currency/Terms","paymentTermsCode","Payment terms code","string","Text","","Yes","","","Yes","Save payment terms","Identifier text."
"Tax/Currency/Terms","netDays","Net days","int","ErpNumberField","","Yes","","days","No","Save payment terms","Whole number."
"BOM","parentItemId","Parent item","int","Lookup","Item Master","Yes","","","No","Create/save BOM","Controlled item."
"BOM","componentItemId","Component item","int","Lookup","Item Master","Yes","","","No","Save BOM line","Controlled item."
"BOM","issueUomId","Issue UOM","int","Lookup","UOM Master","Yes","","","No","Save BOM line","No free-text UOM."
"BOM","quantityPer","Quantity per","decimal","ErpDecimalField","","Yes","18,3","qty","No","Save BOM line","Decimal quantity."
"BOM","scrapPercent","Scrap percent","decimal","ErpDecimalField","","No","5,2","percent","No","Save BOM line","Decimal percent."
"BOM","operationId","Operation standard","int","Lookup","Operation Standard","No","","","No","Save BOM operation","Controlled operation."
"Routing","outputItemId","Output item","int","Lookup","Item Master","Yes","","","No","Save routing","Controlled item."
"Routing","operationId","Operation standard","int","Lookup","Operation Standard","Yes","","","No","Save routing step","Controlled operation."
"Routing","workCenterId","Work center","int","Lookup","Work Center Master","No","","","No","Save routing step","Controlled resource."
"Routing","machineId","Machine","int","Lookup","Machine Master","No","","","No","Save routing step","Disabled where source/workflow missing."
"Routing","setupMinutes","Setup minutes","decimal","ErpDecimalField","","No","9,2","minutes","No","Save routing step","Decimal time."
"Routing","runMinutesPerUnit","Run minutes per unit","decimal","ErpDecimalField","","No","9,2","minutes","No","Save routing step","Decimal time."
"Routing","teardownMinutes","Teardown minutes","decimal","ErpDecimalField","","No","9,2","minutes","No","Save routing step","Decimal time."
"Routing","overlapPercent","Overlap percent","decimal","ErpDecimalField","","No","5,2","percent","No","Save routing step","Decimal percent."
"Work Order","workOrderNo","Work order number","string","ReadOnly","","Yes","","","No","Release work order","Generated/controlled by workflow."
"Work Order","itemId","Item","int","Lookup","Item Master","Yes","","","No","Create work order","Controlled item."
"Work Order","bomId","BOM","int","Lookup","BOM Library","Yes","","","No","Create work order","Controlled BOM."
"Work Order","routingId","Routing","int","Lookup","Routing Library","Yes","","","No","Create work order","Controlled routing."
"Work Order","plannedQuantity","Planned quantity","decimal","ErpDecimalField","","Yes","18,3","qty","No","Create work order","Decimal quantity."
"Job Card","jobCardNo","Job card number","string","ReadOnly","","Yes","","","No","Create job card","Generated/controlled by workflow."
"Job Card","machineId","Machine","int","Lookup","Machine Master","No","","","No","Assign job card","Controlled machine."
"Job Card","operatorId","Operator","int","Lookup","Authorized user registry","No","","","No","Assign job card","Controlled operator."
"Job Card","goodQuantity","Good quantity","decimal","ErpDecimalField","","No","18,3","qty","No","Complete job card","WS05 execution posting controls use decimal quantity fields for live good/reject/scrap updates."
"Job Card","rejectQuantity","Reject quantity","decimal","ErpDecimalField","","No","18,3","qty","No","Log job-card quantity","WS05 execution posting controls require a governed reason when reject quantity is posted."
"Job Card","scrapQuantity","Scrap quantity","decimal","ErpDecimalField","","No","18,3","qty","No","Log job-card quantity","WS05 execution posting controls require a governed reason when scrap quantity is posted."
"Job Card","pauseReasonCode","Pause reason","string","ErpLookupField","Reason Codes","No","","","No","Pause job card","WS05 pause action uses a governed reason selector before posting live pause."
"Production Receipt","workOrderId","Work order","int","Lookup","Work Order","Yes","","","No","Post receipt","Controlled source."
"Production Receipt","jobCardId","Job card","int","Lookup","Job Card","No","","","No","Post receipt","Controlled source."
"Production Receipt","warehouseId","Warehouse","int","Lookup","Warehouse Master","Yes","","","No","Post receipt","Controlled warehouse."
"Production Receipt","binId","Bin","int","Lookup","Bin Master","No","","","No","Post receipt","Controlled bin."
"Production Receipt","receivedQuantity","Received quantity","decimal","ErpDecimalField","","Yes","18,3","qty","No","Post receipt","Decimal quantity."
"QC/NCR","inspectionPlanId","QC plan","int","Lookup","QC Plan Setup","Yes","","","No","Create inspection","Controlled QC plan."
"QC/NCR","sourceDocument","Source document","string","Lookup","Receipt/Job/Dispatch context","Yes","","","No","Create NCR","Controlled source."
"QC/NCR","traceId","Lot/serial trace","string","Lookup","Traceability registry","No","","","No","Create NCR","Controlled trace."
"QC/NCR","disposition","Disposition","string","Lookup","Disposition list","No","","","No","Release disposition","Controlled quality state."
"QC/NCR","actualValue","Actual value","decimal","ErpDecimalField","","No","18,3","measurement","No","Save inspection","Decimal result where numeric."
"Dispatch","salesOrderId","Sales order","int","Lookup","Sales Order","Yes","","","No","Plan dispatch","Controlled source."
"Dispatch","customerId","Customer","int","Lookup","Customer Master","Yes","","","No","Plan dispatch","Controlled customer."
"Dispatch","packListId","Pack list","int","Lookup","Pack List","No","","","No","Prepare shipment","Controlled source."
"Dispatch","vehicleRef","Vehicle","string","Lookup","Vehicle/dispatch resource","No","","","No","Prepare shipment","Controlled when source exists."
"Dispatch","shippedQuantity","Shipped quantity","decimal","ErpDecimalField","","Yes","18,3","qty","No","Save shipment","Decimal quantity."
"Organization","companyId","Company","int","Lookup","Company Master","Yes","","","No","Save organization setup","Company-scoped records must not use free text."
"Organization","branchId","Branch","int","Lookup","Branch Master","No","","","No","Save branch setup","Branch selectors must remain governed."
"Organization","departmentId","Department","int","Lookup","Department Master","No","","","No","Save department setup","Department/manager mappings need governed source."
"Organization","warehouseId","Warehouse","int","Lookup","Warehouse Master","No","","","No","Save warehouse/bin setup","Warehouse and bin screens must preserve controlled source."
"Organization","binId","Bin","int","Lookup","Bin Master","No","","","No","Save warehouse/bin setup","Bin hierarchy must use controlled parent source."
"Organization","shiftId","Shift","int","Lookup","Shift Master","No","","","No","Save shift setup","Shift assignments must use controlled setup."
"MPS","planningHorizon","Planning horizon","date-range","Date controls","Planning calendar","Yes","","","No","Create MPS draft","WS04 MPS draft/edit workspace uses controlled date inputs for header and line horizons."
"MPS","itemId","Item","int","Lookup","Item Master","Yes","","","No","Create MPS draft","WS04 MPS schedule lines use governed item selectors."
"MPS","planningUomId","Planning UOM","int","Lookup","UOM Master","Yes","","","No","Create MPS draft","WS04 MPS schedule lines use governed planning UOM selectors."
"MPS","plannedQuantity","Planned quantity","decimal","Decimal","Planning quantity","Yes","0","","No","Create MPS draft","WS04 MPS schedule lines use decimal quantity controls."
"MRP","runCode","Run code","string","Text","","Yes","","","Yes","Run MRP","Generated or business-entered identifier."
"MRP","branchId","Branch","int","Lookup","Branch Master","Yes","","","No","Run MRP","MRP branch must be selected from controlled branch source."
"MRP","warehouseId","Warehouse","int","Lookup","Warehouse Master","No","","","No","Run MRP","Warehouse filter must not be free text."
"MRP","demandSource","Demand source","string","Lookup","Demand source list","Yes","","","No","Run MRP","Controlled planning source."
"MRP","planningHorizon","Planning horizon","string","Lookup","Planning calendar","Yes","","","No","Run MRP","Review-only selected run horizon must render as governed control."
"BOQ","sourceDocument","Source document","string","Lookup","Demand/MPS/Sales source","Yes","","","No","Convert BOQ","Controlled source document."
"BOQ","itemId","Item","int","Lookup","Item Master","Yes","","","No","Convert BOQ","Controlled item."
"BOQ","requiredQuantity","Required quantity","decimal","ErpDecimalField","","Yes","18,3","qty","No","Approve BOQ line","Decimal requirement."
"Platform Admin","userRole","User role","string","Lookup","Role Matrix","Yes","","","No","Save user lifecycle","User assignment must use controlled role source."
"Platform Admin","tenantCode","Tenant","string","Lookup","Tenant Registry","Yes","","","No","Save tenant setting","Tenant settings must use governed tenant selection."
"Platform Admin","workflowRuleId","Workflow rule","int","Lookup","Workflow Rule Registry","No","","","No","Save workflow rule","Workflow references must remain governed."
"Platform Admin","auditEventId","Audit event","string","ReadOnly","","Yes","","","No","Open audit event","Audit events are review-only and must not appear editable."
"Attachment","documentType","Document type","string","Lookup","Document Type Registry","Yes","","","No","Save document metadata","Document type is governed and must not be entered as free text."
"Attachment","relatedRecord","Related record","string","Lookup","Linked ERP Record","Yes","","","No","Open linked record","Related entity references must resolve through governed record selectors."
"Attachment","fileName","File name","string","ReadOnly","","Yes","","","No","Upload file","Binary upload storage controls the file name after a real upload."
"Notification","templateId","Notification template","int","Lookup","Notification Template","No","","","No","Send notification","Notification templates are governed by platform setup."
"Approval","workflowId","Approval workflow","int","Lookup","Approval Workflow","Yes","","","No","Approve or reject","Approval work items must reference a governed workflow definition."
"Sales Order","promisedDate","Promise date","date","Date","","No","","","No","Save sales order","Review-only promise dates must render as disabled date controls until sales order edit workflow is enabled."
"Purchase Requisition","sourceDocument","Source document","string","Lookup","Demand/MRP/BOQ source","Yes","","","No","Save requisition","Source document is controlled by originating demand or planning record and must not be free text."
"Purchase Requisition","nextNeedBy","Need-by date","date","Date","","No","","","No","Save requisition","Review-only need-by dates must render as disabled date controls until requisition edit workflow is enabled."
"Purchase Order","expectedReceiptDate","Expected receipt","date","Date","","No","","","No","Save purchase order","Review-only expected receipt dates must render as disabled date controls until purchase order workflow is enabled."
"Purchase Order","followUpSignal","Follow-up signal","string","Lookup","Supplier commitment status","No","","","No","Approve purchase order","Follow-up signals are controlled by supplier commitment status and must not be free text."
"Item Group","parentGroupId","Parent group","int","Lookup","Item Group","No","","","No","Save group draft","Hierarchy values must be selected from existing item groups."
"Item Group","defaultProfile","Default profile","string","Lookup","Measurement Profile","No","","","No","Save group draft","Default measurement profile must not be free text."
"Item Group","reportingBucket","Reporting bucket","string","Lookup","Reporting Bucket","No","","","No","Save group draft","Reporting bucket is a governed classification."
"Item Attribute","dataType","Data type","string","Lookup","Attribute Type List","Yes","","","No","Save attribute draft","Attribute value behavior must use controlled data type."
"Item Attribute Value","attributeValueCode","Allowed value code","string","Text","","Yes","","","Yes","Save attribute draft","Allowed value codes are business-entered but unique within the attribute."
"Item Attribute Value","attributeValueName","Allowed value name","string","Text","","Yes","","","Yes","Save attribute draft","Allowed value names are business-facing option labels."
"Item Attribute Value","sortOrder","Sort order","int","ErpNumberField","","Yes","","","No","Save attribute draft","Allowed value ordering uses numeric controls."
"Item Attribute Value","status","Value status","string","Lookup","Status List","Yes","","","No","Save attribute draft","Allowed value lifecycle is governed."
"Classification","classificationType","Classification type","string","Lookup","Classification Type List","Yes","","","No","Save classification draft","Product family business segment and reporting bucket are controlled classification types."
"UOM Conversion","conversionFactor","Conversion factor","decimal","ErpDecimalField","","Yes","18,6","factor","No","Save conversion draft","Conversion factors must use decimal controls."
"UOM Conversion","decimalPlaces","Decimal places","int","ErpNumberField","","No","","places","No","Save conversion draft","Decimal-place setup must use numeric controls."
"Measurement Profile","dimensionUomClass","Dimension UOM class","string","Lookup","UOM Class","No","","","No","Save profile draft","Dimension UOM class must be selected from UOM setup."
