"Route","Field","ViolationType","Severity","FixApplied","RemainingDependency"
"/platform/attachments","Upload/download/version actions","upload action not truthful","High","Existing action truth remains disabled where workflow is unavailable","Attachment authorization/versioning remains partial"
"/platform/users","Role/scope selectors","free text instead of lookup","Medium","Existing role/scope controls remain governed","User lifecycle remains partial"
"/platform/roles","Permission actions","dead action","Medium","ErpActionBar continues disabling handlerless role actions","Role cloning/custom role governance remains disabled"
"/organization/companies","Country/tax/calendar fields","free text instead of lookup","Medium","MASTER-COMPLETION-CLUSTER-RUNNER-01 converted touched country/timezone/currency/calendar/status controls to governed selectors or disabled unavailable sources with reasons","Legal/tax registration source depth remains partial"
"/organization/branches","Warehouse/contact/calendar fields","free text instead of lookup","Medium","MASTER-COMPLETION-CLUSTER-RUNNER-01 converted touched branch type/timezone/calendar/default warehouse/status controls to governed selectors or disabled unavailable sources with reasons","Contact and branch policy source depth remains partial"
"/organization/departments","Manager mapping","free text instead of lookup","Medium","MASTER-COMPLETION-CLUSTER-RUNNER-01 converted department type/status to governed selectors and kept manager hierarchy sources disabled with reasons","User/manager lookup workflow depth remains partial"
"/organization/warehouses","Branch/bin policy fields","free text instead of lookup","Medium","MASTER-COMPLETION-CLUSTER-RUNNER-01 converted warehouse type/status to governed selectors and controlled branch by active context","Zone/bin policy depth remains partial"
"/organization/bins","Warehouse/bin parent fields","free text instead of lookup","Medium","MASTER-COMPLETION-CLUSTER-RUNNER-01 converted warehouse/bin type/block reason to governed selectors and numeric capacity fields to typed controls","Parent bin hierarchy source remains extension scope"
"/organization/shifts","Branch/work-center/crew fields","free text instead of lookup","Medium","MASTER-COMPLETION-CLUSTER-RUNNER-01 converted calendar/status controls to governed selectors and shift numeric fields to typed controls","Crew and calendar versioning depth remains partial"
"/measurements/uom-classes","UOM class fields","free text instead of lookup","Low","Existing lookup behavior retained","Activation dependency workflow remains partial"
"/measurements/uom-conversions","Conversion factors","numeric as text","Medium","No new changes this pass","Formula editor needs ErpDecimalField migration"
"/measurements/profiles","Measurement values","numeric as text","Medium","STRICT-DOMAIN-COMPLETION-01 reverified profile precision uses ErpNumberField and catch-weight/dimension setup uses governed toggles and UOM-class selectors","No touched measurement-profile numeric violation remains"
"/masters/item-groups","Default UOM/profile fields","free text instead of lookup","Medium","No new changes this pass","Category default source depth remains partial"
"/masters/item-attributes","Allowed values/status","free text instead of lookup","Low","WS03 replaced free-form sample-value maintenance with governed value rows and status selectors","Resolved in touched WS03 scope"
"/masters/reason-codes","Applicability/status fields","free text instead of lookup","Medium","No new changes this pass","Reason-code workflow source should feed all dependent screens"
"/partners/supplier-lead-times","Lead time days","numeric as text","High","Replaced review value with disabled ErpNumberField","Supplier lead-time save workflow remains partial"
"/inventory/balances","Lot / serial","free text instead of lookup","Medium","Replaced review value with disabled ErpLookupField","Lot/serial selector and trace lookup depth remain partial"
"/inventory/balances","Catch-weight basis","free text instead of lookup","Medium","Replaced review value with disabled ErpLookupField","Catch-weight decimal persistence remains partial"
"/sales/blanket-orders","Horizon","free text instead of lookup","Medium","Replaced review value with disabled ErpLookupField","Editable blanket horizon workflow remains partial"
"/sales/blanket-orders","Next release","layout violation","Medium","Replaced generic disabled text field with governed disabled selector/date-control placeholder","Editable release calendar workflow remains partial"
"/planning/mps","MPS header and schedule lines","free text instead of lookup","Medium","WS04 replaced review-only MPS detail with governed draft/edit controls for status, item, planning UOM, date, and quantity fields","Resolved in touched scope"
"/planning/mrp","Planning horizon","free text instead of lookup","Medium","Replaced selected-run review value with disabled ErpLookupField","MRP horizon source should bind planning calendar API"
"/masters/uom-classes","Live setup rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded setup rows on API failure","Page-specific error state can be improved"
"/masters/uom-conversions","Live setup rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded setup rows on API failure","Formula editor numeric migration remains partial"
"/masters/measurement-profiles","Live setup rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded setup rows on API failure","Measurement detail model remains partially string-backed"
"/masters/items","Live item rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded item rows on API failure","Page-specific error state can be improved"
"/partners/customers","Live customer rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded customer rows on API failure","Customer profile depth remains partial"
"/partners/suppliers","Live supplier rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded supplier rows on API failure","Supplier profile depth remains partial"
"/organization/companies","Live company rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded organization rows on API failure","Organization extension lookups remain partial"
"/organization/branches","Live branch rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded organization rows on API failure","Branch policy depth remains partial"
"/organization/departments","Live department rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded organization rows on API failure","Manager lookup depth remains partial"
"/organization/warehouses","Live warehouse rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded organization rows on API failure","Warehouse policy depth remains partial"
"/organization/bins","Live bin rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded organization rows on API failure","Bin hierarchy depth remains partial"
"/organization/shifts","Live shift rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded organization rows on API failure","Calendar versioning remains partial"
"/engineering/bom-library","Live BOM library rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded BOM rows on API failure","Older BOM library authoring remains reference-only"
"/engineering/bom-editor","Live BOM editor rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded BOM editor rows on API failure","BOM draft save workflow remains partial"
"/engineering/routings","Live routing rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded routing rows on API failure","Routing draft workflow remains partial"
"/engineering/eco","Live ECO rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded ECO rows on API failure","ECO approval depth remains partial"
"/engineering/operations","Live operation rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded operation rows on API failure","Machine/operator source depth remains partial"
"/engineering/alternate-items","Live alternate item rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded alternate rows on API failure","Central reason-code API remains pending"
"/engineering/documents","Live engineering document rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded document rows on API failure","Document binary workflow remains disabled"
"/procurement/requisitions","Live procurement rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded procurement rows on API failure","Procurement approval workflow remains partial"
"/procurement/purchase-orders","Live procurement rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded procurement rows on API failure","Purchase-order release workflow remains partial"
"/procurement/subcontracting","Live procurement rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded procurement rows on API failure","Subcontract lifecycle remains partial"
"/dashboards/order-delivery","Live dashboard cards","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded dashboard rows on API failure","Dashboard endpoint readiness must be validated against production SQL"
"/dashboards/stage-wise","Live dashboard cards","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded dashboard rows on API failure","Dashboard endpoint readiness must be validated against production SQL"
"/dashboards/executive-cockpit","Live dashboard cards","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded dashboard rows on API failure","Dashboard endpoint readiness must be validated against production SQL"
"/platform/users","Live user rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded admin rows on API failure","User lifecycle depth remains partial"
"/platform/roles","Live role matrix rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded admin rows on API failure","Role cloning/custom role workflow remains partial"
"/platform/workflows","Live workflow rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded admin rows on API failure","Workflow authoring depth remains partial"
"/platform/tenants","Live tenant rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded admin rows on API failure","Tenant policy depth remains partial"
"/platform/audit-trail","Live audit rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded admin rows on API failure","Audit export remains client-scoped"
"/platform/translations","Live translation rows","seeded/live data issue","High","Live adapter now throws unavailable instead of seeded admin rows on API failure","Translation lifecycle remains partial"
"/sales/quotes","New quote draft","dead action","High","Wired New quote draft to centered modal workspace and saveQuoteDraft API","Quote approval/convert workflow remains partial"
"/sales/quotes","Save quote draft","dead action","High","Wired valid live quote drafts to POST/PUT quote API with disabled reasons for demo/incomplete drafts","Line-level pricing/approval depth remains partial"
"/sales/quotes","Workspace guidance copy","layout violation","Low","Replaced generic workspace copy with planning-specific guidance","Continue domain wording scan during UAT"
"/masters/item-groups","Workspace records copy","layout violation","Low","Replaced generic workspace record label with master-record wording","Continue domain wording scan during UAT"
"/measurements/uom-classes","Workspace records copy","layout violation","Low","Replaced generic workspace record label with measurement-record wording","Continue domain wording scan during UAT"
"/organization/companies","Workspace records copy","layout violation","Low","Replaced generic workspace record label with organization-record wording","Continue domain wording scan during UAT"
"/partners/customers","Commercial workspace guidance copy","layout violation","Low","Replaced generic workspace wording with commercial guidance","Continue domain wording scan during UAT"
"/platform/context-switch","Workspace guidance and preview copy","layout violation","Low","Replaced generic workspace labels with context guidance and context preview","Continue domain wording scan during UAT"
"/sales/orders","Promise date","layout violation","Medium","Rendered the review-only promise date as a disabled date control with sales order workflow dependency","Sales order edit workflow remains partial"
"/procurement/requisitions","Source document","free text instead of lookup","High","Replaced raw review input with a disabled governed source-document selector","Source document drill-down/search remains partial"
"/procurement/requisitions","Next need by","layout violation","Medium","Rendered the review-only need-by date as a disabled date control with requisition workflow dependency","Purchase requisition edit workflow remains partial"
"/procurement/purchase-orders","Expected receipt","layout violation","Medium","Rendered the review-only expected receipt date as a disabled date control with purchase order workflow dependency","Purchase order follow-up workflow remains partial"
"/procurement/purchase-orders","Follow-up signal","free text instead of lookup","High","Replaced raw follow-up input with a disabled governed supplier-commitment selector","Supplier commitment status source remains partial"
"/engineering/*","Read-only reference reasons","layout violation","Low","Replaced production-facing seeded terminology with reference-record wording","Continue manual engineering copy scan during UAT"
"/masters/items","Media upload disabled reason","upload action not truthful","Medium","Kept upload disabled and replaced internal workspace reason with item-record storage reason","Binary item media storage remains partial"
"/organization/companies","Company modal disabled reasons","layout violation","Low","Replaced internal workspace wording with company setup workflow reasons","Company save and audit workflows remain partial"
"/platform/notifications","Notification unavailable state","seeded/live data issue","Medium","Replaced workspace wording with business-safe live-data unavailable state","Notification delivery depth remains partial"
"/platform/approvals","Approval unavailable state","seeded/live data issue","Medium","Replaced workspace wording with business-safe live-data unavailable state","Approval workflow depth remains partial"
"/platform/approvals","Approval decision actions","dead action","High","Gated Approve/Request changes/Reject by approval status and submission state","Delegation/comment/history workflow depth remains partial"
"/platform/attachments","Live attachment rows","seeded/live data issue","High","Live authenticated sessions now load the attachment API or show unavailable state instead of deferred document rows","Document-control versioning/download depth remains partial"
"/platform/translations","Translation detail fields","layout violation","Medium","Changed translation module and phrase fields to read-only/disabled controls while localization workflow is disabled","Translation publish/review workflow remains partial"
"/platform/workflow-numbering","Approval chain","free text instead of lookup","Medium","Changed approval chain review value to a disabled governed selector and normalized displayed chain text","Workflow versioning and approval-chain editing remain partial"
"/masters/item-groups","Parent group / defaults / status","free text instead of lookup","High","MASTER-COMPLETION-WAVE-01 rendered parent group default profile reporting bucket default traceability and status as controlled selectors","Save lifecycle workflow remains disabled with reason"
"/masters/item-attributes","Attribute type / status / allowed values","numeric as text","Medium","WS03 keeps data type/status as selectors, allowed-value count as numeric, and sort order as numeric","Resolved in touched WS03 scope"
"/masters/classifications","Product family / business segment / reporting bucket","free text instead of lookup","High","MASTER-COMPLETION-WAVE-01 added classification registry and made dependent item fields selectable from existing values","Creation workflow remains disabled with reason"
"/measurements/uom-classes","Class status / add unit","dead action","Medium","MASTER-COMPLETION-WAVE-01 added status selector and disabled Add unit with reason","Unit-in-class write workflow remains partial"
"/measurements/uom-conversions","Source target and factor","numeric as text","High","MASTER-COMPLETION-WAVE-01 rendered conversion mode rounding status as selectors and conversion factor / decimal places as numeric controls","Conversion save workflow remains disabled with reason"
"/measurements/profiles","Profile UOMs and precision","numeric as text","High","MASTER-COMPLETION-WAVE-01 rendered profile type dimension UOM weight UOM status as selectors and precision as numeric","Profile write workflow remains disabled with reason"
"/resources/work-centers","Company branch department capacity UOM shift","free text instead of lookup","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 verified controlled resource context selectors and numeric parallel capacity in centered modal workspace","Department capacity UOM and shift sources remain disabled until setup exists"
"/resources/machines","Work center machine type capacity","free text instead of lookup","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 verified work center selector, disabled machine type source, and decimal capacity control in centered modal workspace","Machine type setup source remains partial"
"/resources/tools","Tool type and compatibility","free text instead of lookup","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 verified tool type as ErpLookupField and compatibility as disabled governed selector with reason","Machine-group compatibility source remains non-critical extension depth"
"/commercial/price-lists","Price list line and assignment fields","dead action","High","MASTER-COMPLETION-WAVE-01 disabled export add-line remove-line clone lifecycle and audit actions with reasons","Multi-line pricing workflow remains partial"
"/commercial/discount-schemes","Discount breaks and export","dead action","High","MASTER-COMPLETION-WAVE-01 disabled export add-break remove-break lifecycle and audit actions with reasons","Multi-break discount workflow remains partial"
"/commercial/tax-currency-terms","Commercial setup save validation","dead action","Medium","MASTER-COMPLETION-WAVE-01 added validation gating and lifecycle/audit disabled reasons","Dependency audit workflow remains partial"
"/masters/items","Category subcategory family segment reporting bucket","free text instead of lookup","High","MASTER-COMPLETION-WAVE-01 changed item classification fields to selectors backed by available master values","None in touched item classification fields"
"/search","Global search route and controls","missing screen/action truth","High","Added governed global search route with working search, clear, result preview, and source navigation actions","Dedicated indexed search/read model remains partial"
"/","Role home dashboard live rows","seeded/live data issue","High","Live authenticated sessions no longer render seeded dashboard KPI, risk, or stage rows when dashboard APIs fail","Production dashboard data depth remains partial"
"/dashboards/executive-cockpit","Executive cockpit live rows","seeded/live data issue","High","Live authenticated sessions no longer render seeded executive KPI, risk, or stage rows when dashboard APIs fail","Executive export and deeper drilldown remain partial"
"/dashboards/executive-cockpit","Executive detail workspace","layout violation","Medium","Moved executive intervention detail from right drawer to centered modal workspace","Deeper source-record drilldown remains routed to source screens"
"/platform/attachments","Upload/download/preview actions","upload action not truthful","High","Wired upload, preview, and download to existing scoped attachment storage and metadata workflow","Document versioning and document-control audit depth remain partial"
"/login","Device registration controls","dead action","Medium","Disabled device registration controls with a business-safe reason because device trust policy is not enabled","Production device trust lifecycle remains partial"
"/forgot-password","Reset completion fields","dead action","Medium","Rendered token/new-password reset completion as disabled controls with business-safe reason","Direct reset completion requires approved verification workflow"
"/platform/context-switch","Company branch warehouse selectors","free text instead of lookup","Medium","Replaced context selectors with governed lookup controls","Warehouse source still comes from current workspace preference scope"
"/organization/companies","Timezone base currency calendar and status fields","governed lookup free text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 replaced company draft fields with ErpLookupField controlled options and centered modal validation","Legal and tax registration depth remains partial"
"/organization/branches","Branch type timezone calendar default warehouse and status fields","governed lookup free text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 replaced touched branch fields with ErpLookupField controls and disabled unavailable default warehouse source with a visible reason","Contact and branch policy depth remains partial"
"/organization/departments","Department type parent department manager and status fields","governed lookup free text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 replaced touched department fields with ErpLookupField controls and disabled unavailable hierarchy/user sources with visible reasons","User assignment workflow depth remains partial"
"/organization/warehouses","Warehouse type branch and status fields","governed lookup free text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 replaced touched warehouse fields with ErpLookupField controls and controlled active branch context","Zone and warehouse policy depth remains partial"
"/organization/bins","Capacity and cycle count fields","numeric as text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 replaced capacity with ErpDecimalField and cycle-count days with ErpNumberField","Capacity UOM master linkage remains disabled with reason until measurement source is approved"
"/organization/bins","Warehouse bin type block reason and capacity UOM","governed lookup free text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 replaced touched bin selectors with ErpLookupField controls and disabled unavailable source lookups with visible reasons","Parent bin hierarchy source remains extension scope"
"/organization/shifts","Break minutes and sequence","numeric as text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 replaced shift numeric fields with ErpNumberField and time fields with time inputs","Exception and publish workflow depth remains partial"
"/organization/shifts","Calendar profile and status fields","governed lookup free text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 replaced touched shift selectors with ErpLookupField controlled options","Calendar versioning depth remains partial"
"/resources/work-centers","Parallel capacity units and controlled setup values","numeric/governed controls","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 verified ErpNumberField and ErpLookupField controls in centered work center workspace","Cost and audit depth remains partial"
"/resources/machines","Capacity per hour and work center/status selectors","numeric/governed controls","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 verified ErpDecimalField and ErpLookupField controls in centered machine workspace","Machine type source remains disabled with reason until setup exists"
"/planning/capacity","Live capacity board rows","seeded/live data issue","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 blocks silent seeded capacity fallback in live authenticated sessions","Capacity rebuild/save workflow remains partial"
"/planning/capacity","Constraint signal","free text instead of lookup","Medium","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 renders constraint signal as disabled governed selector with reason","Constraint remediation workflow remains partial"
"/planning/mrp-results","Exception type severity recommended action","free text instead of lookup","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 opens exceptions in centered workspace with governed disabled selectors","Exception owner/action workflow remains partial"
