"ScreenId","ScreenName","Route","FilePath","Domain","Platform","PrimaryRoles","CurrentStatus","DataStatus","BackendStatus","DbStatus","MajorGaps","RequiredReworkLevel","Priority","SuggestedImplementationWave","AcceptanceGate"
"W021","Branch Master","/organization/branches","src/web/src/pages/OrganizationPages.tsx","Organization","Web","CompanyAdmin","SHALLOW","LIVE","LIVE API BACKED","EXISTS","Contacts default warehouse calendar and dependency blockers need depth","MEDIUM","HIGH","Wave 3","Branch drives context warehouse defaults and planning filters"
"W022","Department Master","/organization/departments","src/web/src/pages/OrganizationPages.tsx","Organization","Web","CompanyAdmin","SHALLOW","LIVE","LIVE API BACKED","EXISTS","Manager user mapping and dependency blockers are shallow","LIGHT","MEDIUM","Wave 3","Departments can safely own users approvals and resources"
"W023","Warehouse Master","/organization/warehouses","src/web/src/pages/OrganizationPages.tsx","Organization","Web","CompanyAdmin; StoreKeeper","SHALLOW","LIVE","LIVE API BACKED","EXISTS","Warehouse policies bin defaults QC hold and capacity depth missing","MEDIUM","HIGH","Wave 3","Warehouse rules govern inventory transactions"
"W024","Bin Master","/organization/bins","src/web/src/pages/OrganizationPages.tsx","Organization","Web","CompanyAdmin; StoreKeeper","SHALLOW","LIVE","LIVE API BACKED","EXISTS","Physical hierarchy barcode capacity and block lifecycle are shallow","MEDIUM","HIGH","Wave 3","Bins are scan-ready and policy-aware"
"W025","Shift Calendar","/organization/shifts","src/web/src/pages/OrganizationPages.tsx","Organization","Web","CompanyAdmin; ProductionSupervisor","SHALLOW","LIVE","LIVE API BACKED","EXISTS","Calendar visualization exceptions and publish lifecycle need depth","MEDIUM","HIGH","Wave 3","Shift patterns feed capacity and production entry"
"W026","Work Center Master","/resources/work-centers","MISSING","Resources","Web","CompanyAdmin; PlanningManager","MISSING","UNKNOWN","LIVE API BACKED","EXISTS","Backend exists but no first-class web route","DEEP","HIGH","Wave 3","Work centers can be configured for routing capacity and planning"
"W027","Machine Master","/resources/machines","MISSING","Resources","Web","CompanyAdmin; PlanningManager","MISSING","UNKNOWN","LIVE API BACKED","EXISTS","Backend exists but setup route is missing","DEEP","HIGH","Wave 3","Machines can be configured for board downtime and capacity"
"W028","Tool / Die / Mould Master","/resources/tools","MISSING","Resources","Web","CompanyAdmin; PlanningManager","MISSING","UNKNOWN","LIVE API BACKED","EXISTS","Backend exists but setup route is missing","DEEP","HIGH","Wave 3","Tools can be planned and status-controlled"
"W029","UOM Class Master","/measurements/uom-classes","src/web/src/pages/MeasurementPages.tsx","Measurements","Web","CompanyAdmin","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Needs richer validation defaults and dependency blockers","MEDIUM","MEDIUM","Wave 3","UOM class changes are safe for existing items"
"W030","UOM Conversion Master","/measurements/uom-conversions","src/web/src/pages/MeasurementPages.tsx","Measurements","Web","CompanyAdmin","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Formula conversions and item impact are shallow","MEDIUM","HIGH","Wave 3","Conversions support item purchase sales stock and production UOM"
"W031","Measurement Profile Master","/measurements/profiles","src/web/src/pages/MeasurementPages.tsx","Measurements","Web","CompanyAdmin","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Catch-weight dimensional rules and validation are shallow","MEDIUM","HIGH","Wave 3","Profiles drive item tracking and quantity validation"
"W032","Item Group / Category Master","/masters/item-groups","src/web/src/pages/ItemMasterPages.tsx","Masters","Web","CompanyAdmin","SHALLOW","FALLBACK","PARTIAL API BACKED","PARTIAL","Category hierarchy defaults and required attributes are shallow","MEDIUM","HIGH","Wave 4","Groups enforce item defaults and required fields"
"W033","Item Attribute Master","/masters/item-attributes","src/web/src/pages/ItemMasterPages.tsx","Masters","Web","CompanyAdmin","SHALLOW","FALLBACK","PARTIAL API BACKED","PARTIAL","Attribute data types variant flags and validation rules need depth","MEDIUM","HIGH","Wave 4","Attributes power item specs and variants"
"W034","Reason Codes & Status Rules","/masters/reason-codes","src/web/src/pages/ItemMasterPages.tsx","Masters","Web","CompanyAdmin","SHALLOW","FALLBACK","PARTIAL API BACKED","PARTIAL","Reason/status rules are not deeply wired to transactions","MEDIUM","HIGH","Wave 4","Reasons govern downtime scrap hold reject and escalation"
"W040","Item List","/masters/items","src/web/src/pages/ItemMasterPages.tsx","Items","Web","PlanningManager; StoreKeeper; SalesCoordinator","DEMO-LIKE","PARTIAL","LIVE API BACKED","PARTIAL","List lacks deep filters lifecycle blockers and commercial/manufacturing readiness","DEEP","CRITICAL","Wave 4","Users can find incomplete blocked and active items by operational status"
"W041","Item Detail / Editor","/masters/items","src/web/src/pages/ItemMasterPages.tsx","Items","Web","CompanyAdmin; PlanningManager","DEMO-LIKE","PARTIAL","LIVE API BACKED","PARTIAL","Current item form is far below V2 tabs media catalog packaging quality commercial references","REBUILD","CRITICAL","Wave 4","Full V2 item master tabs pass activation and downstream dependency checks"
"W042","Item Variant Matrix","/masters/item-variants","src/web/src/pages/ItemMasterPages.tsx","Items","Web","CompanyAdmin; SalesCoordinator","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Variant templates aliases and inherited fields are shallow","DEEP","CRITICAL","Wave 4","Generated variants are unique approved and searchable"
"W043","Barcode / Label Setup","/masters/barcodes","src/web/src/pages/ItemMasterPages.tsx","Items","Web","CompanyAdmin; StoreKeeper","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Label templates scan rules customer/supplier barcodes missing depth","DEEP","CRITICAL","Wave 4","Barcodes and labels validate mobile scans and print previews"
"W044","Customer List","/partners/customers","src/web/src/pages/PartnerPages.tsx","Partners","Web","SalesCoordinator; ManagementViewer","DEMO-LIKE","PARTIAL","LIVE API BACKED","PARTIAL","Customer status credit site and risk filtering are shallow","DEEP","CRITICAL","Wave 4","Customer list exposes live credit delivery and order risk"
"W045","Customer Detail","/partners/customers","src/web/src/pages/PartnerPages.tsx","Partners","Web","SalesCoordinator","DEMO-LIKE","PARTIAL","LIVE API BACKED","PARTIAL","Legal sites contacts credit terms preferences documents are missing depth","REBUILD","CRITICAL","Wave 4","Customer can drive sales dispatch contacts credit and catalog visibility"
"W046","Supplier List","/partners/suppliers","src/web/src/pages/PartnerPages.tsx","Partners","Web","PurchaseManager","DEMO-LIKE","PARTIAL","LIVE API BACKED","PARTIAL","Lead time compliance performance and category filters are shallow","DEEP","CRITICAL","Wave 4","Supplier list supports sourcing and compliance decisions"
"W047","Supplier Detail","/partners/suppliers","src/web/src/pages/PartnerPages.tsx","Partners","Web","PurchaseManager","DEMO-LIKE","PARTIAL","LIVE API BACKED","PARTIAL","Sites contacts terms compliance docs and approved categories missing depth","REBUILD","CRITICAL","Wave 4","Supplier can drive PR PO lead-time and compliance checks"
"W048","Supplier Lead Time Matrix","/partners/supplier-lead-times","src/web/src/pages/CommercialPlanningPages.tsx","Partners","Web","PurchaseManager; PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Needs item/category/branch effective dates and reliability history","DEEP","HIGH","Wave 4","MRP can use approved lead time rules"
"W049","Attachment / Document Viewer","/platform/attachments","src/web/src/pages/CommercialPlanningPages.tsx","Platform","Web","All roles","DEMO-LIKE","FALLBACK","ADAPTER / FALLBACK BACKED","MISSING","Document lifecycle versioning permissions and media storage are missing","REBUILD","CRITICAL","Wave 4","Documents are versioned permissioned linked and auditable"
"W050","Estimate / Quote List","/sales/quotes","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Web","SalesCoordinator","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Quote detail pricing discount tax and attachments are shallow","DEEP","HIGH","Wave 4","Quotes use approved customer item price and terms"
"W051","Sales Order List","/sales/orders","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Web","SalesCoordinator; PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Order risk list exists but deep SO lifecycle missing","DEEP","HIGH","Wave 4","SO list exposes readiness promise and stage status"
"W052","Sales Order Detail","/sales/orders","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Web","SalesCoordinator; PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Deep order line specs attachments customer refs and pricing are missing","REBUILD","HIGH","Wave 4","SO can become manufacturing demand without re-entry"
"W053","Blanket Order / Contract","/sales/blankets","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Web","SalesCoordinator","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Schedule release terms and contract lifecycle are shallow","DEEP","MEDIUM","Wave 4","Blanket releases generate controlled demand"
"W054","Demand Forecast","/sales/forecasts","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Web","SalesCoordinator; PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Forecast versioning import and consumption are shallow","DEEP","HIGH","Wave 5","Forecast feeds MPS/MRP with versioned demand"
"W055","MPS Planner","/planning/mps","src/web/src/pages/CommercialPlanningPages.tsx","Planning","Web","PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Needs period grid frozen horizon overrides and audit","DEEP","HIGH","Wave 5","MPS drives MRP demand with controlled overrides"
"W056","Available to Promise / Order Promise","/sales/atp","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Web","SalesCoordinator; PlanningManager","DEMO-LIKE","FALLBACK","PARTIAL API BACKED","PARTIAL","ATP logic material capacity and promise commitments are shallow","REBUILD","CRITICAL","Wave 5","ATP promise uses live stock capacity and approved rules"
"W057","Order Delivery Dashboard","/dashboards/order-delivery","src/web/src/pages/DashboardPages.tsx","Dashboards","Web","ManagementViewer; SalesCoordinator; PlantHead","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Reference UI strong but drilldowns actions and source confidence need depth","MEDIUM","HIGH","Wave 5","Dashboard is real order risk source with drilldowns"
"W060","BOM Library","/engineering/boms","src/web/src/pages/EngineeringPages.tsx","Engineering","Web","PlanningManager; Engineering; PlantHead","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Dependency health release readiness and revision filters need depth","MEDIUM","HIGH","Wave 5","BOM list identifies release-ready and blocked BOMs"
"W061","BOM Detail / Editor","/engineering/bom-editor","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Web","PlanningManager; Engineering","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Component grid effectivity substitutes documents approvals and validations need depth","DEEP","HIGH","Wave 5","Released BOM has complete components UOM and approvals"
"W062","BOM Comparison","/engineering/bom-comparison","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Web","PlanningManager; Engineering","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Comparison lacks full revision cost qty operation differences","MEDIUM","MEDIUM","Wave 5","Approvers see exact revision deltas"
"W063","ECO / Revision Control","/engineering/eco-revisions","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Web","Engineering; CompanyAdmin","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","ECO lifecycle impacted-record grid and implementation checklist are shallow","DEEP","HIGH","Wave 5","ECO controls release with effectivity and audit"
"W064","Routing Library","/engineering/routings","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Web","PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Routing editor depends on missing resource setup depth","DEEP","HIGH","Wave 5","Routing drives capacity job cards and QC checkpoints"
"W065","Operation Standard & Cycle Times","/engineering/operations","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Web","PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Operation parameters skills QC and documents are shallow","DEEP","HIGH","Wave 5","Operations are approved reusable production standards"
"W066","BOQ / Requirements","/planning/boq","src/web/src/pages/PlanningPages.tsx","Planning","Web","PlanningManager; PurchaseManager","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Conversion actions override audit and alternative handling need depth","DEEP","HIGH","Wave 5","BOQ can create PR/WO decisions with traceable exceptions"
"W067","MRP Run Console","/planning/mrp-run","src/web/src/pages/PlanningPages.tsx","Planning","Web","PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Run versioning inputs and missing-data diagnostics need depth","DEEP","HIGH","Wave 5","MRP run produces versioned explainable results"
"W068","MRP Results / Exceptions","/planning/mrp-exceptions","src/web/src/pages/PlanningPages.tsx","Planning","Web","PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Exception ownership conversion and substitute workflows are shallow","DEEP","HIGH","Wave 5","Every exception has owner action and status"
"W069","Capacity Planning Board","/planning/capacity","src/web/src/pages/PlanningContinuationPages.tsx","Planning","Web","PlanningManager; PlantHead","SHALLOW","PARTIAL","PARTIAL API BACKED","PARTIAL","Capacity depends on missing resource/calendar setup depth","DEEP","HIGH","Wave 5","Board shows real work center machine shift overloads"
"W070","Alternate Item / Replacement Rules","/engineering/alternate-items","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Web","PlanningManager; PurchaseManager","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Substitution restrictions approval and customer limits are shallow","MEDIUM","MEDIUM","Wave 5","MRP/BOQ can use approved alternatives"
"W071","Subcontract / Outside Processing Plan","/procurement/subcontract","src/web/src/pages/ProcurementPages.tsx","Procurement","Web","PurchaseManager; PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Outside processing routing integration and receive-back depth shallow","DEEP","HIGH","Wave 5","External operations are planned and reconciled"
"W072","Purchase Requisition List","/procurement/requisitions","src/web/src/pages/ProcurementPages.tsx","Procurement","Web","PurchaseManager; PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","PR conversion approvals and source trace need depth","MEDIUM","HIGH","Wave 5","PRs trace to MRP/manual demand and approval"
"W073","Purchase Requisition Detail","/procurement/requisitions","src/web/src/pages/ProcurementPages.tsx","Procurement","Web","PurchaseManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Detail route/edit depth shallow","DEEP","HIGH","Wave 5","PR detail supports approval and conversion"
"W074","Purchase Order List","/procurement/orders","src/web/src/pages/ProcurementPages.tsx","Procurement","Web","PurchaseManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","PO status overdue follow-up and receipts linkage shallow","MEDIUM","HIGH","Wave 5","PO list supports expediting and source linkage"
"W075","Purchase Order Detail","/procurement/orders","src/web/src/pages/ProcurementPages.tsx","Procurement","Web","PurchaseManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","PO line terms receipts and outside-processing context shallow","DEEP","HIGH","Wave 5","PO detail is transaction-ready and auditable"
"W080","Work Orders List","/production/work-orders","src/web/src/pages/OperationsPages.tsx","Production","Web","PlanningManager; ProductionSupervisor","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Release readiness and lifecycle actions need stronger validation","DEEP","HIGH","Wave 6","WO release is blocked until dependencies pass"
"W081","Work Order Detail / Drawer","/production/work-orders","src/web/src/pages/OperationsPages.tsx","Production","Web","PlanningManager; ProductionSupervisor","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Material operations timeline audit detail needs depth","DEEP","HIGH","Wave 6","WO detail explains blockers and linked job cards"
"W082","Job Cards List","/production/job-cards","src/web/src/pages/OperationsPages.tsx","Production","Web","ProductionSupervisor; MachineOperator","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Assignment live status and mobile parity need depth","DEEP","HIGH","Wave 6","Job card queue matches machine/operator assignments"
"W083","Job Card Detail / Timeline Drawer","/production/job-cards","src/web/src/pages/OperationsPages.tsx","Production","Web","ProductionSupervisor; MachineOperator","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Timeline transitions proof documents and quantity validation need depth","DEEP","HIGH","Wave 6","Job card action history is complete and auditable"
"W084","Machine Schedule Board","/production/machine-board","src/web/src/pages/OperationsPages.tsx","Production","Web","ProductionSupervisor; PlantHead","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Queue actions readiness and live status need depth","DEEP","HIGH","Wave 6","Machine board is operational queue source"
"W085","PPS Machine Occupancy Calendar","/production/occupancy","src/web/src/pages/OperationsPages.tsx","Production","Web","PlanningManager; PlantHead","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Capacity/calendar/resource dependencies need depth","MEDIUM","MEDIUM","Wave 5","Calendar reflects shifts downtime and job load"
"W086","Material Issue to WO","/inventory/material-issue","src/web/src/pages/InventoryPages.tsx","Inventory","Web","StoreKeeper; ProductionSupervisor","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Scan lot serial reservation validation needs depth","DEEP","HIGH","Wave 6","Issue updates stock and WO material status"
"W087","Material Return from WO","/inventory/material-return","src/web/src/pages/InventoryPages.tsx","Inventory","Web","StoreKeeper; ProductionSupervisor","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Return quantity reconciliation and QC hold rules need depth","DEEP","HIGH","Wave 6","Return traces to original issue"
"W088","Production Receipt","/production/receipts","src/web/src/pages/ProductionOutputPages.tsx","Production","Web","ProductionSupervisor; StoreKeeper","DEMO-LIKE","PARTIAL","LIVE API BACKED","PARTIAL","Critical transaction needs item tracking QC inventory and audit validation","REBUILD","CRITICAL","Wave 6","Receipt posts valid inventory only after server validation"
"W089","Scrap / By-product Entry","/production/scrap-by-products","src/web/src/pages/ProductionOutputPages.tsx","Production","Web","ProductionSupervisor","DEMO-LIKE","PARTIAL","LIVE API BACKED","PARTIAL","Reason valuation source qty and cost hooks are incomplete","REBUILD","CRITICAL","Wave 6","Scrap/by-product reconciles source qty and inventory impact"
"W090","Rework Order","/production/rework-orders","src/web/src/pages/ProductionOutputPages.tsx","Production","Web","ProductionSupervisor; QCInspector","DEMO-LIKE","PARTIAL","LIVE API BACKED","PARTIAL","Quality/NCR linkage lifecycle and proof are shallow","REBUILD","CRITICAL","Wave 6","Rework is traceable from defect to disposition"
"W091","Shift Production Entry","/production/shift-production","src/web/src/pages/OperationsPages.tsx","Production","Web","ProductionSupervisor","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Shift summary does not reconcile deeply with receipts/job cards","DEEP","HIGH","Wave 6","Shift entry reconciles output issues and exceptions"
"W092","Downtime Register","/production/downtime","src/web/src/pages/OperationsPages.tsx","Production","Web","ProductionSupervisor; PlantHead","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Overlap validation escalation and OEE link need depth","MEDIUM","HIGH","Wave 6","Downtime updates machine status and timeline"
"W093","Machine Status / OEE-lite","/production/machine-status","src/web/src/pages/ProductionOutputPages.tsx","Production","Web","PlantHead; ProductionSupervisor","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","OEE-lite metrics and source timeline are shallow","MEDIUM","MEDIUM","Wave 6","Machine status trends are source-backed"
"W094","Inventory Balance by Warehouse / Bin","/inventory/balances","src/web/src/pages/InventoryPages.tsx","Inventory","Web","StoreKeeper; PlanningManager","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Lot serial catch-weight and movement drilldown need depth","DEEP","HIGH","Wave 7","Stock view reconciles to movement ledger"
"W095","Stock Transfer / Putaway","/inventory/transfers","src/web/src/pages/InventoryPages.tsx","Inventory","Web","StoreKeeper","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Scan destination validation and approval rules need depth","DEEP","HIGH","Wave 7","Transfer updates stock atomically"
"W096","Cycle Count","/inventory/cycle-counts","src/web/src/pages/OperationsPages.tsx","Inventory","Web","StoreKeeper","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Count lifecycle freeze variance approval shallow","DEEP","HIGH","Wave 7","Cycle count has variance approval and audit"
"W097","Lot / Serial / Catch Weight Traceability","/inventory/traceability","src/web/src/pages/InventoryPages.tsx","Inventory","Web","QCInspector; StoreKeeper; ManagementViewer","SHALLOW","PARTIAL","LIVE API BACKED","EXISTS","Forward/backward trace pack and document proof need depth","DEEP","HIGH","Wave 7","Trace pack answers where-used and where-sent"
"W100","QC Plan Setup","/quality/plans","src/web/src/pages/QualityPages.tsx","Quality","Web","QCInspector; CompanyAdmin","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Parameter library sample rules versioning shallow","DEEP","HIGH","Wave 7","Released QC plans drive inspections"
"W101","Incoming Inspection","/quality/incoming","src/web/src/pages/QualityPages.tsx","Quality","Web","QCInspector","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Supplier receipt linkage and parameter capture shallow","DEEP","HIGH","Wave 7","Inspection controls hold/release by lot"
"W102","In-Process Inspection","/quality/in-process","src/web/src/pages/QualityPages.tsx","Quality","Web","QCInspector; ProductionSupervisor","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Operation/job card checkpoints shallow","DEEP","HIGH","Wave 7","In-process QC links to operation and job card"
"W103","Final Inspection","/quality/final","src/web/src/pages/QualityPages.tsx","Quality","Web","QCInspector","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Final release and dispatch block logic shallow","DEEP","HIGH","Wave 7","Final QC controls FG release and dispatch"
"W104","NCR / Deviation","/quality/ncrs","src/web/src/pages/QualityPages.tsx","Quality","Web","QCInspector; PlantHead","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Containment disposition root cause rework link shallow","DEEP","HIGH","Wave 7","NCR links hold rework scrap and audit"
"W105","Pack List","/dispatch/pack-lists","src/web/src/pages/DispatchPages.tsx","Dispatch","Web","DispatchManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Packaging customer refs and label depth missing","DEEP","HIGH","Wave 7","Pack list is traceable and printable"
"W106","Dispatch Planning","/dispatch/planning","src/web/src/pages/DispatchPages.tsx","Dispatch","Web","DispatchManager; SalesCoordinator","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Readiness blockers and route planning shallow","MEDIUM","HIGH","Wave 7","Dispatch queue reflects QC pack and shipment readiness"
"W107","Shipment / Delivery","/dispatch/shipments","src/web/src/pages/DispatchPages.tsx","Dispatch","Web","DispatchManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Proof documents vehicle tracking and customer site depth missing","DEEP","HIGH","Wave 7","Shipment links stock pack proof and customer address"
"W108","Stage Wise Dashboard","/dashboards/stage-wise","src/web/src/pages/DashboardPages.tsx","Dashboards","Web","PlantHead; ManagementViewer","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Handoff ownership escalation and drilldowns need depth","MEDIUM","HIGH","Wave 5","Stage board is trusted bottleneck source"
"W109","Print Pack / Traveler / Labels","/reports/print-pack","src/web/src/pages/PrintPackPage.tsx","Reports","Web","ProductionSupervisor; StoreKeeper; DispatchManager","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Templates localization label versions and print audit incomplete","DEEP","HIGH","Wave 7","Travelers labels and packs use approved templates"
"W110","AI Provider Setup","/ai/providers","MISSING","AI","Web","PlatformAdmin","MISSING","UNKNOWN","LIVE API BACKED","PARTIAL","Backend exists but provider setup UI and secret governance missing","REBUILD","HIGH","Wave 8","Providers are configured with masked credentials and health checks"
"W111","AI Prompt Template Setup","/ai/prompt-templates","MISSING","AI","Web","PlatformAdmin; CompanyAdmin","MISSING","UNKNOWN","LIVE API BACKED","PARTIAL","Prompt template UI approval and versioning missing","REBUILD","HIGH","Wave 8","Prompts are versioned approved and scoped"
"W112","AI Operations Assistant","/ai/operations-assistant","MISSING","AI","Web","ManagementViewer; PlantHead; PlanningManager","MISSING","UNKNOWN","LIVE API BACKED","PARTIAL","Draft-safe assistant UI with citations missing","REBUILD","HIGH","Wave 8","Assistant is source-cited draft-only and role-scoped"
"W113","AI Daily Summary Review","/ai/daily-summary","MISSING","AI","Web","PlantHead; ManagementViewer","MISSING","UNKNOWN","LIVE API BACKED","PARTIAL","Generated summary review approval UI missing","REBUILD","HIGH","Wave 8","AI summaries require human approval before send"
