"ScreenName","Route","PageFile","Domain","Implemented Yes/No","MenuVisibleForSuperAdmin Yes/No","MenuGroup","VisibleForNonAdminRoles","RouteWorks Yes/No","Status: VISIBLE / HIDDEN / BLOCKED / MISSING","FixRequired","Notes"
"BOQ Requirements","/planning/boq-requirements","src/web/src/pages/PlanningPages.tsx","Planning","Yes","Yes","PLANNING","PlanningManager; PurchaseManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Capacity Planning","/planning/capacity","src/web/src/pages/PlanningContinuationPages.tsx","Planning","Yes","Yes","PLANNING","PlanningManager; PlantHead; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Purchase Requisitions","/procurement/requisitions","src/web/src/pages/ProcurementPages.tsx","Procurement","Yes","Yes","PROCUREMENT","PurchaseManager; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Purchase Orders","/procurement/purchase-orders","src/web/src/pages/ProcurementPages.tsx","Procurement","Yes","Yes","PROCUREMENT","PurchaseManager; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Subcontract Plans","/procurement/subcontract-plan","src/web/src/pages/ProcurementPages.tsx","Procurement","Yes","Yes","PROCUREMENT","PurchaseManager; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Inventory Balances","/inventory/balances","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","Yes","INVENTORY","StoreKeeper; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Traceability","/inventory/traceability","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","Yes","INVENTORY","StoreKeeper; QCInspector; ManagementViewer; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Material Issue","/inventory/material-issue","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","Yes","INVENTORY","StoreKeeper; ProductionSupervisor; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Material Return","/inventory/material-return","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","Yes","INVENTORY","StoreKeeper; ProductionSupervisor; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Stock Transfer / Putaway","/inventory/stock-transfer","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","Yes","INVENTORY","StoreKeeper; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Cycle Count","/inventory/cycle-counts","src/web/src/pages/OperationsPages.tsx","Inventory","Yes","Yes","INVENTORY","StoreKeeper; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"QC Plans","/quality/plans","src/web/src/pages/QualityPages.tsx","Quality","Yes","Yes","QUALITY","QCInspector; CompanyAdmin; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Incoming Inspection","/quality/incoming-inspections","src/web/src/pages/QualityPages.tsx","Quality","Yes","Yes","QUALITY","QCInspector; StoreKeeper; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"In-Process Inspection","/quality/in-process-inspections","src/web/src/pages/QualityPages.tsx","Quality","Yes","Yes","QUALITY","QCInspector; ProductionSupervisor; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Final Inspection","/quality/final-inspections","src/web/src/pages/QualityPages.tsx","Quality","Yes","Yes","QUALITY","QCInspector; DispatchManager; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"NCR / Deviation","/quality/ncr","src/web/src/pages/QualityPages.tsx","Quality","Yes","Yes","QUALITY","QCInspector; ProductionSupervisor; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Pack Lists","/dispatch/pack-lists","src/web/src/pages/DispatchPages.tsx","Dispatch","Yes","Yes","DISPATCH","DispatchManager; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Dispatch Planning","/dispatch/planning","src/web/src/pages/DispatchPages.tsx","Dispatch","Yes","Yes","DISPATCH","DispatchManager; SalesCoordinator; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Shipment / Delivery","/dispatch/shipments","src/web/src/pages/DispatchPages.tsx","Dispatch","Yes","Yes","DISPATCH","DispatchManager; SalesCoordinator","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Context Switch","/platform/context-switch","src/web/src/pages/PlatformPages.tsx","Platform","Yes","Yes","PLATFORM","All authenticated roles","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Notifications","/platform/notifications","src/web/src/pages/PlatformPages.tsx","Platform","Yes","Yes","PLATFORM","All authenticated roles","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Approvals","/platform/approvals","src/web/src/pages/PlatformPages.tsx","Platform","Yes","Yes","PLATFORM","CompanyAdmin; PlanningManager; PurchaseManager; ProductionSupervisor; DispatchManager; PlantHead; ManagementViewer","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Attachments","/platform/attachments","src/web/src/pages/CommercialPlanningPages.tsx","Platform","Yes","Yes","PLATFORM","All authenticated roles","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Users","/platform/users","src/web/src/pages/AdminPages.tsx","Platform","Yes","Yes","PLATFORM","PlatformAdmin; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Roles & Permissions","/platform/roles","src/web/src/pages/AdminPages.tsx","Platform","Yes","Yes","PLATFORM","PlatformAdmin; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Language Setup","/platform/translations","src/web/src/pages/MasterPages.tsx","Platform","Yes","Yes","PLATFORM","PlatformAdmin; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Workflow & Numbering","/platform/workflow-numbering","src/web/src/pages/MasterPages.tsx","Platform","Yes","Yes","PLATFORM","PlatformAdmin; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Platform Settings","/platform/settings","src/web/src/pages/MasterPages.tsx","Platform","Yes","Yes","PLATFORM","PlatformAdmin; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Tenant Settings","/platform/tenant-settings","src/web/src/pages/MasterPages.tsx","Platform","Yes","Yes","PLATFORM","PlatformAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Companies","/organization/companies","src/web/src/pages/OrganizationPages.tsx","Master Data","Yes","Yes","MASTER DATA","PlatformAdmin; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Branches","/organization/branches","src/web/src/pages/OrganizationPages.tsx","Master Data","Yes","Yes","MASTER DATA","PlatformAdmin; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Departments","/organization/departments","src/web/src/pages/OrganizationPages.tsx","Master Data","Yes","Yes","MASTER DATA","PlatformAdmin; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Warehouses","/organization/warehouses","src/web/src/pages/OrganizationPages.tsx","Master Data","Yes","Yes","MASTER DATA","PlatformAdmin; CompanyAdmin; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Bins","/organization/bins","src/web/src/pages/OrganizationPages.tsx","Master Data","Yes","Yes","MASTER DATA","PlatformAdmin; CompanyAdmin; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Shift Calendar","/organization/shifts","src/web/src/pages/OrganizationPages.tsx","Master Data","Yes","Yes","MASTER DATA","PlatformAdmin; CompanyAdmin; ProductionSupervisor","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Print Pack","/reports/print-pack","src/web/src/pages/PrintPackPage.tsx","Reports","Yes","Yes","REPORTS","PlanningManager; ProductionSupervisor; DispatchManager","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Global Search","/search","MISSING","Platform","No","No","Not exposed","None","No","MISSING","No","Screen is listed in audit matrix but no implemented route/page exists."
"Work Center Master","/resources/work-centers","MISSING","Resources","No","No","Not exposed","None","No","MISSING","No","Audit matrix lists backend/resource dependency but no implemented web screen exists."
"Machine Master","/resources/machines","MISSING","Resources","No","No","Not exposed","None","No","MISSING","No","Audit matrix lists backend/resource dependency but no implemented web screen exists."
"Tool / Die / Mould Master","/resources/tools","MISSING","Resources","No","No","Not exposed","None","No","MISSING","No","Audit matrix lists backend/resource dependency but no implemented web screen exists."
