"ScreenName","Route","FilePath","Domain","ActionName","ActionType","CurrentBehavior","ExpectedBehavior","ModalPattern","LookupFieldsAffected","Status","FixApplied","RemainingDependency"
"Purchase Orders","/procurement/purchase-orders","/src/web/src/pages/ProcurementPages.tsx","Procurement","Approve PO","save","Approval action could look active","Disabled with business-safe reason until approval workflow is enabled","center modal","Supplier; status","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","PO approval workflow"
"Subcontract Orders","/procurement/subcontract","/src/web/src/pages/ProcurementPages.tsx","Procurement","New subcontract order","new","Create action could look active","Disabled with business-safe reason until subcontract workflow is enabled","center modal","Supplier; outside process","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","Subcontract workflow"
"Production Receipts","/production/output/receipts","/src/web/src/pages/ProductionOutputPages.tsx","Production","Prepare receipt draft","new","Draft action could look active","Disabled with business-safe reason until receipt posting is enabled","center modal","Work order; receipt state","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and controlled lookup","Production receipt posting workflow"
"Production Scrap","/production/output/scrap","/src/web/src/pages/ProductionOutputPages.tsx","Production","Prepare scrap draft","new","Draft action could look active","Disabled with business-safe reason until scrap posting is enabled","center modal","Reason code; work order","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Scrap posting workflow"
"Production Rework","/production/output/rework","/src/web/src/pages/ProductionOutputPages.tsx","Production","Prepare rework draft","new","Draft action could look active","Disabled with business-safe reason until rework posting is enabled","center modal","Route; job card","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and controlled lookup","Rework posting workflow"
"Machine Status","/production/output/machines","/src/web/src/pages/ProductionOutputPages.tsx","Production","Assign technician","edit","Assignment could look active","Disabled with business-safe reason until maintenance workflow is enabled","none","Machine; technician","PASS","Action moved to ErpActionBar with disabled reason","Maintenance assignment workflow"
"QC Plans","/quality/plans","/src/web/src/pages/QualityPages.tsx","Quality","New QC plan","new","Create action could look active","Disabled with business-safe reason until quality plan authoring is enabled","none","Item; inspection template","PASS","Action moved to ErpActionBar with disabled reason","QC plan authoring workflow"
"Incoming Inspection","/quality/incoming","/src/web/src/pages/QualityPages.tsx","Quality","Record inspection","new","Record action could look active","Disabled with business-safe reason until inspection capture is enabled","center modal","Traceability; disposition","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Inspection capture workflow"
"In Process Inspection","/quality/in-process","/src/web/src/pages/QualityPages.tsx","Quality","Record inspection","new","Record action could look active","Disabled with business-safe reason until inspection capture is enabled","center modal","Traceability; disposition","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Inspection capture workflow"
"Final Inspection","/quality/final","/src/web/src/pages/QualityPages.tsx","Quality","Record inspection","new","Record action could look active","Disabled with business-safe reason until inspection capture is enabled","center modal","Traceability; disposition","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Inspection capture workflow"
"NCR Management","/quality/ncr","/src/web/src/pages/QualityPages.tsx","Quality","Create NCR","new","Create action could look active","Disabled with business-safe reason until NCR workflow is enabled","center modal","Disposition; owner","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","NCR workflow"
"Pack Planning","/dispatch/packing","/src/web/src/pages/DispatchPages.tsx","Dispatch","Prepare pack plan","new","Draft action could look active","Disabled with business-safe reason until pack planning is enabled","center modal","Vehicle; staging lane","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Pack planning workflow"
"Dispatch Board","/dispatch/board","/src/web/src/pages/DispatchPages.tsx","Dispatch","Schedule dispatch","new","Schedule action could look active","Disabled with business-safe reason until dispatch scheduling is enabled","none","Route; vehicle; dock","PASS","Action moved to ErpActionBar with disabled reason","Dispatch scheduling workflow"
"Shipment Tracking","/dispatch/shipments","/src/web/src/pages/DispatchPages.tsx","Dispatch","Create shipment","new","Create action could look active","Disabled with business-safe reason until shipment workflow is enabled","center modal","Carrier; vehicle","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","Shipment workflow"
"MRP Run","/planning/mrp","/src/web/src/pages/PlanningPages.tsx","Planning","Run MRP","new","Run action could look active","Disabled with business-safe reason until MRP execution is enabled","center modal","Run type; horizon","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","MRP execution service"
"MRP Results","/planning/mrp-results","/src/web/src/pages/PlanningPages.tsx","Planning","Release planned orders","save","Release action could look active","Disabled with business-safe reason until planned order release is enabled","none","Planner; item group","PASS","Action moved to ErpActionBar with disabled reason","Planned order release workflow"
"BOQ / Estimation","/planning/boq","/src/web/src/pages/PlanningPages.tsx","Planning","New BOQ draft","new","Draft action could look active","Disabled with business-safe reason until BOQ authoring is enabled","center modal","Conversion status; item","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and controlled lookup","BOQ authoring workflow"
"Capacity Board","/planning/capacity","/src/web/src/pages/PlanningContinuationPages.tsx","Planning","Rebalance capacity","edit","Rebalance action could look active","Disabled with business-safe reason until capacity scheduling is enabled","center modal","Machine; bucket","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Capacity scheduling workflow"
"Engineering BOM","/engineering/boms","/src/web/src/pages/EngineeringPages.tsx","Engineering","New BOM revision","new","Draft action could look active","Disabled with business-safe reason until engineering change workflow is enabled","center modal","Issue method; item","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Engineering change workflow"
"BOM Editor","/engineering/bom-editor","/src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Save draft lines","save","Save action could look active","Disabled with business-safe reason until engineering change workflow is enabled","center modal","Issue method; operation","PASS","Action moved to ErpActionBar; editor uses ErpModalWorkspace and controlled lookup","BOM line mutation workflow"
"BOM Comparison","/engineering/bom-comparison","/src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Approve comparison","save","Approval action could look active","Disabled with business-safe reason until ECO approval is enabled","none","BOM revision","PASS","Action moved to ErpActionBar with disabled reason","ECO approval workflow"
"Engineering Change Orders","/engineering/eco","/src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","New ECO draft","new","Draft action could look active","Disabled with business-safe reason until ECO authoring is enabled","center modal","Change type; status","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","ECO authoring workflow"
"Routing Master","/engineering/routings","/src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","New routing","new","Create action could look active","Disabled with business-safe reason until routing authoring is enabled","none","Work center; routing type","PASS","Action moved to ErpActionBar with disabled reason","Routing authoring workflow"
"Operation Standards","/engineering/operations","/src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","New operation standard","new","Create action could look active","Disabled with business-safe reason until operation authoring is enabled","none","Work center; machine","PASS","Action moved to ErpActionBar with disabled reason","Operation standard workflow"
"Alternate Rules","/engineering/alternates","/src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","New alternate rule","new","Create action could look active","Disabled with business-safe reason until substitution workflow is enabled","none","Item; substitute item","PASS","Action moved to ErpActionBar with disabled reason","Substitution workflow"
"Engineering Documents","/engineering/documents","/src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Upload engineering document","upload","Upload action could look active","Disabled with business-safe reason until document storage is enabled","none","Document type; item","PASS","Action moved to ErpActionBar with disabled reason","Engineering document storage"
"Inventory Balances","/inventory/balances","/src/web/src/pages/InventoryPages.tsx","Inventory","Save balance","save","Balance save could look active from detail","Disabled with business-safe reason because balances are transaction-controlled","center modal","Warehouse; bin","PASS","Detail uses ErpModalWorkspace; footer save disabled with reason","Inventory posting workflow"
"Traceability","/inventory/traceability","/src/web/src/pages/InventoryPages.tsx","Inventory","Export trace","export","Export action could look active","Disabled with business-safe reason until trace export is enabled","none","Lot; serial; warehouse","PASS","Action moved to ErpActionBar with disabled reason","Trace export service"
"Material Issue","/inventory/material-issue","/src/web/src/pages/InventoryPages.tsx","Inventory","Prepare issue draft","new","Draft action could look active","Disabled with business-safe reason until issue posting is enabled","center modal","From location; issue mode","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Inventory issue posting workflow"
"Material Return","/inventory/material-return","/src/web/src/pages/InventoryPages.tsx","Inventory","Prepare return draft","new","Draft action could look active","Disabled with business-safe reason until return posting is enabled","center modal","Return reason; inventory state","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Inventory return posting workflow"
"Stock Transfer","/inventory/transfers","/src/web/src/pages/InventoryPages.tsx","Inventory","Prepare transfer draft","new","Draft action could look active","Disabled with business-safe reason until transfer posting is enabled","center modal","From location; to location; movement type","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Inventory transfer posting workflow"
"Operations BOM Library","/production/boms","/src/web/src/pages/OperationsPages.tsx","Production","Approve BOM","save","Approval action could look active","Disabled with business-safe reason until engineering approval is enabled","center modal","Issue method; revision","PASS","Detail uses ErpModalWorkspace; footer actions disabled with reasons","Engineering approval workflow"
"Cycle Count","/inventory/cycle-count","/src/web/src/pages/OperationsPages.tsx","Inventory","Start cycle count","new","Start action could look active","Disabled with business-safe reason until count execution is enabled","center modal","Warehouse; bin","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","Cycle count execution workflow"
"Work Orders","/production/work-orders","/src/web/src/pages/OperationsPages.tsx","Production","New work order","new","Create action could look active","Disabled with business-safe reason until planning release is enabled","center modal","Order status; item","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","Work order release workflow"
"Job Cards","/production/job-cards","/src/web/src/pages/OperationsPages.tsx","Production","New job card","new","Create action could look active","Disabled with business-safe reason until execution release is enabled","center modal","Operation; operator","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","Job card release workflow"
"Machine Board","/production/machines","/src/web/src/pages/OperationsPages.tsx","Production","Assign machine","edit","Assignment action could look active","Disabled with business-safe reason until scheduling is enabled","none","Machine; work center","PASS","Action moved to ErpActionBar with disabled reason","Machine scheduling workflow"
"Occupancy Board","/production/occupancy","/src/web/src/pages/OperationsPages.tsx","Production","Rebalance workload","edit","Rebalance action could look active","Disabled with business-safe reason until scheduler is enabled","none","Work center; shift","PASS","Action moved to ErpActionBar with disabled reason","Finite scheduling workflow"
"Shift Production","/production/shift-production","/src/web/src/pages/OperationsPages.tsx","Production","Submit summary","save","Submit action could look active","Disabled with business-safe reason until shift submission is enabled","center modal","Shift; job card","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","Shift submission workflow"
"Downtime Events","/production/downtime","/src/web/src/pages/OperationsPages.tsx","Production","Open RCA queue","audit","RCA action could look active","Disabled with business-safe reason until RCA workflow is enabled","center modal","Reason code; machine","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","RCA workflow"
"Order Delivery Dashboard","/dashboards/order-delivery","/src/web/src/pages/DashboardPages.tsx","Dashboards","Open related work orders","preview","Related-work-order action could look active without concrete route context","Disabled with business-safe reason","preview drawer","Sales order; work order","PASS","Button disabled with reason; preview drawer retained as lightweight context","Order-to-work-order navigation context"
"Stage Wise Dashboard","/dashboards/stage-wise","/src/web/src/pages/DashboardPages.tsx","Dashboards","Refresh","preview","Refresh action could look active without live refresh control","Disabled with business-safe reason","none","Stage; work center","PASS","Button disabled with reason","Live dashboard refresh control"
"Executive Cockpit","/dashboards/executive","/src/web/src/pages/DashboardPages.tsx","Dashboards","Open intervention detail","preview","Preview action is lightweight and read-only","Preview-only navigation or drawer detail","preview drawer","Approval; order; route","PASS","Preview drawer retained as lightweight context with business-facing copy","None"
"Platform Notification Center","/platform/notifications","/src/web/src/pages/PlatformPages.tsx","Platform","Open notification","preview","Notification drawer remains lightweight read-only context","Preview-only drawer is acceptable","preview drawer","Notification domain; severity","PASS","No conversion required; classified as preview-only","None"
"Platform Approval Center","/platform/approvals","/src/web/src/pages/PlatformPages.tsx","Platform","Open approval","audit","Approval drawer remains a focused review context","Preview drawer acceptable until approval workflow is fully expanded","preview drawer","Approval type; owner","PARTIAL","Classified as preview drawer; not converted because scope is lightweight review","Approval decision workflow"
