ScreenId,Platform,Module,Name,Roles,Purpose,ReferenceUI
W056,Web,Sales,Available to Promise / Order Promise,"SalesCoordinator, PlanningManager",Committed date using material + capacity logic,
W057,Web,Dashboards,Order Delivery Dashboard,"ManagementViewer, SalesCoordinator, PlantHead",Customer-order risk view with progress % and next actions,W057_Order_Delivery_Dashboard.html
W060,Web,Engineering,BOM Library,"PlanningManager, Engineering, PlantHead",Search revisions and statuses of BOMs,W060_BOM_Management.html
W061,Web,Engineering,BOM Detail / Editor,"PlanningManager, Engineering","Tree view editor for components, scrap%, issue method, operations",W060_BOM_Management.html
W062,Web,Engineering,BOM Comparison,"PlanningManager, Engineering",Compare revisions/variants and cost/qty differences,
W063,Web,Engineering,ECO / Revision Control,"Engineering, CompanyAdmin",Approve and release revision changes with audit,
W064,Web,Engineering,Routing Library,PlanningManager,Reusable routings and operation sequences,
W065,Web,Engineering,Operation Standard & Cycle Times,PlanningManager,"Setup, run, teardown, overlap, skill and QC flags",
W066,Web,Planning,BOQ / Requirements,"PlanningManager, PurchaseManager",Net requirements after explosion and stock netting with action overrides,W066_BOQ_Requirements.html
W067,Web,Planning,MRP Run Console,PlanningManager,"Run, review, and version MRP calculations",
W068,Web,Planning,MRP Results / Exceptions,PlanningManager,"Shortages, late items, missing data, recommended actions",
W069,Web,Planning,Capacity Planning Board,"PlanningManager, PlantHead",RCCP/CRP by machine/work center/shift,
W070,Web,Engineering,Alternate Item / Replacement Rules,"PlanningManager, PurchaseManager",Approved substitutions and precedence,
W071,Web,Procurement,Subcontract / Outside Processing Plan,"PurchaseManager, PlanningManager",Send-out and receive-back planning for external operations,
W080,Web,Production,Work Orders List,"PlanningManager, ProductionSupervisor","List, release, re-release, and monitor WOs",W080_Work_Orders.html
W081,Web,Production,Work Order Detail / Drawer,"PlanningManager, ProductionSupervisor","Materials, operations, readiness, reservations, actions",W080_Work_Orders.html
W082,Web,Production,Job Cards List,"ProductionSupervisor, MachineOperator",Execution list for operations and lot splits,W082_Job_Cards.html
W083,Web,Production,Job Card Detail / Timeline Drawer,"ProductionSupervisor, MachineOperator","Start/pause/complete, quantities, downtime, timeline",W082_Job_Cards.html
W084,Web,Production,Machine Schedule Board,"ProductionSupervisor, PlantHead",Lane view of what each machine is running next,W084_Machine_Schedule_Board.html
W085,Web,Production,PPS Machine Occupancy Calendar,"PlanningManager, PlantHead",Calendar occupancy across machines and days,W085_PPS_Machine_Occupancy_Calendar.html
W086,Web,Inventory,Material Issue to WO,"StoreKeeper, ProductionSupervisor",Issue reserved/actual material to work order or job card,
W087,Web,Inventory,Material Return from WO,"StoreKeeper, ProductionSupervisor",Return unused material to stock/bin,
W088,Web,Production,Production Receipt,"ProductionSupervisor, StoreKeeper",Receive WIP/FG output with lot/serial/catch-weight handling,
W089,Web,Production,Scrap / By-product Entry,ProductionSupervisor,"Capture scrap, by-product, reason, valuation placeholders",
W090,Web,Production,Rework Order,"ProductionSupervisor, QCInspector",Create and track rework loop,
W091,Web,Production,Shift Production Entry,ProductionSupervisor,Summarize shift output and issues,
W092,Web,Production,Downtime Register,"ProductionSupervisor, PlantHead",All downtime events with reasons and machine impact,
W093,Web,Production,Machine Status / OEE-lite,"PlantHead, ProductionSupervisor",Run/idle/down trends and availability snapshot,
W094,Web,Inventory,Inventory Balance by Warehouse / Bin,"StoreKeeper, PlanningManager","Real-time stock, reserved, QC-hold, blocked",
W095,Web,Inventory,Stock Transfer / Putaway,StoreKeeper,Inter-warehouse/bin movement and putaway,
W096,Web,Inventory,Cycle Count,StoreKeeper,"Count sheets, variances, approvals",
W097,Web,Inventory,Lot / Serial / Catch Weight Traceability,"QCInspector, StoreKeeper, ManagementViewer","Forward/backward traceability by lot, serial, order",
W100,Web,Quality,QC Plan Setup,"QCInspector, CompanyAdmin",Inspection checkpoints and parameter libraries,
W101,Web,Quality,Incoming Inspection,QCInspector,Supplier receipt inspection and hold/release,
W102,Web,Quality,In-Process Inspection,"QCInspector, ProductionSupervisor",Checkpoint results against operation/job card,
W103,Web,Quality,Final Inspection,QCInspector,Final quality release before dispatch or FG transfer,
W104,Web,Quality,NCR / Deviation,"QCInspector, PlantHead","Non-conformance, hold, decision, rework linkage",
W105,Web,Dispatch,Pack List,DispatchManager,"Packing structure, labels, pack completeness",
W106,Web,Dispatch,Dispatch Planning,"DispatchManager, SalesCoordinator",Dispatch queue by due date and readiness,
W107,Web,Dispatch,Shipment / Delivery,DispatchManager,"Vehicle, LR/tracking, loading proof, documents",
W108,Web,Dashboards,Stage Wise Dashboard,"PlantHead, ManagementViewer",Cross-department board from SO confirmed to dispatch,W108_Stage_Wise_Dashboard.html
W109,Web,Reports,Print Pack / Traveler / Labels,"ProductionSupervisor, StoreKeeper, DispatchManager","Printable job travelers, labels, checklists, summaries",
W110,Web,AI,AI Provider Setup,PlatformAdmin,OpenAI/Gemini and future provider configuration,
W111,Web,AI,AI Prompt Template Setup,"PlatformAdmin, CompanyAdmin","Prompt registry for summaries, translation, assistants",
W112,Web,AI,AI Operations Assistant,"ManagementViewer, PlantHead, PlanningManager",Ask operational questions safely over approved data contracts,
W113,Web,AI,AI Daily Summary Review,"PlantHead, ManagementViewer",Review generated shift/day summaries before sending,
W114,Web,Dashboards,Executive Cockpit / Owner Dashboard,ManagementViewer,"Single-screen truth across demand, production, quality, dispatch",
W115,Web,Platform,Audit Trail Viewer,"CompanyAdmin, PlatformAdmin",Document/entity-level change history and action log,
W072,Web,Procurement,Purchase Requisition List,"PurchaseManager, PlanningManager",List and approve purchase requisitions created from planning or manual demand,
W073,Web,Procurement,Purchase Requisition Detail,PurchaseManager,"Detail, approval, and conversion controls for PR",
W074,Web,Procurement,Purchase Order List,PurchaseManager,"PO list with status, overdue follow-up, and source linkage",
W075,Web,Procurement,Purchase Order Detail,PurchaseManager,"PO detail with receipts, due dates, and outside-processing context",
M001,Mobile,Platform,Login,All users,Secure sign-in and device binding,
M002,Mobile,Platform,Company / Branch Select,All users,Switch operating context,
M003,Mobile,Dashboards,My Dashboard,All users,Role-specific action cards and summary tiles,
M004,Mobile,Platform,Notifications / Inbox,All users,"Alerts, reminders, approvals, escalation messages",
M005,Mobile,Platform,My Approvals,Managers,Approve/reject quick actions,
M006,Mobile,Production,My Job Cards Queue,"MachineOperator, ProductionSupervisor",Assigned and nearby job cards ready for action,
M007,Mobile,Production,Job Card Detail,"MachineOperator, ProductionSupervisor","Operation context, specs, attachments, required qty",W082_Job_Cards.html
M008,Mobile,Production,Execution Action Sheet,MachineOperator,Start/pause/resume/complete with reason,
M009,Mobile,Production,Good / Reject / Scrap Entry,"MachineOperator, QCInspector",Quantity posting with photos and notes,
M010,Mobile,Inventory,Material Issue Scan,"StoreKeeper, ProductionSupervisor",Scan bin/barcode and issue to WO/job card,
M011,Mobile,Inventory,Material Return Scan,"StoreKeeper, ProductionSupervisor",Scan and return unused material,
M012,Mobile,Inventory,Bin Transfer / Putaway,StoreKeeper,Move stock between bins/warehouses,
M013,Mobile,Inventory,Cycle Count,StoreKeeper,Mobile counting and recount,
M014,Mobile,Production,Downtime Log,"MachineOperator, ProductionSupervisor","Log machine stop, reason, photo, escalation",
M015,Mobile,Production,Machine Status Update,ProductionSupervisor,Change machine to run/idle/down and assign operator,
M016,Mobile,Quality,QC Checkpoint Entry,"QCInspector, ProductionSupervisor",Pass/fail/measurement/photo capture,
M017,Mobile,Production,Production Receipt,"ProductionSupervisor, StoreKeeper",Receive output with lot/serial/catch-weight,
M018,Mobile,Quality,Rework / NCR Capture,"QCInspector, ProductionSupervisor","Create deviation, hold, rework instruction",
M019,Mobile,Dispatch,Dispatch Loading / Proof,DispatchManager,"Scan packed items, capture loading proof, seal/vehicle notes",
M020,Mobile,Dashboards,Order Snapshot,"ManagementViewer, SalesCoordinator",Mobile order health summary,W057_Order_Delivery_Dashboard.html
M021,Mobile,Dashboards,Stage Wise Mobile Board,"PlantHead, ManagementViewer",Compact board of blocked/overdue stages,W108_Stage_Wise_Dashboard.html
M022,Mobile,Production,Shift Handover / Notes / Photos,ProductionSupervisor,Shift summary with media and pending issues,
M023,Mobile,Platform,Attachments / Photo / Voice Upload,All users,Upload proof and notes from phone,
M024,Mobile,Platform,Settings / Sync Status / Language,All users,"Offline queue, device info, language switch",
