"ScreenName","Route","FilePath","Domain","HasHelpEntry","HasTabHelp","HasCreateAction","HasEditAction","HasSaveAction","HelpStatus","Notes"
"Work Orders","/production/work-orders","src/web/src/pages/OperationsPages.tsx","Production","Yes","Yes","No","Yes","No","Implemented","Screen help and selected-tab help available in modal workspace."
"Job Cards","/production/job-cards","src/web/src/pages/OperationsPages.tsx","Production","Yes","Yes","No","Yes","No","Implemented","Screen help and selected-tab help available in modal workspace."
"Machine Board","/production/machine-board","src/web/src/pages/OperationsPages.tsx","Production","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Occupancy Calendar","/production/occupancy","src/web/src/pages/OperationsPages.tsx","Production","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Shift Production","/production/shift-production","src/web/src/pages/OperationsPages.tsx","Production","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Downtime Register","/production/downtime","src/web/src/pages/OperationsPages.tsx","Production","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Production Receipt","/production/receipts","src/web/src/pages/ProductionOutputPages.tsx","Production","Yes","No","No","Yes","Yes","Implemented","Screen help available from page header."
"Scrap / By-product","/production/scrap-by-products","src/web/src/pages/ProductionOutputPages.tsx","Production","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Rework Orders","/production/rework-orders","src/web/src/pages/ProductionOutputPages.tsx","Production","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Machine Status","/production/machine-status","src/web/src/pages/ProductionOutputPages.tsx","Production","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"UOM Classes","/measurements/uom-classes","src/web/src/pages/MeasurementPages.tsx","Measurement","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"UOM Conversions","/measurements/uom-conversions","src/web/src/pages/MeasurementPages.tsx","Measurement","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Measurement Profiles","/measurements/profiles","src/web/src/pages/MeasurementPages.tsx","Measurement","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Item Groups","/masters/item-groups","src/web/src/pages/ItemMasterPages.tsx","Masters","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Item Attributes","/masters/item-attributes","src/web/src/pages/ItemMasterPages.tsx","Masters","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Classifications","/masters/classifications","src/web/src/pages/ItemMasterPages.tsx","Masters","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Reason Codes","/masters/reason-codes","src/web/src/pages/ItemMasterPages.tsx","Masters","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Items","/masters/items","src/web/src/pages/ItemMasterPages.tsx","Masters","Yes","Yes","Yes","Yes","Yes","Implemented","Screen help and selected-tab help available in modal workspace."
"Item Variants","/masters/item-variants","src/web/src/pages/ItemMasterPages.tsx","Masters","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Barcodes","/masters/barcodes","src/web/src/pages/ItemMasterPages.tsx","Masters","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Customers","/partners/customers","src/web/src/pages/PartnerPages.tsx","Masters","Yes","Yes","Yes","Yes","Yes","Implemented","Screen help and selected-tab help available in modal workspace."
"Suppliers","/partners/suppliers","src/web/src/pages/PartnerPages.tsx","Masters","Yes","Yes","Yes","Yes","Yes","Implemented","Screen help and selected-tab help available in modal workspace."
"Supplier Lead Times","/partners/supplier-lead-times","src/web/src/pages/CommercialPlanningPages.tsx","Masters","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Price Lists","/commercial/price-lists","src/web/src/pages/CommercialMasterPages.tsx","Commercial Setup","Yes","Yes","Yes","Yes","Yes","Implemented","Screen help and selected-tab help available in modal workspace."
"Discount Schemes","/commercial/discount-schemes","src/web/src/pages/CommercialMasterPages.tsx","Commercial Setup","Yes","Yes","Yes","Yes","Yes","Implemented","Screen help and selected-tab help available in modal workspace."
"Tax, Currency & Terms","/commercial/tax-currency-terms","src/web/src/pages/CommercialMasterPages.tsx","Commercial Setup","Yes","Yes","Yes","Yes","Yes","Implemented","Screen help and selected-tab help available in modal workspace."
"Quotes","/sales/quotes","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Sales Orders","/sales/orders","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Blanket Orders","/sales/blanket-orders","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Demand Forecast","/sales/forecasts","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Available to Promise","/sales/available-to-promise","src/web/src/pages/CommercialPlanningPages.tsx","Sales","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"MPS Planner","/planning/mps","src/web/src/pages/CommercialPlanningPages.tsx","Planning","Yes","No","No","Yes","Yes","Implemented","Screen help available from page header."
"MRP Run Console","/planning/mrp","src/web/src/pages/PlanningPages.tsx","Planning","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"MRP Results","/planning/mrp-results","src/web/src/pages/PlanningPages.tsx","Planning","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"BOQ Requirements","/planning/boq-requirements","src/web/src/pages/PlanningPages.tsx","Planning","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Capacity Planning","/planning/capacity","src/web/src/pages/PlanningContinuationPages.tsx","Planning","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Purchase Requisitions","/procurement/requisitions","src/web/src/pages/ProcurementPages.tsx","Procurement","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Purchase Orders","/procurement/purchase-orders","src/web/src/pages/ProcurementPages.tsx","Procurement","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Subcontract Plans","/procurement/subcontract-plan","src/web/src/pages/ProcurementPages.tsx","Procurement","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Inventory Balances","/inventory/balances","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Traceability","/inventory/traceability","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Material Issue","/inventory/material-issue","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","No","No","Yes","Yes","Implemented","Screen help available from page header."
"Material Return","/inventory/material-return","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","No","No","Yes","Yes","Implemented","Screen help available from page header."
"Stock Transfer / Putaway","/inventory/stock-transfer","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","No","No","Yes","Yes","Implemented","Screen help available from page header."
"Cycle Count","/inventory/cycle-counts","src/web/src/pages/InventoryPages.tsx","Inventory","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"QC Plans","/quality/plans","src/web/src/pages/QualityPages.tsx","Quality","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Incoming Inspection","/quality/incoming-inspections","src/web/src/pages/QualityPages.tsx","Quality","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"In-Process Inspection","/quality/in-process-inspections","src/web/src/pages/QualityPages.tsx","Quality","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Final Inspection","/quality/final-inspections","src/web/src/pages/QualityPages.tsx","Quality","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"NCR / Deviation","/quality/ncr","src/web/src/pages/QualityPages.tsx","Quality","Yes","Yes","No","Yes","Yes","Implemented","Screen help and selected-tab help available in modal workspace."
"Pack Lists","/dispatch/pack-lists","src/web/src/pages/DispatchPages.tsx","Dispatch","Yes","No","No","Yes","Yes","Implemented","Screen help available from page header."
"Dispatch Planning","/dispatch/planning","src/web/src/pages/DispatchPages.tsx","Dispatch","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Shipment / Delivery","/dispatch/shipments","src/web/src/pages/DispatchPages.tsx","Dispatch","Yes","No","No","Yes","Yes","Implemented","Screen help available from page header."
"Context Switch","/platform/context-switch","src/web/src/pages/PlatformPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Notifications","/platform/notifications","src/web/src/pages/PlatformPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Approvals","/platform/approvals","src/web/src/pages/PlatformPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Attachments","/platform/attachments","src/web/src/pages/CommercialPlanningPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Users","/platform/users","src/web/src/pages/AdminPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Roles & Permissions","/platform/roles","src/web/src/pages/AdminPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Audit Trail","/platform/audit-trail","src/web/src/pages/AdminPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Language Setup","/platform/translations","src/web/src/pages/MasterPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Workflow & Numbering","/platform/workflow-numbering","src/web/src/pages/MasterPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Platform Settings","/platform/settings","src/web/src/pages/MasterPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Tenant Settings","/platform/tenant-settings","src/web/src/pages/MasterPages.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Runtime UAT","/platform/runtime-uat","src/web/src/pages/RuntimeUatPage.tsx","Platform","Yes","No","No","Yes","No","Implemented","Runtime, role, data-truth, and publish-readiness help available from page header."
"Global Search","/search","src/web/src/pages/SearchPage.tsx","Platform","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Help Center","/help","src/web/src/pages/HelpPages.tsx","Platform","Yes","No","No","No","No","Implemented","Screen help available from page header."
"Companies","/organization/companies","src/web/src/pages/OrganizationPages.tsx","Organization","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Branches","/organization/branches","src/web/src/pages/OrganizationPages.tsx","Organization","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Departments","/organization/departments","src/web/src/pages/OrganizationPages.tsx","Organization","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Warehouses","/organization/warehouses","src/web/src/pages/OrganizationPages.tsx","Organization","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Bins","/organization/bins","src/web/src/pages/OrganizationPages.tsx","Organization","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Shift Calendar","/organization/shifts","src/web/src/pages/OrganizationPages.tsx","Organization","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Work Centers","/resources/work-centers","src/web/src/pages/ResourceFoundationPages.tsx","Resources","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Machines","/resources/machines","src/web/src/pages/ResourceFoundationPages.tsx","Resources","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Tools / Resources","/resources/tools","src/web/src/pages/ResourceFoundationPages.tsx","Resources","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Print Pack","/reports/print-pack","src/web/src/pages/PrintPackPage.tsx","Reports","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
