"RowType","Id","Domain","Workstream","Capability","CurrentState","WorkstreamClassification","GapClassification","DemoCritical","UATCritical","PilotCritical","Backlog","WhyIncomplete","GapType","RequiredFix","Priority","RecommendedNextWorkstream","ProductOwnerDecisionRequired"
"Workstream","WS11","Final Release / Performance / Hardening","WS11","Final release, performance, hardening","Partial; not pilot-ready","Partial","Pilot-critical blockers remain","Yes","Yes","Yes","No","Repo-executable validation exists, but UAT, irreversible flow proof, mobile live execution, backup/restore, and production-like performance are incomplete.","Product gap","Run pilot-readiness closure over P0/P1 blockers.","P0","WS11-PILOT-CLOSURE","No"
"Gap","GAP-001","UAT / Release","WS01 / WS11","Full role-wise UAT acceptance","Partial evidence only","Partial","UAT-critical; Pilot-critical","Yes","Yes","Yes","No","Role-wise business acceptance remains partial in UAT evidence.","Product gap","Execute and sign off role-wise UAT across implemented workflows.","P0","WS11-UAT-CLOSURE","No"
"Gap","GAP-002","Cross-domain Operations","WS11","End-to-end irreversible transaction proof","Not proven across order-plan-produce-quality-dispatch","Partial","Pilot-critical","Yes","Yes","Yes","No","Release evidence does not prove irreversible operational flow across domains.","Product gap","Run traced order-to-dispatch transaction scenario with audit, stock, QC, and dispatch effects.","P0","WS11-PILOT-CLOSURE","No"
"Gap","GAP-003","Mobile Execution","WS07","Native camera, barcode, offline replay, media, live sync","Mobile truth metadata exists; native live workflows incomplete","Partial","Pilot-critical","Yes","Yes","Yes","Yes","Mobile native capture and sync were not completed in WS07.","Product gap and scope decision","Implement or explicitly defer native mobile execution harness and live sync.","P0","WS07-MOBILE-CLOSURE","Yes"
"Gap","GAP-004","Production","WS05","Work order release and job-card generation","Job-card execution exists; release/generation workflow incomplete","Partial","Pilot-critical","Yes","Yes","Yes","No","Production release and job card generation are not fully wired.","Product gap","Wire WO release, job-card generation, audit, and disabled reasons for unsupported branches.","P0","WS05-FOLLOWUP","No"
"Gap","GAP-005","Inventory / Production","WS05 / WS06","Material issue, return, transfer posting","Posting depth incomplete","Partial","Pilot-critical","Yes","Yes","Yes","No","Material movement posting is not fully closed across production/inventory.","Product gap","Implement issue, return, transfer posting with stock effects and audit.","P0","WS06-FOLLOWUP","No"
"Gap","GAP-006","Production / Inventory","WS05 / WS06","Production receipt posting and reconciliation","Receipt/posting not fully closed","Partial","Pilot-critical","Yes","Yes","Yes","No","Production receipt exists only as partial workflow depth.","Product gap","Complete receipt posting, inventory impact, reconciliation, and audit.","P0","WS05-FOLLOWUP","No"
"Gap","GAP-007","Production / Quality","WS05 / WS06","Scrap, by-product, and rework posting lifecycle","Workflow depth incomplete","Partial","Pilot-critical","Yes","Yes","Yes","No","Scrap/rework/by-product lifecycle is not fully posted and reconciled.","Product gap","Complete scrap, by-product, and rework posting with status and inventory linkage.","P0","WS05-FOLLOWUP","No"
"Gap","GAP-008","Quality","WS06","Inspection result entry and parameter capture","Hold/release exists; full inspection execution depth incomplete","Partial","Pilot-critical","Yes","Yes","Yes","No","Quality execution lacks full parameter capture and inspection result flow.","Product gap","Implement inspection result entry, validation, attachments, and audit.","P0","WS06-FOLLOWUP","No"
"Gap","GAP-009","Quality / Inventory","WS06","Hold/release policy enforcement across inventory and dispatch","Basic status actions exist; full policy linkage incomplete","Partial","Pilot-critical","Yes","Yes","Yes","No","Hold/release decisions are not fully linked to stock movement and dispatch blocking.","Product gap","Enforce hold/release policy across stock availability, dispatch, and audit.","P0","WS06-FOLLOWUP","No"
"Gap","GAP-010","Quality","WS06","NCR disposition, root cause, and linked follow-up actions","NCR close exists; disposition depth incomplete","Partial","Pilot-critical","Yes","Yes","Yes","No","NCR close does not yet cover complete disposition/root cause/corrective action flow.","Product gap","Implement disposition, root cause, CAPA/rework/scrap linkage, and release rules.","P0","WS06-FOLLOWUP","No"
"Gap","GAP-011","Dispatch / Logistics","WS06","Shipment close, proof approval, and dispatch finalization","Shipment proof status exists; closeout incomplete","Partial","Pilot-critical","Yes","Yes","Yes","No","Dispatch proof exists without complete shipment close/finalization workflow.","Product gap","Implement shipment close, proof approval, audit, and inventory/order status effects.","P0","WS06-FOLLOWUP","No"
"Gap","GAP-012","Release Hardening","WS11","Backup/restore rehearsal and production-like performance run","Not completed in evidence","Partial","Pilot-critical","Yes","Yes","Yes","No","WS11 does not provide production-like rehearsal evidence.","Product gap","Run backup/restore drill and production-like performance/load smoke test.","P0","WS11-PILOT-CLOSURE","No"
"Gap","GAP-013","Procurement","WS09","GRN, PO receipt, and subcontract receive-back","Missing from implemented P2P slice","Partial","UAT-critical; Pilot-critical","Yes","Yes","Yes","No","P2P slice lacks receiving and subcontract receive-back.","Product gap","Implement GRN, receipt, inspection handoff, and subcontract receive-back.","P1","WS09-FOLLOWUP","No"
"Gap","GAP-014","Planning","WS04","MRP exception ownership, archive, compare, and conversion depth","Planning screens exist; deeper MRP lifecycle incomplete","Partial","UAT-critical; Pilot-critical","Yes","Yes","Yes","Yes","MRP operational management remains shallow.","Product gap","Add exception ownership, archived runs, compare, approvals, and conversion actions.","P1","WS04-FOLLOWUP","No"
"Gap","GAP-015","Planning / Capacity","WS04","Capacity writeback, rebuild, and reschedule","Capacity visibility exists; writeback/reschedule incomplete","Partial","UAT-critical; Pilot-critical","Yes","Yes","Yes","Yes","Capacity planning does not yet close the planning loop.","Product gap","Implement capacity rebuild, writeback, overload handling, and reschedule actions.","P1","WS04-FOLLOWUP","No"
"Gap","GAP-016","Dispatch / Logistics","WS06","Pack-list authoring, labels, traveler, carrier, e-way, proof chain","Partially present; full logistics depth incomplete","Partial","UAT-critical; Pilot-critical","Yes","Yes","Yes","Yes","Country/carrier-specific logistics depth is not complete.","Product gap and scope decision","Implement pack/label/traveler baseline and decide carrier/e-way scope.","P1","WS06-FOLLOWUP","Yes"
"Gap","GAP-017","Integrations","WS07","Email, WhatsApp, CRM, provider delivery, and secret rotation","Disabled or admin-only foundation","Partial","UAT-critical; Pilot-critical","Yes","Yes","Yes","Yes","External delivery and CRM synchronization were not completed.","Product gap and scope decision","Add selected provider adapters, credential rotation, and failure handling; decide CRM scope.","P1","WS07-FOLLOWUP","Yes"
"Gap","GAP-018","Security / Platform","WS02 / WS11","Production identity delivery and external reset/invitation flows","Disabled with reason","Partial","UAT-critical; Pilot-critical","Yes","Yes","Yes","Yes","External identity delivery is intentionally not invented.","Product gap and scope decision","Choose identity/email provider delivery path and wire invitation/reset flows.","P1","WS02-FOLLOWUP","Yes"
"Gap","GAP-019","Reporting","WS07","Report builder, dashboard builder, saved-view publishing","Catalog and reports exist; builders/publishing incomplete","Partial","UAT-critical; Pilot-critical","Yes","Yes","Yes","Yes","Builder depth and publishing workflows remain incomplete.","Product gap and scope decision","Implement report/dashboard builder or defer to curated reports only.","P1","WS07-FOLLOWUP","Yes"
"Gap","GAP-020","Procurement","WS09","RFQ, supplier quote, quote comparison, and award","Missing","Missing","UAT-critical; Backlog","Yes","Yes","No","Yes","Full sourcing workflow is not implemented.","Product gap and scope decision","Implement RFQ/quote/comparison/award if procurement breadth is in pilot.","P1","WS09-FOLLOWUP","Yes"
"Gap","GAP-021","Procurement / Finance","WS09 / WS08","Purchase invoice, 3-way match, AP payment schedule","Missing and partly V1-excluded","Out of V1 scope; Missing","Backlog; Scope decision","No","No","No","Yes","Accounting/AP functions are excluded from V1.","V1 scope exclusion","Keep out of V1 or approve AP extension after procurement receiving is stable.","P2","SCOPE-DECISION","Yes"
"Gap","GAP-022","Inventory / Finance","WS09 / WS08","Landed cost and inventory valuation integration","Missing and accounting-dependent","Out of V1 scope; Missing","Backlog; Scope decision","No","No","No","Yes","Valuation and costing depend on finance/accounting scope.","V1 scope exclusion","Decide valuation scope and accounting integration boundary.","P2","SCOPE-DECISION","Yes"
"Gap","GAP-023","Procurement","WS09","Vendor returns and supplier claims","Missing","Missing","Backlog; UAT-critical if procurement pilot expands","No","Yes","No","Yes","Returns/claims were not part of implemented P2P slice.","Product gap and scope decision","Implement vendor return/claim workflows if required for pilot procurement.","P2","WS09-FOLLOWUP","Yes"
"Gap","GAP-024","Engineering / Documents","WS04 / WS06","Engineering document control approval/audit workflows","Attachments exist; controlled release workflow incomplete","Partial","Backlog; UAT-critical","Yes","Yes","No","Yes","Document storage exists but engineering document control depth is incomplete.","Product gap","Add version, approval, effectivity, and audit controls for controlled engineering docs.","P2","WS04-FOLLOWUP","No"
"Gap","GAP-025","Commercial","WS03","Price and discount approval, versioning, and effective audit depth","Setup exists; governance depth incomplete","Partial","Backlog; UAT-critical","Yes","Yes","No","Yes","Commercial foundations are present without full approval/version lifecycle.","Product gap","Add approval, version, effectivity, audit, and rollback workflows.","P2","WS03-FOLLOWUP","No"
"Gap","GAP-026","Extensibility","WS02 / WS07","UDF panels on domain workspaces and custom screen/table builder","UDF foundation exists; broad embedding/custom builders incomplete","Partial","Backlog; Scope decision","No","Yes","No","Yes","UDF platform foundation exists, but broad customization surface is not complete.","Product gap and scope decision","Embed UDF panels on priority domain screens; decide custom screen/table builder scope.","P2","WS02-FOLLOWUP","Yes"
"Gap","GAP-027","Import / Export","WS07","Import row repair and signed export download delivery","Admin foundation exists; operational depth incomplete","Partial","Backlog; UAT-critical","Yes","Yes","No","Yes","Import/export operational handling remains partial.","Product gap","Implement row repair workflow, signed downloads, and audit for exports.","P2","WS07-FOLLOWUP","No"
"Gap","GAP-028","AI","WS07","Operational AI writeback and autonomous actions","Read/help/reporting support only; writeback absent","Missing","Backlog; Scope decision","No","No","No","Yes","Operational writeback needs governance and approval policy.","Product gap and scope decision","Decide AI writeback scope; implement read-only recommendations unless approved.","P2","SCOPE-DECISION","Yes"
"Gap","GAP-029","Service","WS10","Service, warranty, AMC, installed base, and service contracts","Out of V1 scope and missing","Out of V1 scope; Missing","Backlog; Scope decision","No","No","No","Yes","Service module is excluded from V1.","V1 scope exclusion","Keep backlog or approve service module roadmap.","P3","SCOPE-DECISION","Yes"
"Gap","GAP-030","Finance","WS08","GL, AP, AR, accounting periods, journals, tax posting, close","Out of V1 scope and missing","Out of V1 scope; Missing","Backlog; Scope decision","No","No","No","Yes","Finance/accounting is excluded from V1 guardrails.","V1 scope exclusion","Keep excluded or approve finance/accounting roadmap.","P3","SCOPE-DECISION","Yes"
