"ScreenId","Screen","Route","CurrentQuality","MissingActions","MissingSections","MissingLookupControls","MissingPersistence","Acceptable"
"W047","Supplier Detail","/partners/suppliers","DEMO-LIKE / PARTIAL","Save sites/contacts/docs/compliance actions partial","Legal, sites, contacts, terms, compliance, documents, audit","Terms/currency/category/contact lookups incomplete","Runtime supplier API reads repaired in LONG-RUN-01; V2 profile depth partial","INTERNAL_ONLY"
"W048","Supplier Lead Time Matrix","/partners/supplier-lead-times","SHALLOW / PARTIAL","New/import/export/save/what-if actions disabled or partial","Effective dates, reliability, version history, sourcing impact","Supplier/item/category/branch lookups need full governance","Lead-time persistence partial","INTERNAL_ONLY"
"W049","Attachment / Document Viewer","/platform/attachments","DEMO-LIKE / FALLBACK","Upload/download/audit/version actions partial or disabled","Versioning, approval, expiry, preview, access audit","Document type/source entity lookups incomplete","Attachment/document persistence partial","NO"
"W050","Estimate / Quote List","/sales/quotes","SHALLOW / PARTIAL","New/save/export/convert actions partial","Quote lines, pricing, attachments, approval, conversion","Customer/item/currency/tax/terms lookups need enforcement","Quote persistence partial","INTERNAL_ONLY"
"W051","Sales Order List","/sales/orders","SHALLOW / PARTIAL","New/export/review actions partial","Readiness, credit, delivery risk, stage, attachments","Customer/item/site/terms lookups need enforcement","Sales order persistence partial","INTERNAL_ONLY"
"W052","Sales Order Detail","/sales/orders","SHALLOW / PARTIAL","Save/release/convert actions partial","Lines, specs, attachments, pricing, schedule, audit","Customer/item/UOM/site/tax lookups incomplete","Sales detail persistence partial","INTERNAL_ONLY"
"W053","Blanket Order / Contract","/sales/blankets","SHALLOW / PARTIAL","New/save/release actions partial","Release schedule, terms, consumption, audit","Customer/item/terms lookups incomplete","Blanket persistence partial","INTERNAL_ONLY"
"W054","Demand Forecast","/sales/forecasts","SHALLOW / PARTIAL","Import/new/save/consume actions partial","Forecast versions, import repair, consumption, audit","Item/customer/period lookups need depth","Forecast persistence partial","INTERNAL_ONLY"
"W055","MPS Planner","/planning/mps","SHALLOW / PARTIAL","Create/freeze/export/convert actions partial","Frozen horizon, overrides, source demand, audit","Item/branch/customer/period lookups incomplete","MPS persistence partial","INTERNAL_ONLY"
"W056","Available to Promise / Order Promise","/sales/atp","DEMO-LIKE / FALLBACK","Promise/reserve/escalate actions missing or disabled","Material/capacity promise, alternate dates, split delivery","Customer/item/site lookups incomplete","ATP read model partial/fallback","NO"
"W057","Order Delivery Dashboard","/dashboards/order-delivery","SHALLOW / PARTIAL","Assign/open/export risk actions partial","Source drilldowns, owner, blocker lifecycle, audit","Customer/order/stage filters need depth","Dashboard read model partial","INTERNAL_ONLY"
"W060","BOM Library","/engineering/boms","SHALLOW / PARTIAL","Import/print/release/clone actions partial","Dependency health, mass governance, audit","Item/revision/status lookups need depth","BOM API exists; readiness read model shallow","INTERNAL_ONLY"
"W061","BOM Detail / Editor","/engineering/bom-editor","SHALLOW / PARTIAL","Release/approval/clone/document actions partial","Effectivity, substitutes, documents, approvals, audit","Item/UOM/operation/substitute lookups need full validation","BOM persistence exists; document/effectivity partial","INTERNAL_ONLY"
"W062","BOM Comparison","/engineering/bom-comparison","SHALLOW / PARTIAL","Export comparison disabled","Cost/qty/effectivity deltas, approval attachment","BOM/revision selectors need depth","Comparison read model partial","INTERNAL_ONLY"
"W063","ECO / Revision Control","/engineering/eco-revisions","SHALLOW / PARTIAL","Submit/approve/implement/close actions partial","Impact grid, implementation checklist, approvals, audit","Item/BOM/routing/document lookups incomplete","ECO persistence partial","INTERNAL_ONLY"
"W064","Routing Library","/engineering/routings","SHALLOW / PARTIAL","Release/version/resource actions partial","Operations, resource rules, tooling, QC flags, docs, audit","Work center/machine/tool lookups incomplete because setup UI missing","Routing persistence partial","INTERNAL_ONLY"
"W065","Operation Standard & Cycle Times","/engineering/operations","SHALLOW / PARTIAL","Approve/save/document actions partial","Parameter grid, skills, QC requirements, work instructions","Work center/skill/QC plan lookups incomplete","Runtime job-card API reads repaired in LONG-RUN-01; event depth partial","INTERNAL_ONLY"
"W066","BOQ / Requirements","/planning/boq","SHALLOW / PARTIAL","Convert/approve/substitute actions partial","Source trace, alternatives, action ownership, audit","Item/BOM/supplier/warehouse lookups need complete source","Runtime job-card API reads repaired in LONG-RUN-01; event depth partial","INTERNAL_ONLY"
"W067","MRP Run Console","/planning/mrp-run","SHALLOW / PARTIAL","Start/cancel/archive/compare actions partial","Run input snapshot, warning log, version compare","Branch/warehouse/demand source lookups incomplete","Machine-board stored procedure added and runtime API reads repaired in LONG-RUN-01","INTERNAL_ONLY"
"W068","MRP Results / Exceptions","/planning/mrp-exceptions","SHALLOW / PARTIAL","Create PR/WO/defer/substitute actions partial","Exception owner/status/action history","Item/supplier/WO/PR lookup sources incomplete","Exception action tables partial","INTERNAL_ONLY"
"W069","Capacity Planning Board","/planning/capacity","SHALLOW / PARTIAL","Reschedule/split/export actions partial","Day/shift/machine drilldown, overload workflow","Work center/machine/shift lookups incomplete","Capacity snapshots partial","INTERNAL_ONLY"
"W070","Alternate Item / Replacement Rules","/engineering/alternate-items","SHALLOW / PARTIAL","Approve/expire/export actions partial","Restrictions, priority, effectivity, commercial/QC warnings","Item/customer/supplier lookups need full validation","Alternate item persistence partial","INTERNAL_ONLY"
"W071","Subcontract / Outside Processing Plan","/procurement/subcontract","SHALLOW / PARTIAL","Send/receive/follow-up actions partial","External operation links, supplier proof, QC checkpoint","Supplier/item/operation lookups incomplete","Subcontract persistence partial","INTERNAL_ONLY"
"W072","Purchase Requisition List","/procurement/requisitions","SHALLOW / PARTIAL","Create/approve/export actions partial","Source trace, approval state, aging, conversion links","Supplier/item/warehouse lookups incomplete","PR persistence partial","INTERNAL_ONLY"
"W073","Purchase Requisition Detail","/procurement/requisitions","SHALLOW / PARTIAL","Save/approve/convert actions partial","Lines, source demand, supplier suggestions, audit","Item/UOM/supplier lookups incomplete","PR detail persistence partial","INTERNAL_ONLY"
"W074","Purchase Order List","/procurement/orders","SHALLOW / PARTIAL","Create/export/follow-up actions partial","Expedite status, receipt linkage, supplier commitments","Supplier/status/date lookups incomplete","PO persistence partial","INTERNAL_ONLY"
"W075","Purchase Order Detail","/procurement/orders","SHALLOW / PARTIAL","Save/send/receive actions partial","Terms, receipts, outside processing, documents, audit","Supplier/site/item/terms lookups incomplete","Runtime downtime API reads repaired in LONG-RUN-01; downtime lifecycle depth partial","INTERNAL_ONLY"
"W080","Work Orders List","/production/work-orders","SHALLOW / PARTIAL","New/release/print/export actions partial or disabled","Readiness, blockers, material/routing status, audit","Item/BOM/routing/warehouse lookups need depth","Seeded DEMO-LOT-001 proof now returns HTTP 200; trace pack depth partial","INTERNAL_ONLY"
"W081","Work Order Detail / Drawer","/production/work-orders","SHALLOW / PARTIAL","Release/re-release/hold/close/create-JC actions partial","Materials, operations, timeline, documents, audit","Item/UOM/warehouse/operation lookups incomplete","WO detail/reservation persistence partial","INTERNAL_ONLY"
"W082","Job Cards List","/production/job-cards","SHALLOW / BLOCKED","Assign/start/print actions partial; UAT endpoint failed","Queue, readiness, operator/machine assignment, status","Machine/operator/operation lookups incomplete","UAT job-card API failure; persistence partial","NO"
"W083","Job Card Detail / Timeline Drawer","/production/job-cards","SHALLOW / BLOCKED","Start/pause/resume/complete/qty actions partial","Timeline, proof, QC, material readiness, event audit","Machine/operator/reason/QC lookups incomplete","UAT job-card API failure; event depth partial","NO"
"W084","Machine Schedule Board","/production/machine-board","SHALLOW / BLOCKED","Start/hold/resequence/open actions partial","Lane readiness, material/QC status, queue impact","Machine/operator/job lookup sources incomplete","UAT machine-board API failure","NO"
"W085","PPS Machine Occupancy Calendar","/production/occupancy","SHALLOW / PARTIAL","Drill/export/reschedule-request actions partial","Day/shift detail, downtime, job cards, capacity exceptions","Machine/work center/shift lookups incomplete","Occupancy read model partial","INTERNAL_ONLY"
"W086","Material Issue to WO","/inventory/material-issue","SHALLOW / PARTIAL","Post/prepare/print/save actions disabled or partial","Reservation, scan, lot/serial, substitution approval, audit","Item/bin/lot/WO lookups incomplete","Issue persistence partial","INTERNAL_ONLY"
"W087","Material Return from WO","/inventory/material-return","SHALLOW / PARTIAL","Post/prepare/print/save actions disabled or partial","Original issue reconciliation, condition, QC hold, audit","Item/bin/lot/source issue lookups incomplete","Return persistence partial","INTERNAL_ONLY"
"W088","Production Receipt","/production/receipts","DEMO-LIKE / PARTIAL","Post/prepare/print/save actions disabled","Lot/serial/catch-weight, QC hold, source job validation","Item/warehouse/bin/lot lookups incomplete","Receipt persistence partial; validation incomplete","NO"
"W089","Scrap / By-product Entry","/production/scrap-by-products","DEMO-LIKE / PARTIAL","Post/prepare/export/save actions disabled","Reason, source reconciliation, threshold approval, cost hooks","Item/reason/lot/job lookups incomplete","Scrap persistence partial; costing deferred","NO"
"W090","Rework Order","/production/rework-orders","DEMO-LIKE / PARTIAL","New/release/save/export actions disabled","Source job/NCR linkage, lifecycle, qty validation, audit","NCR/item/reason/operation lookups incomplete","Seeded pack-list print proof now returns HTTP 200; template/report governance partial","NO"
"W091","Shift Production Entry","/production/shift-production","SHALLOW / PARTIAL","Submit/save/export actions disabled or partial","Shift-machine-job reconciliation, exceptions, approval","Shift/machine/job/operator lookups incomplete","Shift entry persistence partial","INTERNAL_ONLY"
"W092","Downtime Register","/production/downtime","SHALLOW / BLOCKED","RCA/export/save actions disabled; UAT endpoint failed","Overlap validation, escalation, machine timeline, proof","Machine/reason/job lookups incomplete","UAT downtime API failure; persistence depth partial","NO"
"W093","Machine Status / OEE-lite","/production/machine-status","SHALLOW / PARTIAL","Export/status actions partial","OEE metrics, source events, trend, downtime linkage","Machine/work center lookups incomplete","OEE/status read model partial","INTERNAL_ONLY"
"W094","Inventory Balance by Warehouse / Bin","/inventory/balances","SHALLOW / PARTIAL","Export/open trace/post actions disabled or partial","Ledger drilldown, reservations, QC hold, blocked stock","Item/warehouse/bin/lot lookups incomplete","Inventory read model exists; tracking depth partial","INTERNAL_ONLY"
"W095","Stock Transfer / Putaway","/inventory/transfers","SHALLOW / PARTIAL","Post/prepare/print/save actions disabled or partial","Approval workflow, scan validation, source/destination proof","Warehouse/bin/item/lot lookups incomplete","Transfer persistence exists; workflow partial","INTERNAL_ONLY"
"W096","Cycle Count","/inventory/cycle-counts","SHALLOW / PARTIAL","Start/submit/approve/post actions partial","Freeze, recount, variance approval, audit","Warehouse/bin/item lookups incomplete","Count persistence partial","INTERNAL_ONLY"
"W097","Lot / Serial / Catch Weight Traceability","/inventory/traceability","SHALLOW / PARTIAL","Export/open source actions partial","Forward/backward trace pack, proof docs, customer dispatch","Item/lot/serial/order lookup sources incomplete","Trace read model partial; proof data missing","INTERNAL_ONLY"
"W100","QC Plan Setup","/quality/plans","SHALLOW / PARTIAL","Create/version/approve/export actions disabled or partial","Parameter library, sample rules, versioning, audit","Item/category/supplier/operation lookups incomplete","QC plan persistence partial","INTERNAL_ONLY"
"W101","Incoming Inspection","/quality/incoming","SHALLOW / PARTIAL","New/save/release/export actions disabled or partial","Parameter results, supplier receipt linkage, evidence","Item/supplier/lot/QC plan lookups incomplete","Inspection persistence partial","INTERNAL_ONLY"
"W102","In-Process Inspection","/quality/in-process","SHALLOW / PARTIAL","New/save/release/export actions disabled or partial","Operation checkpoint, measurements, defects, evidence","Job/operation/item/QC plan lookups incomplete","Inspection persistence partial","INTERNAL_ONLY"
"W103","Final Inspection","/quality/final","SHALLOW / PARTIAL","New/save/release/export actions disabled or partial","Dispatch release rules, final evidence, certificate linkage","Item/order/lot/QC plan lookups incomplete","Inspection persistence partial","INTERNAL_ONLY"
"W104","NCR / Deviation","/quality/ncrs","SHALLOW / PARTIAL","New/save/release/export actions disabled or partial","Root cause, containment, disposition, rework/scrap linkage","Source doc/item/reason/rework lookups incomplete","NCR persistence partial","INTERNAL_ONLY"
"W105","Pack List","/dispatch/pack-lists","SHALLOW / PARTIAL","Create/save/print/export/open-proof actions disabled or partial","Pack hierarchy, lots, labels, weights, customer refs","Item/lot/customer/site/package lookups incomplete","Pack persistence partial","INTERNAL_ONLY"
"W106","Dispatch Planning","/dispatch/planning","SHALLOW / PARTIAL","Plan/export/escalate actions disabled or partial","Readiness blockers, owner, route, vehicle planning","Customer/site/shipment/status lookups incomplete","Dispatch planning persistence partial","INTERNAL_ONLY"
"W107","Shipment / Delivery","/dispatch/shipments","SHALLOW / PARTIAL","Prepare/save/export/close actions disabled or partial","Vehicle, seal, carrier, proof, customer site, delivery status","Customer/site/pack/carrier lookups incomplete","Shipment persistence partial","INTERNAL_ONLY"
"W108","Stage Wise Dashboard","/dashboards/stage-wise","SHALLOW / PARTIAL","Open/reassign/escalate actions partial","Stage queues, owners, aging, handoff audit","Stage/owner/order filters need depth","Stage read model partial","INTERNAL_ONLY"
"W109","Print Pack / Traveler / Labels","/reports/print-pack","SHALLOW / PARTIAL","Generate/preview/download/print actions partial","Template registry, localization, barcode labels, print audit","Template/item/WO/pack lookups incomplete","Report/template persistence partial; UAT print proof missing","INTERNAL_ONLY"
"W110","AI Provider Setup","/ai/providers","MISSING UI / BACKEND PARTIAL","All provider UI actions missing","Provider list, health, credentials, scopes, rotate/disable","Provider/scopes lookups missing from UI","Provider read APIs now return HTTP 200 for PlatformAdmin; first-class UI and secret workflow missing","NO"
"W111","AI Prompt Template Setup","/ai/prompt-templates","MISSING","All prompt UI actions missing","Prompt versions, approvals, data scopes, tests","Provider/scope/template lookups missing","Prompt tables partial; no UI","NO"
"W112","AI Operations Assistant","/ai/operations-assistant","MISSING","Ask/refine/save-draft/route actions missing","Query composer, citations, safety warnings, draft preview","Approved scope/source record lookups missing","AI backend concepts partial; no UI","NO"
"W113","AI Daily Summary Review","/ai/daily-summary","MISSING","Generate/review/approve/send actions missing","Daily summary review, citations, approvals, delivery audit","Shift/plant/provider lookups missing","AI summary registry partial; no UI","NO"
"W114","Executive Cockpit / Owner Dashboard","/dashboards/executive-cockpit","SHALLOW / PARTIAL","Drill/export/escalate actions partial","Trend, KPI drilldown, role bookmarks, risk ownership","Role/branch/date filters need depth","Executive read model partial","INTERNAL_ONLY"
"W115","Audit Trail Viewer","/platform/audit","MISSING","All audit viewer actions missing","Audit filters, before/after summary, source links, export","Entity/user/action lookups missing","Audit read model/API missing or incomplete","NO"
"M001","Mobile Login","mobile:login","DEMO-LIKE","Production device/session actions missing","Device trust, context, cached session policy","Company/branch selector source partial","Partial auth; seeded/demo behavior remains","NO"
"M002","Company / Branch Select","mobile:context","SHALLOW / FALLBACK","Live context apply/queue guard incomplete","Warehouse/shift context, queued-work guard","Company/branch/warehouse/shift lookups partial","Fallback/local context persistence","NO"
"M003","My Dashboard","mobile:home","DEMO-LIKE","Live task actions missing","Role task list, sync health, assigned work","Role/task source lookups missing","Seeded task data","NO"
"M004","Notifications / Inbox","mobile:inbox","SHALLOW / FALLBACK","Read/sync actions partial","Inbox detail, retry, source linking","Notification/source lookups partial","Fallback/partial persistence","NO"
"M005","My Approvals","mobile:approvals","SHALLOW / FALLBACK","Decision sync/conflict handling missing","Approval detail, reason, audit, conflict state","Approval/source lookups partial","Fallback/partial persistence","NO"
"M006","My Job Cards Queue","mobile:jobs","DEMO-LIKE","Live assignment/start actions missing","Assigned queue, readiness, stale warnings","Job/machine/operator lookups missing","Seeded queue","NO"
"M007","Job Card Detail","mobile:jobs","DEMO-LIKE","Live detail/material/doc actions missing","Materials, route, drawings, QC flags, remaining qty","Item/material/operation lookups missing","Seeded detail/local state","NO"
"M008","Execution Action Sheet","mobile:execute","DEMO-LIKE","Start/pause/resume/complete live sync missing","Idempotency, reason capture, conflict retry, proof","Machine/reason/job lookups missing","Local queue concept only","NO"
"M009","Good / Reject / Scrap Entry","mobile:output","DEMO-LIKE","Output post/reconcile actions missing","Good/reject/scrap qty rules, proof, source validation","Reason/item/job lookups missing","Seeded/local output data","NO"
"M010","Material Issue Scan","mobile:materials","DEMO-LIKE","Scan issue live validation missing","Expected item/bin/lot validation, qty rules","Item/bin/lot/WO lookups missing","Seeded scan data","NO"
"M011","Material Return Scan","mobile:materials","DEMO-LIKE","Scan return live validation missing","Original issue link, condition, QC hold, reason","Issue/item/bin/lot lookups missing","Seeded scan data","NO"
"M012","Bin Transfer / Putaway","mobile:stock","DEMO-LIKE","Transfer/putaway live validation missing","Source/destination scan, conflict check, reason","Warehouse/bin/item/lot lookups missing","Seeded movement data","NO"
"M013","Cycle Count","mobile:stock","DEMO-LIKE","Count submit/recount/post sync missing","Freeze, recount, variance, approval","Warehouse/bin/item lookups missing","Seeded count data","NO"
"M014","Downtime Log","mobile:machine","DEMO-LIKE","Start/stop downtime sync missing","Overlap validation, assignment, escalation, proof","Machine/reason/job lookups missing","Seeded downtime data","NO"
"M015","Machine Status Update","mobile:machine","DEMO-LIKE","Live status update missing","Machine event, assignment, reason, audit","Machine/status lookups missing","Seeded machine status","NO"
"M016","QC Checkpoint Entry","mobile:quality","DEMO-LIKE","Plan-driven pass/fail sync missing","QC parameters, measurements, defects, photo proof","QC plan/item/job lookups missing","Seeded QC data","NO"
"M017","Production Receipt","mobile:output","DEMO-LIKE","Irreversible receipt sync missing","Server confirmation, lot/serial/catch-weight, label proof","Item/job/warehouse/bin lookups missing","Seeded receipt data","NO"
"M018","Rework / NCR Capture","mobile:quality","DEMO-LIKE","NCR/rework sync missing","Disposition, root cause, proof, source linkage","NCR/reason/source lookups missing","Seeded rework/NCR data","NO"
"M019","Dispatch Loading / Proof","mobile:dispatch","DEMO-LIKE","Proof upload/close sync missing","Pack scan, vehicle/seal, photo/signature, status check","Shipment/pack/customer lookups missing","Seeded proof data","NO"
"M020","Order Snapshot","mobile:home","DEMO-LIKE","Live drilldown actions missing","Order blockers, source links, owner context","Order/customer/stage lookups partial","Seeded dashboard data","NO"
"M021","Stage Wise Mobile Board","mobile:orders","DEMO-LIKE","Live blocker drilldown missing","Stage queues, aging, owner, notes/proof","Stage/order/owner lookups partial","Seeded stage data","NO"
"M022","Shift Handover / Notes / Photos","mobile:handover","DEMO-LIKE","Submit/media sync missing","Shift summary, blockers, next shift notes, media","Shift/machine/job lookups missing","No clear live handover API","NO"
"M023","Attachments / Photo / Voice Upload","mobile:device","DEMO-LIKE","Reusable media upload missing","Camera/scanner permissions, media queue, purpose, audit","Source transaction lookups missing","Media upload queue/permissions partial","NO"
"M024","Settings / Sync Status / Language","mobile:sync","DEMO-LIKE","Retry/discard/diagnose production actions missing","Persistent queue, failed actions, language, device diagnostics","Language/device/context lookups partial","No production sync status contract","NO"
