"RequirementId","V2Requirement","Implemented","Screen(s)","API(s)","DB Objects","Missing Pieces"
"V2-PARTNER-003","Supplier lead-time matrix","PARTIAL","W048 Supplier Lead Time Matrix","/api/supplier-lead-times","Supplier lead time tables","Effective dates, versioning, reliability, MRP sourcing integration"
"V2-COMM-001","Price lists and price assignments","PARTIAL","Price List Master","/api/commercial/price-lists","Commercial price tables","Approval, effective dating, sales-order enforcement, action truth completion"
"V2-COMM-002","Discount schemes and rules","PARTIAL","Discount Scheme Master","/api/commercial/discount-schemes","Discount scheme/rule tables","Eligibility enforcement, approval limits, sales-order integration"
"V2-COMM-003","Tax, currency, payment terms, trade terms","PARTIAL","Tax/Currency/Terms","/api/commercial/tax-currency-terms","Currency, tax, terms tables","Exchange-rate governance, tax rule enforcement, transaction integration"
"V2-SALES-001","Quote/estimate management","PARTIAL","W050 Quote List","/api/quotes","Quote tables","Line pricing, customer refs, attachments, approvals, conversion depth"
"V2-SALES-002","Sales orders and order detail","PARTIAL","W051 Sales Order List; W052 Sales Order Detail","/api/sales-orders","Sales order tables","Commercial enforcement, line specs, attachments, stage/readiness, downstream conversion"
"V2-SALES-003","Blanket orders/contracts","PARTIAL","W053 Blanket Order","/api/blanket-orders","Blanket/contract tables","Release schedules, terms lifecycle, conversion proof"
"V2-SALES-004","Demand forecasts","PARTIAL","W054 Demand Forecast","/api/forecasts","Forecast tables","Import/version/consumption workflow and seeded proof"
"V2-PLAN-001","MPS planning","PARTIAL","W055 MPS Planner","/api/mps","MPS tables","Frozen horizon, overrides, audit, conversion to demand"
"V2-PLAN-002","ATP/order promise","PARTIAL","W056 ATP","Partial ATP/planning APIs","Promise/reservation read models partial","Robust ATP contract, capacity/material promise, reservation/escalation workflow"
"V2-ENG-001","BOM library and BOM detail/editor","PARTIAL","W060 BOM Library; W061 BOM Detail","/api/boms","BOM tables","Release readiness, effectivity, docs, validation, approval, downstream impact"
"V2-ENG-002","BOM comparison","PARTIAL","W062 BOM Comparison","/api/boms compare partial","BOM comparison view partial","Cost/qty/effectivity details, export/report workflow"
"V2-ENG-003","ECO/revision control","PARTIAL","W063 ECO","/api/engineering-changes","ECO tables","Impact checklist lifecycle, approval implementation, closeout audit"
"V2-ENG-004","Routing and operation standards","PARTIAL","W064 Routing; W065 Operation Standards","/api/routings; /api/operations","Routing/operation/resource tables","Resource setup UI gaps, parameter/work instruction depth, release validation"
"V2-ENG-005","Alternate/substitute items","PARTIAL","W070 Alternate Items","/api/alternate-items","Alternate item tables","Customer restrictions, effectivity, approval, MRP override governance"
"V2-ENG-006","Engineering documents","PARTIAL","W049/Wengineering documents","/api/attachments","Attachment/document tables partial","Production document control, versioning, expiry, authorization, audit"
"V2-PLAN-003","MRP run console and versioned results","PARTIAL","W067 MRP Run Console; W068 MRP Results","/api/mrp","MRP run/result/exception tables","Run input snapshots, compare/archive, exception ownership and action workflow"
"V2-PLAN-004","BOQ/requirements and conversion actions","PARTIAL","W066 BOQ / Requirements","/api/boq-requirements","BOQ/requirement tables","PR/WO conversion proof, substitution approval, owner/action audit"
"V2-PLAN-005","Capacity planning and occupancy","PARTIAL","W069 Capacity; W085 Occupancy","/api/capacity; /api/machine-board partial","Capacity/occupancy tables","Resource/calendar completeness, reschedule workflow, overload actioning"
"V2-DASH-001","Order delivery and stage-wise dashboards","PARTIAL","W057 Order Delivery; W108 Stage Wise; W114 Executive Cockpit","/api/dashboards/order-delivery; /api/dashboards/stage-wise","Dashboard read models partial","Drilldown, owner/escalation lifecycle, realistic live blockers"
"V2-PROC-001","Purchase requisitions","PARTIAL","W072 PR List; W073 PR Detail","/api/purchase-requisitions","PR tables","Approval/source trace, conversion from BOQ, detail editing"
"V2-PROC-002","Purchase orders","PARTIAL","W074 PO List; W075 PO Detail","/api/purchase-orders","PO tables","Terms, receipts, supplier follow-up, outside processing linkage"
"V2-PROC-003","Subcontract/outside processing","PARTIAL","W071 Subcontract Plan","/api/subcontract-orders","Subcontract tables","Send-out/receive-back integration, QC checkpoint, proof seed"
"V2-PROD-001","Work orders and release readiness","PARTIAL","W080 Work Orders; W081 Work Order Detail","/api/work-orders","Work order tables","Release validation, reservation/readiness, operations/materials/timeline/audit"
"V2-PROD-002","Job cards and execution timeline","BLOCKED","W082 Job Cards; W083 Job Card Timeline","/api/job-cards","Job card/event tables","UAT job-card endpoint failure; state transitions, assignment, quantity, proof, mobile parity"
"V2-PROD-003","Machine board and occupancy","BLOCKED","W084 Machine Board; W085 Occupancy","/api/machine-board; /api/capacity","Machine board/capacity tables","UAT machine-board failure; live readiness, action gating, resource calendar"
"V2-PROD-004","Shift production and downtime","BLOCKED","W091 Shift Production; W092 Downtime","/api/work-orders; /api/job-cards; /api/downtime","Shift/downtime tables","UAT downtime failure; reconciliation, overlap validation, escalation, proof"
"V2-PROD-005","Material issue and material return","PARTIAL","W086 Material Issue; W087 Material Return","/api/stock-issues; /api/stock-returns","Stock issue/return/inventory tables","Reservation, lot/serial, original issue reconciliation, mobile scan"
"V2-PROD-006","Production receipt, scrap/by-product, rework","PARTIAL","W088 Receipt; W089 Scrap; W090 Rework","/api/production-receipts; /api/scrap-rework","Production output, scrap, rework, inventory tables","Source validation, item tracking, QC linkage, valuation/cost hooks, audit"
"V2-INV-001","Inventory balances and movement ledger","PARTIAL","W094 Inventory Balance","/api/inventory","Inventory balance/movement tables","Movement reconciliation, reserved/available/QC hold drilldown, source links"
"V2-INV-002","Transfers/putaway and cycle count","PARTIAL","W095 Stock Transfer; W096 Cycle Count","/api/stock-transfers; /api/cycle-counts","Transfer/count tables","Scan validation, freeze/recount/variance approval, posting"
"V2-INV-003","Lot/serial/catch-weight traceability","PARTIAL","W097 Traceability","/api/traceability","Traceability/read model tables partial","Trace pack, source-to-customer chain, proof data"
"V2-QUAL-001","QC plan setup","PARTIAL","W100 QC Plans","/api/quality/plans","QC plan tables","Parameter library, versioning, approval/retire lifecycle"
"V2-QUAL-002","Incoming/in-process/final inspections","PARTIAL","W101 Incoming; W102 In-Process; W103 Final","/api/quality/inspections","Inspection tables","Parameter result capture, source linkage, hold/release, media evidence"
"V2-QUAL-003","NCR/deviation and hold-release","PARTIAL","W104 NCR","/api/quality/ncrs","NCR/quality tables","Root cause, disposition, rework/scrap, approval, first-class hold queue"
"V2-DISP-001","Pack lists","PARTIAL","W105 Pack List","/api/dispatch/pack-lists","Pack list tables","Pack hierarchy, labels, customer refs, lot validation, print"
"V2-DISP-002","Dispatch planning and shipment/delivery","PARTIAL","W106 Dispatch Planning; W107 Shipment","/api/dispatch/planning; /api/dispatch/shipments","Dispatch/shipment tables","Proof, customer site, held-stock checks, close workflow"
"V2-DISP-003","Print pack, traveler, and labels","PARTIAL","W109 Print Pack","/api/reports/pack-lists; /api/reports/work-orders","Report/template tables partial","Template governance, localization, print audit, proof records"
"V2-MOB-001","Mobile login, context, dashboard, inbox, approvals","DEMO-ONLY","M001-M005","Auth/notifications/approvals partial","Mobile/device tables partial","Live role tasking, device trust, queue guard, approval conflict handling"
"V2-MOB-002","Mobile job card execution and output capture","DEMO-ONLY","M006-M009","Job card/production APIs partial","Mobile queue/idempotency tables partial","Live assignments, state transitions, duplicate prevention, quantity reconciliation"
"V2-MOB-003","Mobile material scan, transfer, putaway, cycle count","DEMO-ONLY","M010-M013","Inventory APIs partial","Inventory/mobile sync tables partial","Scanner validation, offline conflict handling, stock revalidation"
"V2-MOB-004","Mobile downtime, QC, receipt/rework, dispatch proof, handover/media","DEMO-ONLY","M014-M024","Production/quality/dispatch/media APIs partial","Media/proof/sync tables partial","Live tasks, proof upload, plan-driven QC, sync status contract"
"V2-INT-001","Integration providers, webhooks, notification providers","PARTIAL","W110 missing UI; integration/admin screens","/api/integrations/providers; /api/webhooks","Integration/provider/event tables","Admin UI missing/partial, UAT 403, real adapters, secret rotation"
"V2-INT-002","Import/export and row-level repair","PARTIAL","Import/export/report screens partial","/api/imports; /api/exports","Import/export staging tables partial","Mapping UI, validation preview, row repair, audit"
"V2-AI-001","AI providers, prompt templates, operations assistant, daily summary, translation","PARTIAL","W110-W113 missing UI; translation setup partial","/api/ai/*; /api/ai/translations/draft","AI provider, prompt, run registry tables partial","First-class UI, safe review workflow, source citations, PlatformAdmin authorization"
"V2-REP-001","Report catalog and role-scoped exports","PARTIAL","Reports/Print Pack; dashboards","/api/reports/*","Report/template tables partial","Catalog, parameters, saved views, PDF/Excel governance, audit"
"V2-SEC-001","Security hardening for pilot","PARTIAL","Platform/security review","Auth, attachments, audit, integrations, AI endpoints","Security/audit/provider metadata partial","Rate limiting, attachment authorization tests, secret rotation, audit viewer tests, mobile device trust"
"V2-REL-001","IIS publish-folder deployment","YES","Host publish; web build host","dotnet publish; web build:host","Published host wwwroot output","Keep release validation repeatable; no raw web source on live server"
"V2-UAT-001","Role-wise UAT and acceptance evidence","PARTIAL","docs/uat/*","Representative live API probes","Seed/runtime environment","0 roles passed fully; endpoint failures, missing role identities, insufficient transactional seed data"
