"Domain","Screen","Route","PageFile","HasLinesArray","CurrentLineUIPattern","HasCompactGrid","HasAddLine","HasRemoveLine","SavesAllLines","ReopensAllLines","TotalsFromAllLines","CardLayoutRemaining","AntiPatternsFound","FixApplied","RemainingBlocker","Status"
"Procure-to-Pay","Purchase Order","/procurement/purchase-orders","src/web/src/pages/ProcurementPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","Yes","No","None","Converted PO line editor to ErpTransactionLineGrid.","","Complete"
"Procure-to-Pay","GRN / Goods Receipt","/procurement/purchase-orders","src/web/src/pages/ProcurementPages.tsx","Yes","Compact editable grid","Yes","N/A - PO-derived lines","N/A - PO-derived lines","Yes","Yes","N/A","No","None","Converted GRN receipt lines to ErpTransactionLineGrid.","Receipt lines are derived from saved PO lines; no manual Add/Remove action is exposed.","Complete"
"Procure-to-Pay","Purchase Invoice / Match","/procurement/purchase-orders","src/web/src/pages/ProcurementPages.tsx","Yes","Compact editable grid","Yes","N/A - GRN-derived lines","N/A - GRN-derived lines","Yes","Yes","Yes","No","None","Converted invoice match lines to ErpTransactionLineGrid.","Invoice lines are derived from saved accepted GRN lines.","Complete"
"Procure-to-Pay","Vendor Return","/procurement/vendor-returns","src/web/src/pages/ProcurementPages.tsx","No active editor","Disabled with reason","N/A","N/A","N/A","N/A","N/A","N/A","No","None","Workflow remains truthfully disabled until GRN/QC return authorization and inventory reversal rules are enabled.","Vendor return line editor is not active in current V1 implementation.","Complete"
"Procure-to-Pay","Landed Cost","/procurement/landed-cost","src/web/src/pages/ProcurementPages.tsx","No active editor","Disabled with reason","N/A","N/A","N/A","N/A","N/A","N/A","No","None","Workflow remains truthfully disabled until valuation/cost posting and charge import contracts are enabled.","Landed cost allocation line editor is not active in current V1 implementation.","Complete"
"Inventory","Material Issue","/inventory/material-issues","src/web/src/pages/InventoryPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted shared stock posting workspace to ErpTransactionLineGrid.","","Complete"
"Inventory","Material Return","/inventory/material-returns","src/web/src/pages/InventoryPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted shared stock posting workspace to ErpTransactionLineGrid.","","Complete"
"Inventory","Stock Transfer","/inventory/transfers","src/web/src/pages/InventoryPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted shared stock posting workspace to ErpTransactionLineGrid.","","Complete"
"Production","Production Receipt","/production/receipts","src/web/src/pages/ProductionOutputPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted production receipt line editor to ErpTransactionLineGrid.","","Complete"
"Production","Scrap / Rework","/production/scrap-byproducts","src/web/src/pages/ProductionOutputPages.tsx","Single posting line","Form controls","N/A","N/A","N/A","Yes","Yes","N/A","No","None","No repeated card-per-line desktop editor present; existing single-output posting forms remain governed controls.","Scrap/rework are not active multiline editors in current implementation.","Complete"
"Quality","QC Inspection lines","/quality/in-process-inspections","src/web/src/pages/QualityPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted inspection parameter results to ErpTransactionLineGrid.","","Complete"
"Dispatch","Packing List","/dispatch/pack-lists","src/web/src/pages/DispatchPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted pack list line editor to ErpTransactionLineGrid.","","Complete"
"Dispatch","Delivery Challan / Shipment","/dispatch/shipments","src/web/src/pages/DispatchPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted shipment line editor to ErpTransactionLineGrid.","","Complete"
