"Domain","Screen/Feature","Route or API","CurrentState","UIState","BackendState","DBState","ActionTruthState","Notes"
"Sales","Available To Promise","/sales/available-to-promise","DEMO-ONLY","Route exists but shallow/fallback","Partial API backed","Partial","Disabled where unsafe","No robust ATP/order promise workflow"
"Engineering","BOM Library","/engineering/boms; /api/boms","PARTIAL","Route exists; strengthened but still partial","Live API backed","Exists","Many unsupported actions disabled","Release readiness, filters, import/export/reporting depth incomplete"
"Engineering","BOM Detail / Editor","/engineering/bom-editor; /api/boms","PARTIAL","Route exists; editor exists","Live API backed","Exists/partial","Working save paths plus disabled unsafe actions","Effectivity, documents, approval, validation, impact still incomplete"
"Engineering","BOM Comparison","/engineering/bom-comparison","PARTIAL","Route exists","Partial API backed","Partial","Export disabled with reason","Comparison depth and export/reporting incomplete"
"Engineering","ECO / Revision Control","/engineering/eco-revisions; /api/engineering-changes","PARTIAL","Route exists","Live API backed","Partial","Disabled where unsafe","Impact checklist and implementation lifecycle incomplete"
"Engineering","Routing Library","/engineering/routings; /api/routings","PARTIAL","Route exists","Live API backed","Partial","Working save paths plus disabled unsafe actions","Resource setup dependency and release validation incomplete"
"Engineering","Operation Standards","/engineering/operations; /api/operations","PARTIAL","Route exists","Live API backed","Partial","Working save paths plus disabled unsafe actions","Parameter/work instruction/version depth incomplete"
"Engineering","Alternate Items","/engineering/alternate-items; /api/alternate-items","PARTIAL","Route exists","Live API backed","Partial","Partial","Restriction/effectivity/approval/MRP override depth incomplete"
"Engineering","Engineering Documents","/engineering/documents; /api/attachments","PARTIAL","Route exists; document viewer still partial","Partial/fallback backed","Partial","Audit/open actions disabled","Document control, versioning, authorization, expiry incomplete"
"Planning","MPS Planner","/planning/mps; /api/mps","PARTIAL","Route exists; shallow","Live API backed","Partial","Many MPS actions disabled via related matrix","Frozen horizon, overrides, audit, conversion to demand incomplete"
"Planning","MRP Run Console","/planning/mrp; /api/mrp","PARTIAL","Route exists; strengthened but partial","Live API backed","Partial","Several run/archive/save actions disabled","Run versioning, snapshots, compare/archive, cancellation incomplete"
"Planning","MRP Results / Exceptions","/planning/mrp-results; /api/mrp","PARTIAL","Route exists","Live API backed","Partial","Disabled where unsafe","Owner/action workflow and conversion proof incomplete"
"Planning","BOQ / Requirements","/planning/boq-requirements; /api/boq-requirements","PARTIAL","Route exists; reference-aligned but partial","Live API backed","Exists","Conversion actions disabled unless real","PR/WO conversion, substitution approval, owner/audit incomplete"
"Planning","Capacity Planning","/planning/capacity; /api/capacity","PARTIAL","Route exists; shallow","Partial API backed","Partial","Several actions disabled","Resource/calendar completeness and reschedule workflow incomplete"
"Planning","Order Delivery Dashboard","/dashboards/order-delivery; /api/dashboards/order-delivery","PARTIAL","Route exists; reference backbone","Live API backed","Partial","Some drill actions disabled","Drilldown, ownership, realistic blockers incomplete"
"Planning","Stage Wise Dashboard","/dashboards/stage-wise; /api/dashboards/stage-wise","PARTIAL","Route exists; reference backbone","Live API backed","Partial","Partial","Escalation/handoff owner lifecycle incomplete"
"Planning","Executive Cockpit","/dashboards/executive-cockpit; /api/dashboards/executive-cockpit","PARTIAL","Route exists; shallow","Live API backed","Partial","Partial","Trend/drilldown and role-specific KPI proof incomplete"
"Procurement","Purchase Requisitions","/procurement/requisitions; /api/purchase-requisitions","PARTIAL","Route exists; shallow","Live API backed","Partial","Many actions disabled","Approval/source trace and BOQ conversion proof incomplete"
"Procurement","Purchase Orders","/procurement/purchase-orders; /api/purchase-orders","PARTIAL","Route exists; shallow","Live API backed","Partial","Disabled where unsafe","Terms/receipt/outside processing/follow-up incomplete"
"Procurement","Subcontract Plan","/procurement/subcontract-plan; /api/subcontract-orders","PARTIAL","Route exists; shallow","Live API backed","Partial","Disabled where unsafe","Send-out/receive-back, QC checkpoint, supplier proof incomplete"
"Inventory","Inventory Balance","/inventory/balances; /api/inventory","PARTIAL","Route exists; shallow","Live API backed","Exists","Many stock actions disabled with reason","Lot/serial/catch-weight, movement drilldown, reservations incomplete"
"Inventory","Traceability","/inventory/traceability; /api/traceability","PARTIAL","Route exists; shallow","Live API backed; seeded UAT lot returned HTTP 200","Partial","Disabled where unsafe","Seed proof lot repaired; trace pack, source-to-customer chain, and proof documents remain incomplete"
"Inventory","Material Issue","/inventory/material-issue; /api/stock-issues","PARTIAL","Route exists; shallow","Live API backed","Partial","Posting disabled/partial","Reservation, scan, lot/serial, source validation incomplete"
"Inventory","Material Return","/inventory/material-return; /api/stock-returns","PARTIAL","Route exists; shallow","Live API backed","Partial","Posting disabled/partial","Original issue reconciliation and QC hold rules incomplete"
"Inventory","Stock Transfer / Putaway","/inventory/stock-transfer; /api/stock-transfers","PARTIAL","Route exists; shallow","Live API backed","Exists/partial","Posting/print/save actions disabled","Scan, approval, source/destination validation incomplete"
"Inventory","Cycle Count","/inventory/cycle-counts; /api/cycle-counts","PARTIAL","Route exists; shallow","Live API backed","Partial","Partial","Freeze/recount/variance approval/posting incomplete"
"Production","Work Orders","/production/work-orders; /api/work-orders","PARTIAL","Route exists; shallow","Live API backed","Exists","Print/export/release review actions often disabled","Readiness validation, release/hold/release lifecycle incomplete"
"Production","Job Cards","/production/job-cards; /api/job-cards","PARTIAL","Route exists; shallow","Live API backed; LONG-RUN-01 runtime probe returned HTTP 200","Exists/partial","Many execution actions disabled","Endpoint repaired; assignment, transitions, quantity, timeline, proof, and mobile parity still needed"
"Production","Machine Board","/production/machine-board; /api/machine-board","PARTIAL","Route exists; shallow","Live stored-procedure backed API; LONG-RUN-01 runtime probe returned HTTP 200","Exists/partial","Actions disabled/partial","Runtime endpoint repaired; live queue/readiness/action gating and resource calendar depth remain incomplete"
"Production","Occupancy Calendar","/production/occupancy; capacity APIs","PARTIAL","Route exists; shallow","Partial API backed","Partial","Quick actions disabled","Resource/calendar/day-shift drilldown incomplete"
"Production","Shift Production","/production/shift-production","PARTIAL","Route exists; shallow","Partial/live API backed","Partial","Submit/save disabled","Shift/job/receipt reconciliation incomplete"
"Production","Downtime Register","/production/downtime; /api/downtime","PARTIAL","Route exists; shallow","Live API backed; LONG-RUN-01 runtime probe returned HTTP 200","Exists/partial","Export/RCA/save disabled","Endpoint repaired; overlap validation, escalation, RCA, and machine timeline incomplete"
"Production","Production Receipt","/production/receipts; /api/production-receipts","DEMO-ONLY","Route exists; demo-like","Live API backed but validation incomplete","Partial","Post/save/print actions disabled","High-risk transaction; item tracking/QC/source validation incomplete"
"Production","Scrap / By-product","/production/scrap-by-products; /api/scrap-rework","DEMO-ONLY","Route exists; demo-like","Live API backed but validation incomplete","Partial","Post/save/export disabled","Source reconciliation, reason, valuation/cost hooks incomplete"
"Production","Rework Orders","/production/rework-orders; /api/scrap-rework","DEMO-ONLY","Route exists; demo-like","Live API backed but validation incomplete","Partial","Create/release/save disabled","NCR linkage and lifecycle incomplete"
"Production","Machine Status / OEE-lite","/production/machine-status","PARTIAL","Route exists; shallow","Partial API backed","Partial","Export disabled","OEE source metrics and machine event depth incomplete"
"Quality","QC Plan Setup","/quality/plans; /api/quality/plans","PARTIAL","Route exists; shallow","Live API backed","Partial","Many actions disabled","Parameter library, versioning, approval/retire incomplete"
"Quality","Incoming Inspection","/quality/incoming-inspections; /api/quality/inspections","PARTIAL","Route exists; shallow","Live API backed","Partial","Save/release/export disabled","Source linkage, parameter results, hold/release incomplete"
"Quality","In-Process Inspection","/quality/in-process-inspections; /api/quality/inspections","PARTIAL","Route exists; shallow","Live API backed","Partial","Save/release/export disabled","Operation checkpoint and measurement proof incomplete"
"Quality","Final Inspection","/quality/final-inspections; /api/quality/inspections","PARTIAL","Route exists; shallow","Live API backed","Partial","Save/release/export disabled","Dispatch release rules and proof incomplete"
"Quality","NCR / Deviation","/quality/ncr; /api/quality/ncrs","PARTIAL","Route exists; shallow","Live API backed","Partial","Create/save/release/export disabled","Root cause, disposition, rework/scrap, approval lifecycle incomplete"
"Dispatch","Pack Lists","/dispatch/pack-lists; /api/dispatch/pack-lists","PARTIAL","Route exists; shallow","Live API backed; seeded pack-list print proof returned HTTP 200","Partial","Create/save/print disabled","Pack hierarchy, labels, lots, customer refs incomplete; seeded proof path now exists"
"Dispatch","Dispatch Planning","/dispatch/planning; /api/dispatch/planning","PARTIAL","Route exists; shallow","Live API backed","Partial","Plan/export disabled","Readiness blocker model and shipment orchestration incomplete"
"Dispatch","Shipment / Delivery","/dispatch/shipments; /api/dispatch/shipments","PARTIAL","Route exists; shallow","Live API backed","Partial","Prepare/save/export disabled","Proof, customer site, vehicle/seal, close lifecycle incomplete"
"Reports","Print Pack / Traveler / Labels","/reports/print-pack; /api/reports/*","PARTIAL","Route exists; shallow","Partial API backed; seeded pack-list print proof returned HTTP 200","Partial/missing template governance","Disabled where unsafe","Seed proof record repaired; template registry, localization, barcode labels, and print audit remain incomplete"
"Integrations","Integration Providers","/api/integrations/providers","PARTIAL","No complete admin UI","API exists; PlatformAdmin provider read returned HTTP 200 in LONG-RUN-01","Partial","Not mapped","Provider admin authorization repaired for reads; first-class admin UI, secret rotation, event logs, retries, and adapters remain incomplete"
"Integrations","Webhooks","/api/webhooks","PARTIAL","No complete UI","API exists","Partial","Not mapped","Endpoint UI, event logs, signing/retry/replay incomplete"
"Integrations","Import/Export","/api/imports; /api/exports","PARTIAL","No complete repair UI","API exists/partial","Partial staging tables","Exports often disabled","Mapping, preview, row repair, audit incomplete"
"AI","AI Provider Setup","/ai/providers; /api/ai/providers","PARTIAL","No route","Provider read APIs returned HTTP 200 in LONG-RUN-01","Partial","Not mapped","Provider UI still missing; credentials, health admin workflow, review policy, and authorization tests remain incomplete"
"AI","AI Prompt Templates","/ai/prompt-templates; /api/ai/prompt-templates","MISSING","No route","API exists","Partial","Not mapped","Prompt versioning/review UI missing"
"AI","AI Operations Assistant","/ai/operations-assistant; /api/ai/assistant/*","MISSING","No route","API concepts exist","Partial","Not mapped","Assistant UI, citations, approved query workflow missing"
"AI","AI Daily Summary Review","/ai/daily-summary; /api/ai/daily-summaries/draft","MISSING","No route","API concepts exist","Partial","Not mapped","Review UI and approval/send workflow missing"
"Mobile","Mobile Login","mobile:login","DEMO-ONLY","Screen exists","Partial auth API use","Partial device/session tables","Not fully mapped","No production device trust or stale-session proof"
"Mobile","Mobile Context","mobile:context","PARTIAL","Screen exists","Partial API use","Partial","Not fully mapped","Live org selector and queued transaction guard missing"
"Mobile","Mobile Dashboard","mobile:home","DEMO-ONLY","Screen exists using seed data","Fallback/partial","Partial","Not fully mapped","Live assigned task model missing"
"Mobile","Mobile Notifications / Approvals","mobile:inbox; mobile:approvals","PARTIAL","Screens exist","Partial API concepts","Partial","Not fully mapped","Decision sync and conflict handling incomplete"
"Mobile","Mobile Job Cards","mobile:jobs","DEMO-ONLY","Screen exists using seed data","Partial job-card API concepts","Partial","Not fully mapped","Live assignments, docs, readiness missing"
"Mobile","Mobile Execution Capture","mobile:execute; mobile:output","DEMO-ONLY","Screen exists using local/seed data","Partial production APIs","Partial queue/idempotency","Not fully mapped","Duplicate-safe start/pause/resume/complete and output capture not proven"
"Mobile","Mobile Material Scan","mobile:materials","DEMO-ONLY","Screen exists using seed data","Partial inventory APIs","Partial","Not fully mapped","Scanner validation and stock revalidation missing"
"Mobile","Mobile Inventory Movement","mobile:stock","DEMO-ONLY","Screen exists using seed data","Partial inventory APIs","Partial","Not fully mapped","Transfer/putaway/count sync conflicts incomplete"
"Mobile","Mobile Downtime / Machine Status","mobile:machine","DEMO-ONLY","Screen exists using seed data","Partial downtime/machine APIs","Partial","Not fully mapped","Live machine assignment and overlap validation missing"
"Mobile","Mobile QC Capture","mobile:quality","DEMO-ONLY","Screen exists using seed data","Partial quality APIs","Partial","Not fully mapped","Plan-driven parameter capture and media proof incomplete"
"Mobile","Mobile Receipt / Rework","mobile:output; mobile:quality","DEMO-ONLY","Screen exists using seed data","Partial production/quality APIs","Partial","Not fully mapped","Irreversible receipt/rework validation not pilot-safe"
"Mobile","Mobile Dispatch Proof","mobile:dispatch","DEMO-ONLY","Screen exists using seed data","Partial dispatch APIs","Partial proof/media","Not fully mapped","Live shipment tasking and proof upload incomplete"
"Mobile","Mobile Stage Board","mobile:orders","DEMO-ONLY","Screen exists using seed data","Partial dashboard APIs","Partial","Not fully mapped","Live blocker drilldown and role filters incomplete"
"Mobile","Mobile Handover / Media","mobile:handover; mobile:device","DEMO-ONLY","Screen exists using seed data","No clear live handover/media subsystem","Partial/missing","Not fully mapped","Reusable media upload and sync proof incomplete"
"Mobile","Mobile Sync Status","mobile:sync","DEMO-ONLY","Screen exists using local queue concepts","No production sync status contract","Partial/missing","Not fully mapped","Persistent queue, retry, conflict, failed action handling incomplete"
"Release","IIS Publish Folder","dotnet publish; npm run build:host","COMPLETE","N/A","Host publish path exists","Published wwwroot output generated","N/A","Deployment model is aligned; must keep validation gate"
"Tests","Web Automated Tests","src/web/src/**/*.test.*","PARTIAL","34 web test files","N/A","N/A","N/A","Good render/regression coverage; not a substitute for live UAT"
"Tests","Server Automated Tests","tests/server/STS.Mfg.Tests","PARTIAL","5 server test source files","N/A","N/A","N/A","Covers envelope/auth/scope/critical rules; needs broader domain integration tests"
"Tests","Mobile Coverage Plan","src/mobile scripts","PARTIAL","Coverage-plan validation exists","N/A","N/A","N/A","RN component/device harness not installed; mobile execution not pilot-proven"
