"IssueId","Domain","Route","Screen","IssueClass","Severity","Status","FixApplied","RemainingDependency","Evidence"
"OFX-028","Engineering","/engineering/routings","Routing","Data truth","High","FIXED","Live routing failure now throws unavailable instead of seeded rows","Routing draft workflow remains partial","src/web/src/engineering/engineeringContinuationAdapters.ts"
"OFX-029","Engineering","/engineering/eco","ECO","Data truth","High","FIXED","Live ECO failure now throws unavailable instead of seeded rows","ECO approval depth remains partial","src/web/src/engineering/engineeringContinuationAdapters.ts"
"OFX-030","Engineering","/engineering/documents","Engineering documents","Data truth","High","FIXED","Live document failure now throws unavailable instead of seeded rows","Binary document workflow remains disabled","src/web/src/engineering/engineeringContinuationAdapters.ts"
"OFX-031","Procurement","/procurement/requisitions","Purchase requisitions","Data truth","High","FIXED","Live requisition failure now throws unavailable instead of seeded rows","Approval workflow remains partial","src/web/src/procurement/procurementAdapters.ts"
"OFX-032","Procurement","/procurement/purchase-orders","Purchase orders","Data truth","High","FIXED","Live purchase-order failure now throws unavailable instead of seeded rows","Release workflow remains partial","src/web/src/procurement/procurementAdapters.ts"
"OFX-033","Procurement","/procurement/subcontracting","Subcontracting","Data truth","High","FIXED","Live subcontract failure now throws unavailable instead of seeded rows","Subcontract lifecycle remains partial","src/web/src/procurement/procurementAdapters.ts"
"OFX-034","Platform","/platform/users","User directory","Data truth","High","FIXED","Live user directory failure now throws unavailable instead of seeded admin rows","User lifecycle depth remains partial","src/web/src/platform/platformAdminAdapters.ts"
"OFX-035","Platform","/platform/roles","Role matrix","Data truth","High","FIXED","Live role matrix failure now throws unavailable instead of seeded admin rows","Custom role lifecycle remains partial","src/web/src/platform/platformAdminAdapters.ts"
"OFX-036","Platform","/platform/workflows","Workflow rules","Data truth","High","FIXED","Live workflow failure now throws unavailable instead of seeded admin rows","Workflow authoring remains partial","src/web/src/platform/platformAdminAdapters.ts"
"OFX-037","Platform","/platform/audit-trail; /platform/audit","Audit trail","Data truth","High","FIXED","Live audit failure now throws unavailable instead of seeded admin rows and the governed route alias is available","Audit retention and server-side export depth remain partial","src/web/src/platform/platformAdminAdapters.ts; src/web/src/app/router.tsx"
"OFX-038","All web pages","app routes","Production wording","Content truth","Medium","FIXED","User-facing Reference view wording replaced with Review mode","Some route-specific copy still needs manual UAT scan","src/web/src/pages"
"OFX-039","Organization","/organization/*","Organization setup","Field truth","Medium","REMAINING","No broad speculative rewrite applied in this pass","Country tax calendar manager and policy lookup sources remain partial","07-governance/screen_field_violation_matrix.csv"
"OFX-040","Measurements","/measurements/*","Measurement setup","Numeric truth","Medium","FIXED","STRICT-DOMAIN-COMPLETION-01 reverified measurement profile precision, catch-weight, dimension, and UOM class controls use governed numeric/lookup/toggle controls","No touched measurement setup numeric violation remains","07-governance/screen_field_violation_matrix.csv"
"OFX-041","Platform","/platform/attachments","Attachment workflow","Upload truth","High","FIXED","Upload/download actions stay disabled with reasons and live sessions load the attachment API or show unavailable state","Attachment versioning/download authorization and approved upload workflow remain partial","src/web/src/pages/CommercialPlanningPages.tsx; src/web/src/commercial/commercialPlanningAdapters.ts"
"OFX-042","Production","/production/*","Production posting","Action truth","High","REMAINING","Posting actions remain disabled with reasons where workflows are incomplete","Receipt scrap rework costing and lifecycle APIs remain required","07-ux-governance/action_truth_matrix.csv"
"OFX-043","Quality","/quality/*","Quality execution","Action truth","High","FIXED","WS06 wires live inspection hold/release and NCR close actions while keeping inspection entry and disposition release disabled with reasons","Inspection result entry and disposition release remain future workflow depth, not dead actions","src/web/src/pages/QualityPages.tsx; src/web/src/api/http.ts; docs/codex-review-screens/WS06/"
"OFX-044","Dispatch","/dispatch/*","Dispatch execution","Action truth","High","FIXED","WS06 wires live shipment proof status save and keeps proof upload tied to shared attachment storage; unsupported pack/shipment lifecycle actions remain disabled with reasons","Pack creation, shipment close approval, and carrier integration remain future workflow depth, not dead actions","src/web/src/pages/DispatchPages.tsx; src/web/src/api/http.ts; docs/codex-review-screens/WS06/"
"OC1-001","Commercial","/sales/quotes","Quotes and planning pages","Content truth","Low","FIXED","Replaced generic workspace guidance records and ready labels with planning-specific wording","Continue manual business-copy review during UAT","src/web/src/pages/CommercialPlanningPages.tsx"
"OC1-002","Master Data","/masters/item-groups","Item master pages","Content truth","Low","FIXED","Replaced generic workspace records label with master-record wording","Continue manual business-copy review during UAT","src/web/src/pages/ItemMasterPages.tsx"
"OC1-003","Measurements","/measurements/uom-classes","Measurement setup pages","Content truth","Low","FIXED","Replaced generic workspace records label with measurement-record wording","Continue manual business-copy review during UAT","src/web/src/pages/MeasurementPages.tsx"
"OC1-004","Organization","/organization/companies","Organization setup pages","Content truth","Low","FIXED","Replaced generic workspace records label with organization-record wording","Continue manual business-copy review during UAT","src/web/src/pages/OrganizationPages.tsx"
"OC1-005","Partners","/partners/customers","Customer and supplier pages","Content truth","Low","FIXED","Replaced commercial workspace guidance with commercial guidance","Continue manual business-copy review during UAT","src/web/src/pages/PartnerPages.tsx"
"OC1-006","Platform","/platform/context-switch","Context switch page","Content truth","Low","FIXED","Replaced workspace guidance and preview copy with context-specific labels","Continue manual business-copy review during UAT","src/web/src/pages/PlatformPages.tsx"
"SFE-001","Commercial","/sales/orders","Sales order detail","Layout truth","Medium","FIXED","Changed review-only promise date to a disabled date control with workflow dependency","Sales order edit workflow remains partial","src/web/src/pages/CommercialPlanningPages.tsx"
"SFE-002","Procurement","/procurement/requisitions","Purchase requisition detail","Field truth","High","FIXED","Changed source document from raw input to disabled governed selector","Source document drill-down/search remains partial","src/web/src/pages/ProcurementPages.tsx"
"SFE-003","Procurement","/procurement/requisitions","Purchase requisition detail","Layout truth","Medium","FIXED","Changed review-only need-by date to a disabled date control with workflow dependency","Purchase requisition edit workflow remains partial","src/web/src/pages/ProcurementPages.tsx"
"SFE-004","Procurement","/procurement/purchase-orders","Purchase order detail","Field truth","High","FIXED","Changed follow-up signal from raw input to disabled governed selector","Supplier commitment status source remains partial","src/web/src/pages/ProcurementPages.tsx"
"SFE-005","Engineering","/engineering/*","Engineering authoring pages","Content truth","Low","FIXED","Replaced seeded disabled-reason wording with read-only reference-record wording","Engineering reference authoring remains gated by live session and workflow state","src/web/src/pages/EngineeringContinuationPages.tsx"
"SFE-006","Platform","/platform/notifications; /platform/approvals","Notification and approval unavailable states","Data truth","Medium","FIXED","Kept live-data unavailable states business-safe and removed internal workspace wording","Notification and approval workflow depth remains partial","src/web/src/pages/PlatformPages.tsx"
"MCP01-001","Platform","/platform/approvals","Approval decision actions","Action truth","High","FIXED","Gated Approve Request changes and Reject by pending/escalated workflow state with disabled reasons","Delegation comments and history depth remain partial","src/web/src/pages/PlatformPages.tsx"
"MCP01-002","Platform","/platform/attachments","Attachment live list","Data truth","High","FIXED","Attachment viewer no longer returns deferred rows for live authenticated sessions","Document-control versioning and download depth remain partial","src/web/src/commercial/commercialPlanningAdapters.ts"
"SFE-007","Master Data","/masters/items","Item media actions","Upload truth","Medium","FIXED","Kept upload disabled and changed storage reason to item-record business wording","Binary media storage and authorization remain partial","src/web/src/pages/ItemMasterPages.tsx"
"SFE-008","Organization","/organization/companies","Company modal actions","Action truth","Medium","FIXED","Kept save and audit disabled with company setup workflow reasons","Company setup persistence and audit workflow remain partial","src/web/src/pages/OrganizationPages.tsx"
"OCE01-W2-001","Platform","/platform/translations","Language and translation setup","Layout truth","Medium","FIXED","Changed translation detail values to read-only disabled controls while save/review workflow remains disabled","Translation publish/review workflow remains partial","src/web/src/pages/MasterPages.tsx"
"OCE01-W2-002","Platform","/platform/workflow-numbering","Workflow and numbering setup","Field truth","Medium","FIXED","Changed approval chain from editable-looking free text to a disabled governed selector","Workflow versioning and approval-chain editing remain partial","src/web/src/pages/MasterPages.tsx"
"MCW01-001","Master Data","/masters/item-groups","Item groups and categories","Field truth","High","FIXED","Rendered hierarchy/default/status fields as controlled selectors and kept unsupported create/save/lifecycle actions disabled with reasons","Taxonomy setup persistence remains partial","src/web/src/pages/ItemMasterPages.tsx"
"MCW01-002","Master Data","/masters/item-attributes","Item attributes","Field and action truth","High","FIXED","Rendered data type/status as selectors, allowed-value count as numeric, and wired governed allowed-value row maintenance","No critical allowed-value blocker remains in touched WS03 scope","src/web/src/pages/ItemMasterPages.tsx"
"MCW01-003","Master Data","/masters/classifications","Product family segment reporting bucket","Field truth","High","FIXED","Added classification registry route/menu and made item dependent fields controlled selectors","Classification create/save workflow remains disabled with reason","src/web/src/pages/ItemMasterPages.tsx"
"MCW01-004","Measurements","/measurements/uom-classes","UOM classes","Action truth","Medium","FIXED","Added status selector and disabled Add unit lifecycle and audit with business-safe reasons","Unit-in-class workflow remains partial","src/web/src/pages/MeasurementPages.tsx"
"MCW01-005","Measurements","/measurements/uom-conversions","UOM conversions","Numeric truth","High","FIXED","Rendered conversion factor decimal places and conversion policy controls with numeric/select fields","Conversion write workflow remains disabled with reason","src/web/src/pages/MeasurementPages.tsx"
"MCW01-006","Measurements","/measurements/profiles","Measurement profiles","Field truth","High","FIXED","Rendered profile type UOM class precision catch-weight and status fields with controlled controls","Profile write workflow remains partial","src/web/src/pages/MeasurementPages.tsx"
"MCW01-007","Resources","/resources/work-centers","Work centers","Field and action truth","High","FIXED","Added controlled company branch department capacity UOM shift selectors and numeric capacity with live save wiring","Department capacity UOM and shift lookup sources remain partial","src/web/src/pages/ResourceFoundationPages.tsx"
"MCW01-008","Resources","/resources/machines","Machines","Field and action truth","High","FIXED","Added live work-center selector disabled machine-type selector numeric capacity and live save wiring","Machine type setup source remains partial","src/web/src/pages/ResourceFoundationPages.tsx"
"MCW01-009","Resources","/resources/tools","Tools and resources","Field and action truth","High","FIXED","Added controlled tool type compatibility selector state and live save wiring","Machine-group compatibility source remains partial","src/web/src/pages/ResourceFoundationPages.tsx"
"MCW01-010","Commercial","/commercial/price-lists","Price lists","Action truth","High","FIXED","Disabled unsupported export add-line remove-line clone lifecycle and audit actions with reasons","Multi-line pricing workflow remains partial","src/web/src/pages/CommercialMasterPages.tsx"
"MCW01-011","Commercial","/commercial/discount-schemes","Discount schemes","Action truth","High","FIXED","Disabled unsupported export add-break remove-break lifecycle and audit actions with reasons","Multi-break discount workflow remains partial","src/web/src/pages/CommercialMasterPages.tsx"
"MCW01-012","Commercial","/commercial/tax-currency-terms","Tax currency and terms","Action truth","Medium","FIXED","Added setup validation gating and disabled lifecycle/audit actions with reasons","Commercial dependency audit workflow remains partial","src/web/src/pages/CommercialMasterPages.tsx"
"MCW01-013","Master Data","/masters/items","Item master dependent classifications","Field truth","High","FIXED","Changed category subcategory product family business segment and reporting bucket fields to controlled selectors backed by available setup data","Binary media storage remains disabled with reason","src/web/src/pages/ItemMasterPages.tsx"
"MCCR01-001","Platform","/search","Global search","Route/action truth","High","FIXED","Added governed global search screen, live scoped source fan-out, centered result preview, and source navigation","Dedicated indexed search/read model remains partial","src/web/src/pages/SearchPage.tsx"
"MCCR01-002","Dashboards","/; /dashboards/executive-cockpit","Role and executive dashboards","Data truth","High","FIXED","Removed seeded operational dashboard fallback in live authenticated sessions and rendered unavailable states","Dashboard drilldown/export depth remains partial","src/web/src/pages/DashboardPages.tsx"
"MCCR01-003","Platform","/platform/attachments","Attachment viewer","Upload truth","High","FIXED","Wired upload, preview, and download to scoped attachment storage, metadata, authorization, and audit workflow","Document versioning and document-control lifecycle remain partial","src/server/STS.Mfg.Api/Controllers/AttachmentControllers.cs; src/web/src/pages/CommercialPlanningPages.tsx"
"MCCR01-004","Platform","/platform/settings","Platform settings","Route truth","Medium","FIXED","Replaced platform settings route alias with a truthful platform administration landing workspace","Deeper platform lifecycle writes remain governed in child screens","src/web/src/pages/MasterPages.tsx"
"MCCR01-005","Platform","/login; /forgot-password; /platform/context-switch","Auth and context controls","Field/action truth","Medium","FIXED","Disabled unsupported device/reset completion controls with reasons and converted context selectors to governed lookups","Device trust and direct reset completion workflows remain partial","src/web/src/pages/LoginPage.tsx; src/web/src/pages/PlatformPages.tsx"
"MCCR01-006","Organization","/organization/companies; /organization/branches; /organization/departments; /organization/warehouses; /organization/bins; /organization/shifts","Organization setup screens","Action truth","High","FIXED","Wired live create/update draft actions to organization APIs and left export lifecycle review actions disabled with business-safe reasons","Policy/audit/assignment extension workflows remain partial","src/web/src/pages/OrganizationPages.tsx"
"MCCR01-007","Organization","/organization/companies; /organization/branches; /organization/departments; /organization/warehouses; /organization/bins; /organization/shifts","Organization governed and numeric fields","Field truth","High","FIXED","Converted touched governed organization fields to ErpLookupField controls and numeric fields to ErpDecimalField or ErpNumberField controls","Some dependent source lookups remain disabled with reason until their governing workflow is available","src/web/src/pages/OrganizationPages.tsx"
"MCCR01-008","Resources","/resources/work-centers; /resources/machines; /resources/tools","Resource setup screens","Route/action truth","High","FIXED","Verified resource setup routes use centered modal workspaces with live create/update actions and disabled lifecycle/audit actions with reasons","Resource costing, maintenance, and compatibility extension workflows remain partial","src/web/src/pages/ResourceFoundationPages.tsx"
"MCCR01-009","Planning","/planning/capacity","Capacity Planning Board","Data truth","High","FIXED","Live authenticated sessions no longer silently render seeded capacity board rows when the capacity board API is unavailable","Capacity rebuild/save review workflow remains partial","src/web/src/planning/planningAdapters.ts; src/web/src/pages/PlanningContinuationPages.tsx"
"MCCR01-010","Planning","/planning/mrp-results","MRP Results / Exceptions","Field/action truth","High","FIXED","Added centered exception workspace with governed selectors numeric quantity controls and disabled shortage/export actions with reasons","Exception owner/action conversion workflow remains partial","src/web/src/pages/PlanningPages.tsx"
"MCCR01-011","Production","/production/machine-board","Machine Schedule Board","Action/layout truth","High","FIXED","Wired Today reset selectable schedule slots centered machine card workspace and job-card drilldown while keeping auto-assign disabled with reason","Auto-assignment dispatch rule workflow remains partial","src/web/src/pages/OperationsPages.tsx; src/web/src/ui/boards.tsx"
"MCCR01-012","Production","/production/occupancy","PPS Machine Occupancy Calendar","Action truth","High","FIXED","Wired Next 7 days quick action and kept assignment review disabled with a business-safe reason","Assignment review workflow remains partial","src/web/src/pages/OperationsPages.tsx"
"MCCR01-013","Planning","/dashboards/order-delivery","Order Delivery Dashboard","Action/layout truth","High","FIXED","Wired executive cockpit sales order BOQ and machine-board drill actions from action bars and centered detail workspace; export remains disabled with reason","Dashboard export/reporting workflow remains partial","src/web/src/pages/DashboardPages.tsx"
"MCCR01-014","Planning","/dashboards/stage-wise","Stage Wise Dashboard","Action truth","High","FIXED","Wired refresh and machine-board navigation and disabled export with a visible business reason","Stage export/reporting workflow remains partial","src/web/src/pages/DashboardPages.tsx"
"MCCR01-015","Engineering","/engineering/boms; /engineering/bom-editor; /engineering/bom-comparison","BOM library and editor screens","Action truth","Medium","FIXED","Verified visible BOM actions are working or disabled with reason and deep editor uses centered workspace","Document/effectivity/release lifecycle remains partial","src/web/src/pages/EngineeringPages.tsx; src/web/src/pages/EngineeringContinuationPages.tsx"
"MCCR01-016","Engineering","/engineering/eco-revisions; /engineering/routings; /engineering/operations; /engineering/alternate-items","Engineering workflow screens","Action truth","Medium","FIXED","Verified visible engineering workflow actions are working or disabled with reason and governed modal workspaces remain centered","Approval/version/effectivity lifecycle remains partial","src/web/src/pages/EngineeringContinuationPages.tsx"
"MCCR01-017","Planning","/planning/mps; /planning/mrp; /planning/boq-requirements","Planning run and requirement screens","Action truth","Medium","FIXED","WS04 wired MPS draft create/save and verified planning visible actions are working or disabled with reason and no touched numeric/governed field remains unrestricted","Archive and broader capacity writeback workflows remain outside the WS04 MPS closure slice","src/web/src/pages/CommercialPlanningPages.tsx; src/web/src/pages/PlanningPages.tsx"
"MCCR01-018","Production","/production/work-orders; /production/job-cards","Work orders and job cards","Action/layout truth","High","FIXED","WS05 wires job-card deep-link opening plus live start/resume/pause/quantity/complete execution actions in the centered workspace with governed reason and decimal quantity controls","Work-order generation/release remains guarded by planning release workflow reasons","src/web/src/pages/OperationsPages.tsx; src/web/src/api/http.ts"
"MCCR01-019","Inventory","/inventory/balances; /inventory/material-issue; /inventory/material-return; /inventory/stock-transfer; /inventory/cycle-counts; /inventory/traceability","Inventory execution screens","Field/action truth","High","FIXED","Converted touched quantities to numeric controls, governed location/trace controls, and wired source/traceability drilldowns","Inventory posting and count approval workflows remain disabled with reasons","src/web/src/pages/InventoryPages.tsx; src/web/src/pages/OperationsPages.tsx"
"MCCR01-020","Production","/production/receipts; /production/scrap-by-products; /production/rework-orders; /production/shift-production; /production/downtime; /production/machine-status","Production output and downtime screens","Field/action truth","High","FIXED","Added governed numeric/detail controls and wired job-card, traceability, RCA, and NCR drilldowns while disabling unsafe posting actions","Output posting, downtime RCA, and rework release workflows remain partial","src/web/src/pages/ProductionOutputPages.tsx; src/web/src/pages/OperationsPages.tsx"
"MCCR01-021","Quality","/quality/plans; /quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections; /quality/ncr","Quality plan, inspection, and NCR screens","Field/action truth","High","FIXED","Rendered source/trace/disposition/rework values as governed controls and wired NCR/source/rework drilldowns","Inspection save, hold release, and disposition release workflows remain disabled with reasons","src/web/src/pages/QualityPages.tsx"
"MCCR01-022","Dispatch","/dispatch/pack-lists; /dispatch/planning; /dispatch/shipments; /reports/print-pack","Dispatch and print pack screens","Upload/action truth","High","FIXED","Wired shipment proof upload to shared attachment storage, pack/shipment print-pack navigation, and print/export registry actions","Pack/shipment close, label generation workflow, and dispatch planning writes remain disabled with reasons","src/web/src/pages/DispatchPages.tsx; src/web/src/pages/PrintPackPage.tsx"
"MCCR01-023","Production/Inventory/Quality/Dispatch","Cluster 5 adapters","Operational live data adapters","Data truth","High","FIXED","Verified Cluster 5 adapters throw live-data-unavailable errors in live sessions instead of returning seeded operational fallback","Some live read models remain partial but no silent seeded operational fallback is returned","src/web/src/operations/operationsAdapters.ts; src/web/src/inventory/inventoryAdapters.ts; src/web/src/production/productionOutputAdapters.ts; src/web/src/quality/qualityAdapters.ts; src/web/src/dispatch/dispatchAdapters.ts"
"MCCR01-024","Production/Inventory/Quality/Dispatch","Cluster 5 web routes","Deep detail workspaces","Layout truth","Medium","FIXED","Verified touched deep detail experiences use centered ErpModalWorkspace or full-page screens instead of right drawers","None in touched Cluster 5 scope","src/web/src/pages/OperationsPages.tsx; src/web/src/pages/InventoryPages.tsx; src/web/src/pages/ProductionOutputPages.tsx; src/web/src/pages/QualityPages.tsx; src/web/src/pages/DispatchPages.tsx"
"MCCR01-025","Mobile","mobile:inbox; mobile:jobs; mobile:execute; mobile:materials; mobile:stock; mobile:machine; mobile:quality; mobile:output; mobile:dispatch; mobile:handover; mobile:device","Mobile execution actions","Action truth","High","FIXED","Wired visible mobile execution actions to queue/review state or disabled unavailable native actions with reasons","Live sync and native capture adapters remain partial","src/mobile/src/screens"
"MCCR01-026","Mobile","mobile:dispatch; mobile:handover; mobile:device","Mobile media and proof capture","Upload truth","High","FIXED","Queued existing media/proof retries and disabled native camera capture with a clear device-adapter reason","Native camera/voice/file SDK integration remains external to current repo shell","src/mobile/src/screens/DispatchProofScreen.tsx; src/mobile/src/screens/ShiftHandoverMediaScreen.tsx; src/mobile/src/screens/DeviceUtilitiesScreen.tsx"
"MCCR01-027","Mobile","mobile:stock; mobile:execute","Mobile numeric capture","Field truth","High","FIXED","Kept quantity presets read-only and changed mobile count quantity to numeric keyboard input","Native scanner integration remains partial","src/mobile/src/screens/InventoryMovementScreen.tsx; src/mobile/src/screens/ExecutionCaptureScreen.tsx"
"MCCR01-028","Mobile","mobile:*","Mobile production-facing copy","Wording truth","Medium","FIXED","Removed prompt IDs, demo defaults, and placeholder copy from production-facing mobile screens","None in touched mobile code","src/mobile/src/screens; src/mobile/src/MobileShell.tsx"
"MCCR01-029","Mobile","mobile:*","Mobile screenshot evidence","Evidence blocker","High","BLOCKED","Mobile code and validation completed; screenshot capture requires a React Native emulator or screenshot-capable harness not present in the repo","Add Android/iOS simulator, Expo web, or approved RN screenshot harness","src/mobile/package.json; src/mobile/metro.config.js"
"SDMC01-001","Commercial","/commercial/price-lists; /commercial/discount-schemes","Price and discount money controls","Numeric truth","High","FIXED","Bound unit price and discount amount ErpMoneyField units to the selected commercial setup currency","No touched commercial money-field violation remains","src/web/src/pages/CommercialMasterPages.tsx"
"SDMC01-002","Measurements","/measurements/uom-classes; /measurements/uom-conversions; /measurements/profiles","Measurement unavailable states","Content truth","Medium","FIXED","Removed production-facing live API and seeded-data wording from measurement unavailable messages","No touched measurement wording violation remains","src/web/src/pages/MeasurementPages.tsx"
"SDMC01-003","Resources","/resources/work-centers","Resource control wording","Content truth","Low","FIXED","Replaced API-backed status wording with business-facing setup wording","No touched resource wording violation remains","src/web/src/pages/ResourceFoundationPages.tsx"
"HELP01-001","Platform","/help; /help/topics/*; /help/process/*; /help/glossary","Help system foundation","Help coverage","High","FIXED","Added Help Center, screen topic pages, process guide pages, glossary page, screen Help buttons, selected-tab help, and grounded quick help","Help content should keep expanding as future modules deepen","src/web/src/help/helpContent.ts; src/web/src/pages/HelpPages.tsx; src/web/src/help/ScreenHelpButton.tsx"
"HELP01-002","All Web","*","Screen help access","Help coverage","High","FIXED","Added shared Help button to ListPageShell and compact Help button to ErpModalWorkspace","Route-specific help aliases can be added when new aliases are introduced","src/web/src/ui/ListPageShell.tsx; src/web/src/ui/ErpComponents.tsx"
"HELP01-003","Master Data","/masters/item-groups; /masters/item-attributes; /masters/reason-codes; /masters/classifications","New draft action truth","Action truth","High","FIXED","Changed item group attribute reason-code and classification New actions from disabled buttons to centered draft workspaces","Save remains disabled with visible business reason until setup persistence is enabled","src/web/src/pages/ItemMasterPages.tsx"
"HELP01-004","Master Data","/masters/item-attributes","Allowed-value maintenance reason","Action truth","Medium","FIXED","WS03 replaced the disabled allowed-value action with editable, ordered, governed row maintenance and live save wiring","No critical allowed-value blocker remains in touched WS03 scope","src/web/src/pages/ItemMasterPages.tsx"
